ファイル名: RSEL(MJ0392-4M)_page600

<overview>
本ページは「パラメーター一覧（SELユニット）」の一部であり、主に表形式で構成されています。ページ全体はパラメーター番号、名称、出荷時設定値、入力範囲、単位、備考の6つの列からなる表で占められており、テキスト部分は表の備考欄に説明が記載されています。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### パラメーター一覧（SELユニット）

| No. | パラメーター名称                         | 出荷時設定値         | 入力範囲                     | 単位 | 備考                                                                                         |
|:----|:---------------------------------------|:---------------------|:-----------------------------|:-----|:--------------------------------------------------------------------------------------------|
| 13～19 | （拡張用）                           | 0                    |                              |      |                                                                                             |
| 20   | システム予約                             | 2                    | 0～2                         |      |                                                                                             |
| 21   | マニュアル動作種別                       | 出荷地域依存          | 0～5                         |      | 0：編集・SIO/PIO起動常時許可（接続初期状態＝セーフティー速度あり）<br>1：編集・起動選択式（パスワード付）（EUなど）<br>2：編集・SIO/PIO起動常時許可（接続初期状態＝セーフティー速度なし（解除））<br>※PC・TPが参照。 |
| 22   | コントローラー使用地域                   | 0                    | 0～99                        |      | 0：J、1：E、2：EU                                                                           |
| 23   | PSIZ命令機能種別                         | 0                    | 0～5                         |      | 0：ポジションデータエリア数MAX<br>1：ポジションデータ使用数                                 |
| 24   | SEL通信命令リターンコード格納ローカル変数No. | 99                   | 1～99、1,001～1,099          |      |                                                                                             |
| 25～29 | （拡張用）                           | 0                    |                              |      |                                                                                             |
| 30   | Option Password 00                      | 0H                   | 0H～FFFFFFFFH                |      | 予約（変更禁止）<br>※メーカー指示無き変更禁止                                              |
| 31   | Option Password 01                      | 0H                   | 0H～FFFFFFFFH                |      | 予約（変更禁止）<br>※メーカー指示無き変更禁止                                              |
| 32   | Option Password 02                      | 0H                   | 0H～FFFFFFFFH                |      | 予約（変更禁止）<br>※メーカー指示無き変更禁止                                              |
| 33～35 | （拡張用）                           | 0H                   | 0H～FFFFFFFFH                |      |                                                                                             |
| 36～39 | システム予約                         | 0H                   | 0H～FFFFFFFFH                |      |                                                                                             |
| 40   | システム予約                           | 83H                  | 参照のみ 0H～FFFFFFFFH       |      |                                                                                             |
| 41   | システム予約                           | 0H                   | 参照のみ 0H～FFFFFFFFH       |      |                                                                                             |
| 42   | システム予約                           | 6H                   | 参照のみ 0H～FFFFFFFFH       |      |                                                                                             |
| 43   | システム予約                           | 0H                   | 0H～FFFFFFFFH                |      |                                                                                             |
| 44   | （拡張用）                           | 0                    |                              |      |                                                                                             |

</contents>
