ファイル名: RSEL(MJ0392-4M)_page806

<overview>
本ページは「13.2 接続可能なアクチュエーター」に関する内容で、RCP4シリーズの各種アクチュエーターの仕様を示した表が中心となっています。  
構成は以下の通りです。  
- テキスト部分：章タイトル、シリーズ名、注釈  
- 表部分：アクチュエーターシリーズごとのタイプ、送りねじ、エンコーダパルス数、リード(mm)、取付方向、最低速度、最高速度、最大加減速度、最小押付力、最大押付力、定格押付速度の詳細な仕様表  
- グラフや図はなし
</overview>

<contents>
### テキスト
#### 13.2 接続可能なアクチュエーター
RCP4シリーズのアクチュエーター仕様一覧を示す。  
注記として、RCP4/RCP4CR/RCP4Wの最高速度・最大加減速度は高出力機能有効時の値であり、高出力設定が無関係の機種も一部あることが記載されている。

### 表
#### RCP4シリーズ アクチュエーター仕様一覧

| アクチュエーターシリーズ | タイプ | 送りねじ | エンコーダパルス数 | リード (mm) | 取付方向 | 最低速度 (mm/s) | 最高速度 (mm/s) | 最大加減速度 (G) | 最小押付力 (N) | 最大押付力 (N) | 定格押付速度 (mm/s) |
|---------------------------|--------|----------|---------------------|-------------|----------|-----------------|-----------------|------------------|----------------|----------------|---------------------|
| RCP4W (防塵防滴スライダータイプ) | SA5C | ボールねじ | 800 | 10 | 水平 | 13 | 330 | 0.6 | 38.2 | 66.9 | 20 |
|                           |        |          |     | 5  | 水平 | 7  | 165 |      | 42.3 | 147.9 | 20 |
|                           | SA6C   | ボールねじ | 800 | 12 | 水平 | 15 | 400 | 0.6 | 35.5 | 82.8 | 20 |
|                           |        |          |     | 6  | 水平 | 8  | 200 |      | 51.3 | 179.5 | 20 |
|                           | SA7C   | ボールねじ | 800 | 16 | 水平 | 20 | 530 | 0.6 | 60   | 209  | 20 |
|                           |        |          |     | 8  | 水平 | 10 | 265 |      | 119  | 418  | 20 |
| RCP4 (ロッドタイプ)        | RA3C / RA3R | ボールねじ | 800 | 16 | 水平 | 20 | 1120 | 1.0 | 15  | 36   | 20 |
|                           |        |          |     |     | 垂直 |    |      | 0.5 |     |      |    |
|                           |        |          |     | 10 | 水平 | 13 | 700  | 1.0 | 16  | 57   | 20 |
|                           |        |          |     |     | 垂直 |    |      | 0.5 |     |      |    |
|                           |        |          |     | 5  | 水平 | 7  | 350  | 1.0 | 33  | 114  | 20 |
|                           |        |          |     |     | 垂直 |    |      | 0.5 |     |      |    |
|                           |        |          |     | 2.5| 水平 | 4  | 175  | 1.0 | 65  | 229  | 20 |
|                           |        |          |     |     | 垂直 |    |      | 0.5 |     |      |    |
|                           |        |          |     | 20 | 水平 | 25 | 800  | 1.0 | 16  | 56   | 20 |
|                           |        |          |     |     | 垂直 |    |      | 0.5 |     |      |    |
|                           |        |          |     | 12 | 水平 | 15 | 700  | 1.0 | 26  | 93   | 20 |
|                           |        |          |     |     | 垂直 |    |      | 0.5 |     |      |    |
|                           | RA5C / RA5R | ボールねじ | 800 | 6  | 水平 | 8  | 450  | 1.0 | 53  | 185  | 20 |
|                           |        |          |     |     | 垂直 |    |      | 0.5 |     |      |    |
|                           |        |          |     | 3  | 水平 | 4  | 225  | 1.0 | 106 | 370  | 20 |
|                           |        |          |     |     | 垂直 |    |      | 0.5 |     |      |    |
|                           |        |          |     | 3 (モーター種類:42SP) | 垂直 | 4 | 80 | 0.5 | 370 | 750 | 20 |
|                           | RA6C / RA6R | ボールねじ | 800 | 24 | 水平 | 30 | 800  | 1.0 | 52  | 182  | 20 |
|                           |        |          |     |     | 垂直 |    | 600  | 0.5 |     |      |    |
|                           |        |          |     | 16 | 水平 | 20 | RA6C:700 RA6R:560 | 1.0 | 78 | 273 | 20 |
|                           |        |          |     |     | 垂直 |    | 560  | 0.5 |     |      |    |
|                           |        |          |     | 8  | 水平 | 10 | RA6C:420 RA6R:350 | 1.0 | 156 | 547 | 20 |
|                           |        |          |     |     | 垂直 |    |      | 0.5 |     |      |    |
|                           |        |          |     | 4  | 水平 | 5  | RA6C:210 RA6R:175 | 1.0 | 312 | 1094 | 20 |
|                           |        |          |     |     | 垂直 |    |      | 0.5 |     |      |    |
|                           |        |          |     | 4 (モーター種類:565P) | 垂直 | 5 | 90 | 0.5 | 470 | 1106 | 20 |
| RCP4W (防塵防滴ロッドタイプ) | RA6C | ボールねじ | 800 | 12 | 水平 | 15 | 500 (at 50st) 560 (at 100~400st) | 1.0 | 40 | 93 | 20 |
|                           |        |          |     |     | 垂直 |    | 500 (環境温度5℃以下の場合) | 0.5 |     |     |    |
|                           |        |          |     |     | 水平 |    | 450 (環境温度5℃以下の場合) | 1.0 |     |     |    |
|                           |        |          |     |     | 垂直 |    | 400 (環境温度5℃以下の場合) | 0.5 |     |     |    |
|                           |        |          |     | 6  | 水平 | 8  | 360  | 1.0 | 79  | 185  | 20 |
|                           |        |          |     |     | 垂直 |    | 300 (環境温度5℃以下の場合) | 0.5 |     |     |    |
|                           |        |          |     | 3  | 水平 | 4  | 180  | 1.0 | 159 | 370  | 20 |
|                           |        |          |     |     | 垂直 |    | 150 (環境温度5℃以下の場合) | 0.5 |     |     |    |
|                           |        |          |     | 3 (モーター種類:42SP) | 垂直 | 4 | 70 | 0.5 | 354 | 590 | 20 |

---

**注記**  
RCP4/RCP4CR/RCP4Wの最高速度・最大加減速度は高出力機能有効時の値であり、高出力設定が無関係の機種も一部存在する。
</contents>
