ファイル名: RSEL(MJ0392-4M)_page362

<overview>
このページは「6.2 機能仕様」の一部であり、主にリモート入出力およびリモートレジスターの入出力領域サイズに関する表が掲載されています。ページ全体はテキスト部分が少なく、ほぼ全て表形式で構成されています。表Aはリモート入出力のビット数と領域サイズの対応を示し、表Bはリモートレジスターのワード数と領域サイズの対応を示しています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 6.2 機能仕様
- 本ページではリモート入出力およびリモートレジスターの入出力領域サイズについて説明しています。

### 表
#### 表A：リモート入出力領域サイズ

| リモート入（出）力ビット数 | リモート入出力領域サイズ | リモート入（出）力ビット数 | リモート入出力領域サイズ | リモート入（出）力ビット数 | リモート入出力領域サイズ | リモート入（出）力ビット数 | リモート入出力領域サイズ |
| :------------------------- | :----------------------- | :------------------------- | :----------------------- | :------------------------- | :----------------------- | :------------------------- | :----------------------- |
| 0 ～ 16                   | 16                      | 257 ～ 272                | 272                     | 513 ～ 528                | 528                     | 769 ～ 784                | 784                     |
| 17 ～ 32                  | 32                      | 273 ～ 288                | 288                     | 529 ～ 544                | 544                     | 785 ～ 800                | 800                     |
| 33 ～ 48                  | 48                      | 289 ～ 304                | 304                     | 545 ～ 560                | 560                     | 801 ～ 816                | 816                     |
| 49 ～ 64                  | 64                      | 305 ～ 320                | 320                     | 561 ～ 576                | 576                     | 817 ～ 832                | 832                     |
| 65 ～ 80                  | 80                      | 321 ～ 336                | 336                     | 577 ～ 592                | 592                     | 833 ～ 848                | 848                     |
| 81 ～ 96                  | 96                      | 337 ～ 352                | 352                     | 593 ～ 608                | 608                     | 849 ～ 864                | 864                     |
| 97 ～ 112                 | 112                     | 353 ～ 368                | 368                     | 609 ～ 624                | 624                     | 865 ～ 880                | 880                     |
| 113 ～ 128                | 128                     | 369 ～ 384                | 384                     | 625 ～ 640                | 640                     | 881 ～ 896                | 896                     |
| 129 ～ 144                | 144                     | 385 ～ 400                | 400                     | 641 ～ 656                | 656                     | 897 ～ 912                | 912                     |
| 145 ～ 160                | 160                     | 401 ～ 416                | 416                     | 657 ～ 672                | 672                     | 913 ～ 928                | 928                     |
| 161 ～ 176                | 176                     | 417 ～ 432                | 432                     | 673 ～ 688                | 688                     | 929 ～ 944                | 944                     |
| 177 ～ 192                | 192                     | 433 ～ 448                | 448                     | 689 ～ 704                | 704                     | 945 ～ 960                | 960                     |
| 193 ～ 208                | 208                     | 449 ～ 464                | 464                     | 705 ～ 720                | 720                     | 961 ～ 976                | 976                     |
| 209 ～ 224                | 224                     | 465 ～ 480                | 480                     | 721 ～ 736                | 736                     | 977 ～ 992                | 992                     |
| 225 ～ 240                | 240                     | 481 ～ 496                | 496                     | 737 ～ 752                | 752                     | 993 ～ 1008               | 1008                    |
| 241 ～ 256                | 256                     | 497 ～ 512                | 512                     | 753 ～ 768                | 768                     | 1009～ 1024              | 1024                    |

#### 表B：リモートレジスター入出力領域サイズ

| リモートレジスター入（出）力ワード数 | リモートレジスター入出力領域サイズ | リモートレジスター入（出）力ワード数 | リモートレジスター入出力領域サイズ | リモートレジスター入（出）力ワード数 | リモートレジスター入出力領域サイズ | リモートレジスター入（出）力ワード数 | リモートレジスター入出力領域サイズ |
| :----------------------------------- | :--------------------------------- | :----------------------------------- | :--------------------------------- | :----------------------------------- | :--------------------------------- | :----------------------------------- | :--------------------------------- |
| 0 ～ 4                             | 4                                 | 17 ～ 20                          | 20                                | 33 ～ 36                         | 36                                | 49 ～ 52                         | 52                                |
| 5 ～ 8                             | 8                                 | 21 ～ 24                          | 24                                | 37 ～ 40                         | 40                                | 53 ～ 56                         | 56                                |
| 9 ～ 12                            | 12                                | 25 ～ 28                          | 28                                | 41 ～ 44                         | 44                                | 57 ～ 60                         | 60                                |
| 13 ～ 16                           | 16                                | 29 ～ 32                          | 32                                | 45 ～ 48                         | 48                                | 61 ～ 64                         | 64                                |
</contents>
