ファイル名: RSEL(MJ0392-4M)_page845

<overview>
このページは「RCS2シリーズ」のアクチュエーターに関する技術仕様を示した表で構成されています。テキストはタイトルと項目名のみで、主要部分は表形式で、各モデルのモーター出力、エンコーダーパルス数、リード、取付方向、最高速度、最大加減速度、押付力、保持付け速度などの性能指標がまとめられています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### RCS2シリーズ
アクチュエーターシリーズの各タイプ別の仕様を示しています。

### 表
#### RCS2シリーズ アクチュエーター仕様

| アクチュエーターシリーズ | タイプ           | モーター出力[W] | エンコーダーパルス数 | リード[mm]           | 取付方向 | 最高速度[mm/s] | 最大加減速度[G] | 最小押付力[N] | 最大押付力[N] | 定格押付け速度[mm/s] |
|--------------------------|------------------|-----------------|----------------------|----------------------|----------|----------------|-----------------|---------------|---------------|----------------------|
| RCS2 (グリッパータイプ)  | GR8              | 60              | 16384                | 減速比1/5            | －       | 400            | 0.3             | －            | －            | －                   |
| RCS2 (フラットタイプ)    | F5D              | 60 100          | 16384                | 16 8                  | 水平/垂直 | 800 400 200    | 0.3 0.3 0.2     | －            | －            | －                   |
| RCS2 (ロータリータイプ)  | RT6              | 60              | 16384                | 減速比1/18           | －       | 500 [度/s]     | －               | －            | －            | －                   |
|                          | RT6R             | 60              | 16384                | 減速比1/18           | －       | 500 [度/s]     | －               | －            | －            | －                   |
|                          | RT7R             | 60              | 16384                | 減速比1/4            | －       | 500 [度/s]     | －               | －            | －            | －                   |
|                          | RTC10L           | 60              | 16384                | 減速比1/15 1/24      | －       | 1200 750 [度/s]| 0.3             | －            | －            | －                   |
|                          | RTC12L           | 150             | 16384                | 減速比1/18 1/30      | －       | 800 600 [度/s] | 0.3             | －            | －            | －                   |

</contents>
