ファイル名: RSEL(MJ0392-4M)_page583

<overview>
このページは「パラメーター一覧（SELユニット）」に関する内容で、主に表形式で構成されています。ページ全体は以下のセクションで構成されています。
- テキスト部分：章タイトルや項目名、説明の見出し
- 表部分：パラメーターの詳細情報を一覧形式で記載
- グラフや図は含まれていません
</overview>

<contents>
### テキスト
#### 10.2 パラメーター一覧（SELユニット）
1. I/Oパラメーター

### 表
| No.  | パラメーター名称 | 出荷時設定値       | 入力範囲               | 単位 | 備考 |
| :--- | :--------------- | :----------------- | :--------------------- | :--- | :--- |
| 536  | システム予約     | 0                  | 0～6,999               |      |      |
| 537  | システム予約     | 00000000H          | 0H～FFFFFFFFH          |      |      |
| 538  | システム予約     | 0                  | 0～3,999               |      |      |
| 539  | システム予約     | 0                  | 0～6,999               |      |      |
| 540  | システム予約     | 00000000H          | 0H～FFFFFFFFH          |      |      |
| 541  | システム予約     | 0                  | 0～3,999               |      |      |
| 542  | システム予約     | 0                  | 0～6,999               |      |      |
| 543  | システム予約     | 00000000H          | 0H～FFFFFFFFH          |      |      |
| 544  | システム予約     | 0                  | 0～3,999               |      |      |
| 545  | システム予約     | 0                  | 0～6,999               |      |      |
| 546  | システム予約     | 00000000H          | 0H～FFFFFFFFH          |      |      |
| 547  | システム予約     | 0                  | 0～3,999               |      |      |
| 548  | システム予約     | 0                  | 0～6,999               |      |      |
| 549  | システム予約     | 00000000H          | 0H～FFFFFFFFH          |      |      |
| 550  | システム予約     | 0                  | 0～3,999               |      |      |
| 551  | システム予約     | 0                  | 0～6,999               |      |      |
| 552  | システム予約     | 00000000H          | 0H～FFFFFFFFH          |      |      |
| 553  | システム予約     | 0                  | 0～3,999               |      |      |
| 554  | システム予約     | 0                  | 0～6,999               |      |      |
| 555  | システム予約     | 00000000H          | 0H～FFFFFFFFH          |      |      |
| 556  | システム予約     | 0                  | 0～3,999               |      |      |
| 557  | システム予約     | 0                  | 0～6,999               |      |      |
| 558  | システム予約     | 00000000H          | 0H～FFFFFFFFH          |      |      |
| 559  | システム予約     | 0                  | 0～3,999               |      |      |
| 560  | システム予約     | 0                  | 0～6,999               |      |      |
| 561  | システム予約     | 00000000H          | 0H～FFFFFFFFH          |      |      |
| 562  | システム予約     | 0                  | 0～3,999               |      |      |
| 563  | システム予約     | 0                  | 0～6,999               |      |      |
| 564  | システム予約     | 00000000H          | 0H～FFFFFFFFH          |      |      |
| 565  | システム予約     | 0                  | 0～3,999               |      |      |
| 566  | システム予約     | 0                  | 0～6,999               |      |      |
| 567  | システム予約     | 00000000H          | 0H～FFFFFFFFH          |      |      |
| 568  | システム予約     | 0                  | 0～3,999               |      |      |
| 569  | システム予約     | 0                  | 0～6,999               |      |      |
| 570  | システム予約     | 00000000H          | 0H～FFFFFFFFH          |      |      |
| 571  | システム予約     | 0                  | 0～3,999               |      |      |
| 572  | システム予約     | 0                  | 0～6,999               |      |      |
| 573  | システム予約     | 00000000H          | 0H～FFFFFFFFH          |      |      |
| 574  | システム予約     | 0                  | 0～3,999               |      |      |
| 575  | システム予約     | 0                  | 0～6,999               |      |      |
| 576  | システム予約     | 00000000H          | 0H～FFFFFFFFH          |      |      |
| 577  | システム予約     | 0                  | 0～3,999               |      |      |
| 578  | システム予約     | 0                  | 0～6,999               |      |      |

※ 備考欄は空欄です。
</contents>
