ファイル名: RSEL(MJ0392-4M)_page702

<overview>
本ページは「11.3 エラー表」と題された章の一部であり、主に表形式で構成されています。内容はエラー番号ごとにエラー名称、原因・内容、及び対処方法が詳細に記載されています。テキスト部分はエラーの説明と対処方法の文章で構成されており、表部分はエラー情報を体系的に整理しています。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### 11.3 エラー表

| エラーNo. | エラー名称                     | 内容・原因 / 対処方法                                                                                           |
| -------- | ---------------------------- | ------------------------------------------------------------------------------------------------------------- |
| 43A      | SLCT ネスト段数アンダーエラー | 【内容・原因】<br>① EDSLの位置が異常<br>【対処方法】<br>① SLCTとEDSLの対応、およびGOTO命令での構文外、構文内への分岐がないか確認する |
| 43B      | サブルーチンネスト回数アンダーエラー | 【内容・原因】<br>① EDSRの位置が異常<br>【対処方法】<br>① BGSRとEDSRの対応、およびGOTO命令での構文外、構文内への分岐がないか確認する |
| 43C      | プログラムNo.エラー            | 【内容・原因】<br>① IAIプロトコルでプログラム編集・照会・実行時にプログラムが存在しない<br>② プログラムNo.として1未満の番号を指定した<br>③ サポートプログラム数の最大を超える番号を指定した<br>④ PIOで登録されていないプログラムNo.を指定した<br>【対処方法】<br>① 登録されたプログラムを指定して、プログラム編集・照会・実行の操作を行う<br>② プログラムNo.として1未満の番号を指定しない<br>③ 最大プログラム数(512)以上を指定しない<br>④ 登録されているプログラムNo.を指定する |
| 43D      | デリミター未定義エラー        | 【内容・原因】<br>① OPEN命令実行時、終了文字が定義されていない<br>【対処方法】<br>① OPEN命令実行前に、SCHA命令で終了文字を指定する |
| 43E      | 指令速度過大                  | 【内容・原因】<br>動作中に指令速度が許容値を超えた<br>① CP動作の指定速度が大き過ぎる<br>② 直交座標指定のCP動作で、速度と動作姿勢を保つために大きな速度でモーターの回転が必要になった<br>【対処方法】<br>① VEL命令・OVRD命令などで指定速度を下げる<br>② 動作位置を変更する |
| 43F      | ゾーンNo.エラー               | 【内容・原因】<br>① 直動軸専用ゾーン関連命令（WZNA、WANO、WZFA、WZFO）でゾーンNo.に定義外の値を指定した<br>【対処方法】<br>① ゾーンNo.を1～4の範囲で設定する |
| 441      | 空ステップ不足エラー           | 【内容・原因】<br>① 使用しているプログラムステップ数の上限（20000ステップ）を超えた<br>【対処方法】<br>① プログラムを見直し、プログラムステップ数の空きを確保する |
| 442      | AUTOプログラムNo.エラー       | 【内容・原因】<br>① パラメーター設定ミスその他パラメーターNo.1：オートスタートプログラムNo.で登録されていないプログラムNo.を指定した<br>【対処方法】<br>① その他パラメーターNo.1：オートスタートプログラムNo.で登録されているプログラムNo.を指定する |

</contents>
