ファイル名: RSEL(MJ0392-4M)_page563

<overview>
本ページは「パラメーター一覧（SELユニット）」に関する内容で構成されています。主に表形式で、各パラメーターの番号、名称、出荷時設定値、入力範囲、単位、備考・考察が記載されています。テキスト部分は表の備考欄に詳細な説明があり、グラフや図は含まれていません。
</overview>

<contents>
### 表
#### パラメーター一覧（SELユニット）

| No. | パラメーター名称       | 出荷時設定値 | 入力範囲 | 単位 | 備考・考察                                                                                                         |
|-----|------------------------|--------------|----------|------|-------------------------------------------------------------------------------------------------------------------|
| 37  | 入力機能選択 007       | 1            | 0～5     |      | 0：汎用入力<br>1：プログラムスタート指定プログラムNo.<br>注意：I/OパラメーターNo.30 “入力機能選択 000”の設定値により割付けが変わる。<br>注意：I/OパラメーターNo.290 “入力機能選択 007 割付ポートNo.”で機能割付ポートNo.の変更可能。 |
| 38  | 入力機能選択 008       | 1            | 0～5     |      | 0：汎用入力<br>1：プログラムスタート指定プログラムNo.<br>注意：I/OパラメーターNo.30 “入力機能選択 000”の設定値により割付けが変わる。<br>注意：I/OパラメーターNo.291 “入力機能選択 008 割付ポートNo.”で機能割付ポートNo.の変更可能。 |
| 39  | 入力機能選択 009       | 1            | 0～5     |      | 0：汎用入力<br>1：プログラムスタート指定プログラムNo.<br>注意：I/OパラメーターNo.30 “入力機能選択 000”の設定値により割付けが変わる。<br>注意：I/OパラメーターNo.292 “入力機能選択 009 割付ポートNo.”で機能割付ポートNo.の変更可能。 |
| 40  | 入力機能選択 010       | 1            | 0～5     |      | 0：汎用入力<br>1：プログラムスタート指定プログラムNo.<br>注意：I/OパラメーターNo.30 “入力機能選択 000”の設定値により割付けが変わる。<br>注意：I/OパラメーターNo.293 “入力機能選択 010 割付ポートNo.”で機能割付ポートNo.の変更可能。 |
| 41  | 入力機能選択 011       | 1            | 0～5     |      | 0：汎用入力<br>1：プログラムスタート指定プログラムNo.<br>注意：I/OパラメーターNo.30 “入力機能選択 000”の設定値により割付けが変わる。<br>注意：I/OパラメーターNo.294 “入力機能選択 011 割付ポートNo.”で機能割付ポートNo.の変更可能。 |
| 42  | 入力機能選択 012       | 1            | 0～5     |      | 0：汎用入力<br>1：プログラムスタート指定プログラムNo.<br>注意：I/OパラメーターNo.30 “入力機能選択 000”の設定値により割付けが変わる。<br>注意：I/OパラメーターNo.295 “入力機能選択 012 割付ポートNo.”で機能割付ポートNo.の変更可能。 |
| 43  | 入力機能選択 013       | 1            | 0～5     |      | 0：汎用入力<br>1：プログラムスタート指定プログラムNo.<br>2：エラーリセット（ONエッジ）<br>注意：I/OパラメーターNo.30 “入力機能選択 000”の設定値により割付けが変わる。<br>注意：I/OパラメーターNo.296 “入力機能選択 013 割付ポートNo.”で機能割付ポートNo.の変更可能。 |

</contents>
