ファイル名: RSEL(MJ0392-4M)_page659

<overview>
このページはテキストと表で構成されており、主に外部からの信号入力によるRSELコントローラーのプログラム実行や一時停止、エラーリセットに関するパラメーター設定方法を説明しています。テキスト部分で各設定の説明があり、それぞれの説明に対応したパラメーターNo.、設定値、内容を示す表が配置されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 10.7.11 外部からRSELコントローラーのプログラムを実行したい
入力ポート003にONエッジ（OFF→ON）を入力するとプログラムを実行し、OFFエッジ（ON→OFF）を入力するとプログラムを停止します。プログラムを確実に実行するために、ON状態を100ms以上保持する必要があります。

#### 10.7.12 外部からプログラムNo.の指示をバイナリーで行って、プログラムを実行したい
I/OパラメーターNo.30を2に設定すると、プログラムNo.の指示をバイナリーで行い、プログラムを実行できます。プログラムNo.は入力ポートNo.007～013で指示します。出荷時は「BCDのプログラムNo.指示」に設定されています。

#### 10.7.13 外部からRSELコントローラーを一時停止したい
入力ポート006にOFF信号を入力するとRSELコントローラーが一時停止します。一時停止解除は、入力ポート006にON信号を入力し、入力ポート005にONエッジ（OFF→ON）を入力することで行います。

#### 10.7.14 外部からエラーをリセットしたい
入力ポート013にONエッジ（OFF→ON）を入力すると、コールドスタートレベル以外のエラーを解除します。

### 表
#### 10.7.11 外部からRSELコントローラーのプログラムを実行したい

| パラメーターNo.           | 設定値           | 内容                                      |
|---------------------------|------------------|-------------------------------------------|
| その他パラメーター No.1    | 実行プログラムNo.|                                           |
| I/Oパラメーター No.33      | 2                | 入力ポート003をオートスタートプログラム起動入力ポートに設定 |

#### 10.7.12 外部からプログラムNo.の指示をバイナリーで行って、プログラムを実行したい

| パラメーターNo.           | 設定値           | 内容                                                                 |
|---------------------------|------------------|----------------------------------------------------------------------|
| I/Oパラメーター No.30      | 2                | 入力ポート000をプログラムNo.の指示をバイナリーで行って、プログラム実行に設定 |

#### 10.7.13 外部からRSELコントローラーを一時停止したい

| パラメーターNo.           | 設定値           | 内容                                               |
|---------------------------|------------------|----------------------------------------------------|
| I/Oパラメーター No.35      | 1                | 入力ポート005を一時停止解除信号入力ポートに設定    |
| I/Oパラメーター No.36      | 1                | 入力ポート006を一時停止信号入力ポートに設定        |

#### 10.7.14 外部からエラーをリセットしたい

| パラメーターNo.           | 設定値           | 内容                                               |
|---------------------------|------------------|----------------------------------------------------|
| I/Oパラメーター No.43      | 2                | 入力ポート013をエラーリセット信号入力ポートに設定  |
</contents>
