ファイル名: RSEL(MJ0392-4M)_page192

<overview>
このページは「SCON拡張ユニット、PIO/SIO/SCON拡張ユニット、PIOユニット」に関する仕様説明の一部で、主に表形式で構成されています。内容は各ユニットのピン番号、区分、信号名、ポート番号の対応関係を示した詳細なピン割り当て表です。テキスト部分は表の説明や注釈が含まれています。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### SCON拡張ユニット、PIO/SIO/SCON拡張ユニット、PIOユニットのピン割り当て

| ユニットNo. | ピン番号 | 区分 | 信号名 | ポートNo. | ピン番号 | 区分 | 信号名 | ポートNo. |
| :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| 1A | 24 |  | P24 | - | 1B |  | OUT0 | 364 |
| 2A | 24 |  | P24 | - | 2B |  | OUT1 | 365 |
| 3A | - |  | - | - | 3B |  | OUT2 | 366 |
| 4A | - |  | - | - | 4B |  | OUT3 | 367 |
| 5A |  | 入力 | IN0 | 064 | 5B | 出力 | OUT4 | 368 |
| 6A |  |  | IN1 | 065 | 6B |  | OUT5 | 369 |
| 7A |  |  | IN2 | 066 | 7B |  | OUT6 | 370 |
| 8A |  |  | IN3 | 067 | 8B |  | OUT7 | 371 |
| 9A |  |  | IN4 | 068 | 9B |  | OUT8 | 372 |
| 10A |  |  | IN5 | 069 | 10B |  | OUT9 | 373 |
| 11A |  |  | IN6 | 070 | 11B |  | OUT10 | 374 |
| 12A |  |  | IN7 | 071 | 12B |  | OUT11 | 375 |
| 13A |  |  | IN8 | 072 | 13B |  | OUT12 | 376 |
| 14A |  |  | IN9 | 073 | 14B |  | OUT13 | 377 |
| 15A |  |  | IN10 | 074 | 15B |  | OUT14 | 378 |
| 16A |  |  | IN11 | 075 | 16B |  | OUT15 | 379 |
| 17A |  |  | IN12 | 076 | 17B |  | - | - |
| 18A |  |  | IN13 | 077 | 18B |  | - | - |
| 19A |  |  | IN14 | 078 | 19B | 0 | N | - |
| 20A |  |  | IN15 | 079 | 20B | 0 | N | - |

| ユニットNo. | ピン番号 | 区分 | 信号名 | ポートNo. | ピン番号 | 区分 | 信号名 | ポートNo. |
| :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| 1A | 24 |  | P24 | - | 1B |  | OUT0 | 380 |
| 2A | 24 |  | P24 | - | 2B |  | OUT1 | 381 |
| 3A | - |  | - | - | 3B |  | OUT2 | 382 |
| 4A | - |  | - | - | 4B |  | OUT3 | 383 |
| 5A |  | 入力 | IN0 | 080 | 5B | 出力 | OUT4 | 384 |
| 6A |  |  | IN1 | 081 | 6B |  | OUT5 | 385 |
| 7A |  |  | IN2 | 082 | 7B |  | OUT6 | 386 |
| 8A |  |  | IN3 | 083 | 8B |  | OUT7 | 387 |
| 9A |  |  | IN4 | 084 | 9B |  | OUT8 | 388 |
| 10A |  |  | IN5 | 085 | 10B |  | OUT9 | 389 |
| 11A |  |  | IN6 | 086 | 11B |  | OUT10 | 390 |
| 12A |  |  | IN7 | 087 | 12B |  | OUT11 | 391 |
| 13A |  |  | IN8 | 088 | 13B |  | OUT12 | 392 |
| 14A |  |  | IN9 | 089 | 14B |  | OUT13 | 393 |
| 15A |  |  | IN10 | 090 | 15B |  | OUT14 | 394 |
| 16A |  |  | IN11 | 091 | 16B |  | OUT15 | 395 |
| 17A |  |  | IN12 | 092 | 17B |  | - | - |
| 18A |  |  | IN13 | 093 | 18B |  | - | - |
| 19A |  |  | IN14 | 094 | 19B | 0 | N | - |
| 20A |  |  | IN15 | 095 | 20B | 0 | N | - |

---

**注記:**  
ユニットNo.とは、SELユニット隣から順に1、2、…、8と付けたものです。
</contents>
