ファイル名: RSEL(MJ0392-4M)_page438

<overview>
このページは「6.3 パラメーター設定」に関する内容で、主に表形式で構成されています。表にはパラメーター番号、名称、出荷時設定値、設定値、単位、備考が記載されており、各パラメーターの詳細な説明や設定範囲、意味が示されています。テキスト部分は表の備考欄に含まれており、パラメーターの具体的な機能や設定方法について説明しています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト・表
#### 6.3 パラメーター設定一覧

| No.  | パラメーター名称                          | 出荷時設定値 | 設定値           | 単位 | 備考                                                                                                           |
| :--- | :--------------------------------------- | :----------- | :--------------- | :--- | :------------------------------------------------------------------------------------------------------------- |
| 121  | ネットワーク属性2                        | C80000H      | 任意             |      | ビット16-27: フィールドバス初期化時リンクタイムアウト値（100ms）                                             |
| 130  | I/Oフィールドバス自MACアドレス（H）     | 0H           | MACアドレス表示   |      | 下位2バイトのみ有効                                                                                             |
| 131  | I/Oフィールドバス自MACアドレス（L）     | 0H           | MACアドレス表示   |      |                                                                                                                |
| 186  | オプションユニット接続台数               | 0            | 3                | 台   | 入力、出力使用ポート数はそれぞれ接続台数×16となる                                                           |
| 187  | オプションユニット固定割付け時入カポート開始No. | -1           | -1               |      | 0 + (8の倍数)(0～299)、1,000 + (8の倍数)(1,000～3,999)（マイナス時無効）                                      |
| 188  | オプションユニット固定割付け時出力ポート開始No. | -1           | -1               |      | 300 + (8の倍数)(300～599)、4,000 + (8の倍数)(4,000～6,999)（マイナス時無効）                                  |
| 189  | PIOユニット・PIO/SIOユニット異常監視     | 1            | 1                |      | 0:非監視、1:監視、2:監視(24V I/O電源関連エラー非監視)、3:監視(24V I/O電源関連エラーのみ監視)、4:監視(24V I/O電源関連エラーをメッセージレベルにする) ※一部例外あり |
| 190  | オプションユニット属性1                   | C800200H     | 任意             |      | ビット0-3: TF通信異常時PIOユニット出力ポートデータ選択(0:クリアー、1:ホールド) ビット4-7: TF通信異常時PIOユニット入力ポートデータ選択(0:クリアー、1:ホールド) ビット8-15: TF通信リンク異常確認タイマー値(10ms) ビット20-31: TF通信初期化時リンクタイムアウト値(100ms) |
| 225  | I/Oコントロール                           | AH           | AH               |      | ビット0-7: I/O1モジュール種別 (0H:未実装、1H:CC-Link、2H:DeviceNet、3H:PROFIBUS-DP、6H:EtherCAT、7H:EtherNet/IP、9H:PIO、AH:PROFINET IO、DH:CC-Link IE) |

</contents>
