ファイル名: RSEL(MJ0392-4M)_page697

<overview>
本ページは「11.3 エラー表」の章に属し、ビジョンシステム関連のエラーコード一覧を示す表で構成されています。ページ全体は表形式で、エラー番号、エラー名称、内容・原因および対処方法の3つのカラムから成り、テキスト情報のみで構成されています。図やグラフは含まれていません。
</overview>

<contents>
### 表
#### 11.3 エラー表（ビジョンシステム関連）

| エラーNo. | エラー名称                         | 内容・原因 / 対処方法                                                                                                                                                                                                                       |
| :------- | :-------------------------------- | :----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| 40E      | ビジョンシステムレスポンスタイムアウトエラー | 【内容・原因】<br>・ビジョンシステムからの通信レスポンスを確認できない<br>①パラメーター設定ミス<br>②ビジョンシステム側の設定ミス<br>【対処方法】<br>①-1 IOパラメーターNo.129ビット4-7:TCP/IPメッセージ通信の値が1（使用）であることを確認<br>①-2 IOパラメーターNo.160-163 “ビジョンシステムI/F接続先IPアドレス”の設定値が正しいことを確認<br>①-3 IOパラメーターNo.164 “ビジョンシステムI/F接続先ポート番号”の設定値が正しいことを確認<br>②ビジョンシステムが撮像指令に対してデータ送信しているか確認する |
| 40F      | 受信伝文エラー（ビジョンシステム）           | 【内容・原因】<br>①ビジョンシステムから未サポートの識別コードを受信した<br>②ビジョンシステムから不正なデータを受信した<br>【対処方法】<br>①、②ビジョンシステムの送信データが正しいことを確認する                                                                                     |
| 410      | 受信ワーク数エラー（トラッキング・ビジョンシステムI/Fデータ通信） | 【内容・原因】<br>①ビジョンシステムから受信したワーク数が、1回撮像当たりのワーク数上限を超えた<br>【対処方法】<br>①コンベアー上のワークの間隔を広げ、上限を超えないようにする                                                                                                         |
| 411      | ビジョンシステムI/F内部処理異常               | 【内容・原因】<br>①何らかの要因でワーク状態がビジーになった<br>②何らかの要因でワーク情報ハンドリング処理がタイムアウトした<br>【対処方法】<br>①、②電源再投入<br>それでも改善されない場合はSELユニット交換                                                                                 |
| 412      | ビジョンシステム指定エラー                   | 【内容・原因】<br>①使用しようとしているビジョンシステムI/Fが使用中のビジョンシステムI/Fと異なる<br>②指定したビジョンシステムI/Fは他タスクで使用中<br>【対処方法】<br>①使用中のビジョンシステムI/Fを開放してから使用するビジョンシステムI/Fを指定する（開放＝SLVS命令操作）<br>②使用したいビジョンシステムの他タスクでの使用が完了してから、使用する |
| 413      | ビジョンシステムI/F撮像位置不良エラー           | 【内容・原因】<br>①GTVD命令実行時のZ軸位置が異常だった<br>【対処方法】<br>①Z軸の位置を正常な位置に移動させてから、GTVD命令を実行する                                                                                                         |
| 414      | SIO非オープンエラー                       | 【内容・原因】<br>①オープンしていないチャンネルを使用しようとした<br>【対処方法】<br>①使用したいチャンネルがオープンされているか確認する                                                                                                     |
| 415      | SIO他タスク使用中エラー                     | 【内容・原因】<br>①他タスクで既にオープンしているチャンネルを再度オープンしようとした<br>【対処方法】<br>①オープンするチャンネルを確認する                                                                                                     |
</contents>
