ファイル名: RSEL(MJ0392-4M)_page602

<overview>
本ページは「パラメーター一覧（SELユニット）」の一部であり、表形式で構成されています。ページ全体はパラメーター番号、名称、出荷時設定値、入力範囲、単位、備考の6列からなる表で、各パラメーターの詳細な設定内容やビットごとの意味が記載されています。テキスト部分は主に備考欄にあり、ビットごとの機能説明が詳細に記載されています。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### パラメーター一覧（SELユニット）

| No. | パラメーター名称               | 出荷時設定値 | 入力範囲           | 単位 | 備考                                                                                              |
|-----|------------------------------|--------------|--------------------|------|-------------------------------------------------------------------------------------------------|
| 53  | ファン状態監視設定1           | 1H           | 0H～FFFFFFFFH      |      | ビット0：ファン1状態監視（0：無効、1：有効）<br>ビット1-31：システム予約                         |
| 54  | ファン状態監視設定2           | 20000H       | 0H～FFFFFFFFH      |      | ビット0-15：システム予約<br>ビット16-19：ファン状態監視エラーレベル（0：メッセージレベル、1：コールドスタートレベル、2：動作解除レベル）<br>ビット20-31：システム予約 |
| 55  | PC・TPデータプロテクト設定1   | 0H           | 0H～FFFFFFFFH      |      | ビット0-3：プロテクト種別（プログラム）（0：リード可/ライト可、1：リード可/ライト不可、2：リード不可/ライト不可）<br>ビット4-7：プロテクト解除方法（プログラム）（0：特殊操作）<br>ビット8-11：システム予約<br>ビット12-15：システム予約<br>ビット16-19：プロテクト種別（シンボル）（0：リード可/ライト可、1：リード可/ライト不可、2：リード不可/ライト不可）<br>ビット20-23：プロテクト解除方法（シンボル）（0：特殊操作）<br>ビット24-27：プロテクト種別（パラメーター）（0：リード可/ライト可、1：リード可/ライト不可、2：リード不可/ライト不可）<br>ビット28-31：プロテクト解除方法（パラメーター）（0：特殊操作）<br>※PC・TPが参照 |
| 56  | PC・TPデータプロテクト設定2   | 0H           | 0H～FFFFFFFFH      |      | ビット0-3：プロテクト範囲 最大プログラムNo.（1の桁BCD）<br>ビット4-7：プロテクト範囲 最大プログラムNo.（10の桁BCD）<br>ビット8-11：プロテクト範囲 最大プログラムNo.（100の桁BCD）<br>ビット12-15：プロテクト範囲 最小プログラムNo.（1の桁BCD）<br>ビット16-19：プロテクト範囲 最小プログラムNo.（10の桁BCD）<br>ビット20-23：プロテクト範囲 最小プログラムNo.（100の桁BCD）<br>ビット24-31：システム予約<br>※PC・TPが参照 |
| 57～60 | システム予約                 | 0H           | 0H～FFFFFFFFH      |      |                                                                                                 |
| 61  | 電源ユニット接続台数           | 0            | 0～5               |      | 0：未接続<br>1～5：電源ユニット接続台数                                                        |
| 62  | 電源ユニット通信リトライ回数   | 3            | 0～255             |      |                                                                                                 |
| 63～200 | （拡張用）                 | 0            |                    |      |                                                                                                 |

</contents>
