ファイル名: RSEL(MJ0392-4M)_page663

<overview>
このページは「単軸アクチュエーターが設定した領域（ゾーン）に侵入したことを出力する」機能について説明しています。  
構成は以下の通りです。  
- テキスト部分：単軸アクチュエーターのゾーン設定と出力ポートの動作説明  
- 表部分：4つのゾーンそれぞれの現在位置と対応する出力ポートのON/OFF設定を示す表が4つ並んでいる  
- グラフや図はなし
</overview>

<contents>
### テキスト
#### 10.7.20 単軸アクチュエーターが設定した領域（ゾーン）に侵入したことを出力したい
単軸アクチュエーター各軸に4つの領域（ゾーン）が設定可能。  
アクチュエーターがゾーンに侵入したことを出力ポートで確認できる。  
ゾーンに3ms以上留まると出力ポート信号がONになる。  
スカラロボットは本設定とは異なる簡易干渉チェックゾーンとなる。  

[SEL言語プログラミングマニュアル]参照

### 表
#### ゾーンごとの現在位置と出力ポート設定

| 現在位置       | 出力ポート：軸パラメーターNo.23に設定 |
| :------------- | :------------------------------------ |
| ゾーン1侵入    | ON                                   |
| ゾーン1未侵入  | OFF                                  |

| 現在位置       | 出力ポート：軸パラメーターNo.26に設定 |
| :------------- | :------------------------------------ |
| ゾーン2侵入    | ON                                   |
| ゾーン2未侵入  | OFF                                  |

| 現在位置       | 出力ポート：軸パラメーターNo.29に設定 |
| :------------- | :------------------------------------ |
| ゾーン3侵入    | ON                                   |
| ゾーン3未侵入  | OFF                                  |

| 現在位置       | 出力ポート：軸パラメーターNo.32に設定 |
| :------------- | :------------------------------------ |
| ゾーン4侵入    | ON                                   |
| ゾーン4未侵入  | OFF                                  |
</contents>
