ファイル名: RSEL(MJ0392-4M)_page655

<overview>
本ページは「10.7 パラメーター設定（応用編）」に関する内容で構成されています。ページ全体は主にテキスト説明と表で構成されており、パラメーター設定によって可能となる各種希望動作の一覧と、それに対応する詳細説明の掲載箇所を示した表が中心です。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 10.7 パラメーター設定（応用編）
パラメーターの値を変更することで、機能の追加や入出力ポートに専用機能を設定することが可能です。
以下に各動作条件での設定例を示し、希望動作を実施する場合は該当するパラメーター設定値を変更する必要があります。
パラメーター変更時は必ずパラメーター一覧表の該当箇所を参照してください。

### 表
#### 希望動作一覧と掲載項目

| No. | 希望動作                                                                 | 掲載項目   |
| :-- | :--------------------------------------------------------------------- | :--------- |
| 1   | I/Oを使用せずに仮運転したい                                             | 10.7.1     |
| 2   | RSELコントローラーから自動運転中の状態を出力したい                     | 10.7.2     |
| 3   | 非常停止時でも、現在の出力状態を保持したい                             | 10.7.3     |
| 4   | 非常用プログラムを起動したい                                           | 10.7.4     |
| 5   | 非常停止が解除されたら、自動復旧（再起動）したい                       | 10.7.5     |
| 6   | 非常停止が解除されたら、自動復旧（エラーリセット）したい               | 10.6.6     |
| 7   | 非常停止直前の状態から、動作を復旧したい                               | 10.7.7     |
| 8   | 外部からRSELコントローラーを再起動したい                             | 10.7.8     |
| 9   | 外部からサーボONしたい                                                 | 10.7.9     |
| 10  | 外部から全単軸アクチュエーターを原点復帰したい                       | 10.7.10    |
| 11  | 外部からRSELコントローラーのプログラムを実行したい                   | 10.7.11    |
| 12  | 外部からプログラムNo.の指示をバイナリーで行って、プログラムを実行したい | 10.7.12    |
| 13  | 外部からRSELコントローラーを一時停止したい                           | 10.7.13    |
| 14  | 外部からエラーをリセットしたい                                         | 10.7.14    |
| 15  | 外部からアクチュエーターのブレーキを解除したい                       | 10.7.15    |
| 16  | 外部からAUTOモードとMANUモードを切替えたい                           | 10.7.16    |
| 17  | 入力ポートの割付けを変更したい                                         | 10.7.17    |
| 18  | 全単軸アクチュエーターが原点位置であることを出力したい               | 10.7.18    |
| 19  | 全単軸アクチュエーターが原点復帰完了状態であることを出力したい       | 10.7.19    |
| 20  | 単軸アクチュエーターが設定した領域（ゾーン）に侵入したことを出力したい | 10.7.20    |
| 21  | エラーのレベルを出力したい                                             | 10.7.21    |
| 22  | 非常停止中であることを出力したい                                       | 10.7.22    |
| 23  | 現在の動作モードを知りたい                                             | 10.7.23    |
| 24  | 出力ポートの割付けを変更したい                                         | 10.7.24    |
| 25  | SIO接続コネクターを使用したい                                         | 10.7.25    |
| 26  | 軸が移動中であることを表す信号を出力したい                           | 10.7.26    |
</contents>
