ファイル名: RSEL(MJ0392-4M)_page98

<overview>
本ページは「3.1 SELユニット、ターミナルユニット」の一部で、「3.1.3 構成品」について記載されています。ページ構成は以下の通りです。
- テキスト部分：製品構成の説明と注意事項
- 表部分：標準仕様の製品構成一覧（品名、形状写真、数量、備考）
- 画像部分：各構成品の写真が表内に掲載されている
グラフやフローチャートは含まれていません。
</overview>

<contents>
### テキスト
#### 3.1.3 構成品
標準仕様の場合の製品構成を示した表です。梱包明細書で梱包品を確認し、型式の間違いや不足があれば販売店または当社に連絡するよう案内しています。

### 表
#### 標準仕様の製品構成一覧

| 区分   | 品名                     | 形状（写真）                                                                 | 数量 | 備考                                                                                   |
| :----- | :----------------------- | :-------------------------------------------------------------------------- | :--- | :------------------------------------------------------------------------------------- |
| 本体   | SELユニット              | ![SELユニット](画像内の本体写真)                                            | 1    | 型式例：RSEL-G-*                                                                       |
| 付属品 | ターミナルユニット       | ![ターミナルユニット](画像内の白いユニット写真)                             | 1    | 単品型式：RCON-GW-TR（TRN仕様の場合は付属しない）                                    |
| 付属品 | システムI/Oコネクター    | ![システムI/Oコネクター](画像内の緑色コネクター写真)                        | 1    | 型式：DFMC1.5/8-ST-3.5（RSEL）<br>※SELユニットに付属                              |
| 付属品 | フィールドネットワークコネクター | ![フィールドネットワークコネクター](画像内の緑色小型コネクター写真)         | 1    | I/O種類による                                                                          |
| 付属品 | ダミープラグ             | ![ダミープラグ](画像内の黒いプラグ写真)                                     | 1    | 単品型式：DP-4S                                                                       |
| 付属品 | ファーストステップガイド | ![ファーストステップガイド](画像内の冊子写真)                               | 1    | MJ0393                                                                                |
| 付属品 | 安全ガイド               | ![安全ガイド](画像内の冊子写真)                                             | 1    | M0194                                                                                 |

</contents>
