ファイル名: RSEL(MJ0392-4M)_page807

<overview>
このページは「RCP4シリーズ」のアクチュエーターに関する技術仕様表で構成されています。ページ全体は表形式で、テキストは表の見出しや注釈に限定されており、グラフや図は含まれていません。表はアクチュエーターのシリーズ別にタイプ、送りねじ、エンコーダーパルス数、リード(mm)、取付方向、速度、加減速度、押付力、定格押付け速度などの性能・仕様を詳細に示しています。
</overview>

<contents>
### テキスト
#### RCP4シリーズ アクチュエーター仕様一覧
RCP4シリーズのアクチュエーターについて、タイプ別に性能仕様をまとめた表です。主に「RCP4W（防塵防滴ロッドタイプ）」と「RCP4（グリッパータイプ）」の2種類に分かれています。

##### 注釈
- RCP4/RCP4CR/RCP4Wの最高速度・最大加減速度は、高出力機能有効時の値です。
- 高出力設定が無関係の機種も一部あります。

### 表
#### RCP4シリーズ アクチュエーター仕様

| アクチュエーターシリーズ | タイプ | 送りねじ | エンコーダーパルス数 | リード(mm) | 取付方向 | 最低速度 (mm/s) | 最高速度 (mm/s) | 最大加減速度 (G) | 最小押付力 (N) | 最大押付力 (N) | 定格押付け速度 (mm/s) |
|--------------------------|--------|----------|----------------------|------------|----------|-----------------|-----------------|------------------|----------------|----------------|-----------------------|
| RCP4W (防塵防滴ロッドタイプ) | RA7C   | ボールねじ | 800                  | 16         | 水平     | 20              | 500 (at 50st) / 560 (at 100～500st) | 1.0              | 94             | 219            |                       |
|                          |        |          |                      |            | 垂直     |                 | 500 (at 50st) / 400 (at 100～500st) | 0.5              |                |                |                       |
|                          |        |          |                      |            | 水平     |                 | 450 (環境温度5℃以下の場合)           | 1.0              |                |                |                       |
|                          |        |          |                      |            | 垂直     |                 | 300 (環境温度5℃以下の場合)           | 0.5              |                |                |                       |
|                          |        |          |                      | 8          | 水平     | 10              | 340             | 1.0              | 187            | 437            | 20                    |
|                          |        |          |                      |            | 垂直     |                 | 280             | 0.5              |                |                |                       |
|                          |        |          |                      |            | 水平     |                 | 300 (環境温度5℃以下の場合)           | 1.0              |                |                |                       |
|                          |        |          |                      |            | 垂直     |                 | 250 (環境温度5℃以下の場合)           | 0.5              |                |                |                       |
|                          |        |          |                      | 4          | 水平     | 5               | 170             | 1.0              | 375            | 875            |                       |
|                          |        |          |                      |            | 垂直     |                 | 140             | 0.5              |                |                |                       |
|                          |        |          |                      |            | 水平     |                 | 150 (環境温度5℃以下の場合)           | 1.0              |                |                |                       |
|                          |        |          |                      |            | 垂直     |                 | 125 (環境温度5℃以下の場合)           | 0.5              |                |                |                       |
|                          |        |          | 4 (モーター種類:56SP) |            | 垂直     | 5               | 80              | 0.5              | 515            | 1030           |                       |
| RCP4 (グリッパータイプ)   | GRSML  | -        | 1.88                 | 5          | -        | 94              | -               | 0.3              | 25 (両側)      | 87 (両側)      | 5                     |
|                          | GRSLL  | -        | 2.52                 | 5          | -        | 125             | -               |                  | 40 (両側)      | 140 (両側)     |                       |
|                          | GRSWL  | -        | 3.14                 | 5          | -        | 157             | -               |                  | 50 (両側)      | 220 (両側)     |                       |
|                          | GRLM   | -        | 12                   | -          | -        | 20 [度/s]       | 600 [度/s]      |                  | 10 (両側)      | 35 (両側)      |                       |
|                          | GRLL   | -        | 12                   | -          | -        | 20 [度/s]       | 600 [度/s]      |                  | 10 (両側)      | 60 (両側)      |                       |
|                          | GRLW   | -        | 12.86                 | -          | -        | 20 [度/s]       | 643 [度/s]      |                  | 23 (両側)      | 90 (両側)      |                       |

</contents>
