ファイル名: RSEL(MJ0392-4M)_page707

<overview>
本ページは「エラー表」として構成されており、主に表形式でエラー番号、エラー名称、内容・原因および対処方法が記載されています。テキスト部分はエラーの詳細説明と対処法の解説で占められており、図やグラフは含まれていません。
</overview>

<contents>
### 表
#### エラー表（動作解除関連）

| エラーNo. | エラー名称                                   | 内容・原因 / 対処方法                                                                                              |
| --------- | -------------------------------------------- | ----------------------------------------------------------------------------------------------------------------- |
| 465       | パレタイズ角度取得時、基準軸、PX・PY軸不整合エラー | 【内容・原因】<br>①PARG命令で指定した軸No.が、3点ティーチングで設定されたPX・PY軸を構成する2軸のいずれか指定していない<br>【対処方法】<br>①PARG命令で設定した軸No.に、3点ティーチングで指定したPX・PY軸を構成する2軸のいずれかを設定する |
| 466       | パレタイズ角度取得時、基点・PX軸終点同一エラー   | 【内容・原因】<br>③3点ティーチングの基点とPX軸終点のPZ軸成分以外のデータが同一のため、角度計算ができない<br>【対処方法】<br>③3点ティーチングの基点とPX軸終点のPZ軸成分以外のデータが同一になっていないか確認する |
| 467       | パレタイズモーション計算エラー                   | 【内容・原因】<br>①SELユニット故障<br>②ノイズなどによる誤動作<br>【対処方法】<br>①SELユニット交換<br>②ノイズ対策実施 |
| 468       | パレタイズ移動 PZ軸パターン未検出エラー          | 【内容・原因】<br>①パレタイズ移動時、軸パターン中にPZ軸成分がない<br>【対処方法】<br>①パレタイズ移動時、軸パターン中にPZ軸成分を設定する |
| 469       | アーチモーション関連 Z軸未宣言エラー              | 【内容・原因】<br>①アーチモーションZ軸が未宣言<br>【対処方法】<br>①PCHZ、ACHZによるZ軸宣言を行う |
| 46A       | アーチ上端Z軸パターン未検出エラー                 | 【内容・原因】<br>①アーチモーション時、軸パターン中に最上位点アーチモーション関連Z軸成分がない<br>【対処方法】<br>①アーチモーション時、軸パターン中に最上位点アーチモーション関連Z軸成分を設定する |
| 46B       | アーチトリガーZ軸パターン未検出エラー             | 【内容・原因】<br>①アーチトリガー宣言ポジションデータ軸パターン中にアーチモーション関連Z軸成分がない<br>【対処方法】<br>①アーチトリガー宣言ポジションデータ軸パターン中にアーチモーション関連Z軸成分を設定する |
| 46C       | アーチ上端・終点逆転エラー                         | 【内容・原因】<br>①アーチモーション時の最上位点と終点の座標関係が逆転している<br>【対処方法】<br>①ポジションデータで最上位点と終点の座標関係が逆転していないか確認する |
| 46D       | アーチ始点・トリガー逆転エラー                     | 【内容・原因】<br>①アーチモーション時の始点と始点アーチトリガーの座標関係が逆転している<br>【対処方法】<br>①ポジションデータで始点と始点アーチトリガーの座標関係が逆転していないか確認する |
</contents>
