ファイル名: RSEL(MJ0392-4M)_page781

<overview>
このページは「RCP6シリーズ」の接続可能なアクチュエーターに関する仕様表で構成されています。  
主に表形式で、アクチュエーターのシリーズ名、タイプ、送りねじの種類、エンコーダーパルス数、リード長さ、取付方向、速度（最低速度・最高速度）、最大加減速度、押付力（最小・最大）、定格押付速度などの詳細な性能データが記載されています。  
テキスト部分は表の注釈として、最高速度・最大加減速度の条件に関する説明が付されています。  
グラフや図はなく、純粋に技術仕様の表のみで構成されています。
</overview>

<contents>
### テキスト
#### 注釈
- RCP6/RCP6CR/RCP6Wの最高速度・最大加減速度は、高出力機能有効時の値です。  
- 高出力設定が無関係の機種も一部あります。

### 表
#### RCP6シリーズ アクチュエーター仕様

| アクチュエーターシリーズ | タイプ | 送りねじ | エンコーダーパルス数 | リード[mm] | 取付方向 | 最低速度 [mm/s] | 最高速度 [mm/s] | 最大加減速度 [G] | 最小押付力 [N] | 最大押付力 [N] | 定格押付速度 [mm/s] |
|--------------------------|--------|----------|----------------------|------------|----------|-----------------|-----------------|------------------|----------------|----------------|---------------------|
| RCP6 RCP6CR (スライダータイプ) 標準仕様/クリーン仕様 | 【標準】SA8C SA8R 【クリーン】SA8C | ボールねじ | 8192 | 20 | 垂直 | 25 | 800(at 50～750st) 770(at 800st) 695(at 850st) 630(at 900st) 570(at 950st) 520(at 1000st) 480(at 1050st) 440(at 1100st) | 0.5 | 68 | 239 | - |
|                          |        |          |                      | 10 | 水平 | 13 | 500(at 50～650st) 480(at 700st) 430(at 750st) 385(at 800st) 345(at 850st) 310(at 900st) 285(at 950st) | 1 | 137 | 478 | - |
|                          |        |          |                      |    | 垂直 |    | 260(at 1000st) 235(at 1050st) 220(at 1100st) | 0.5 |    |    | - |
|                          |        |          |                      | 5 | 水平 | 7 | SA8C: 250(at 50～650st) 240(at 700st) 215(at 750st) 190(at 800st) 175(at 850st) 155(at 900st) 140(at 950st) 130(at 1000st) 120(at 1050st) 110(at 1100st) SA8R: 250(at 50～650st) 240(at 700st) 215(at 750st) 190(at 800st) 175(at 850st) 155(at 900st) 145(at 950st) 130(at 1000st) 120(at 1050st) 110(at 1100st) | 1 | 273 | 956 | 20 |
|                          |        |          |                      |    | 垂直 |    |    | 0.5 |    |    |    |
| RCP6 RCP6CR (ワイドスライダータイプ) 標準仕様/クリーン仕様 | 【標準】WSA10C WSA10R 【クリーン】WSA10C | ボールねじ | 8192 | 16 | 水平 | 20 | 840(at 50～400st) 775(at 450st) 660(at 500st) | 1 | 21 | 48 | 40 |
|                          |        |          |                      | 10 | 水平 | 13 | 610(at 50～350st) 590(at 400st) 490(at 450st) 415(at 500st) | 1 | 22 | 77 | - |
|                          |        |          |                      | 5 | 水平 | 7 | 390(at 50～300st) 355(at 350st) 290(at 400st) 245(at 450st) 205(at 500st) | 1 | 44 | 155 | 20 |
|                          |        |          |                      |    | 垂直 |    | WSA10C: 350(at 50～350st) 290(at 400st) 245(at 450st) 205(at 500st) WSA10R: 305(at 50～350st) 290(at 400st) 245(at 450st) 205(at 500st) | 0.5 |    |    |    |

</contents>
