ファイル名: RSEL(MJ0392-4M)_page399

<overview>
このページは「6.3.3 出荷時パラメーター設定例」に関する内容で、主にI/Oパラメーターの出荷時設定例を示した表で構成されています。  
ページ全体は表部分が中心で、各パラメーター名ごとにNP/PN、CC、CIE、DV、EC、EP、PR、PRTといった各種通信規格別の設定値、入力範囲、単位、備考が詳細に記載されています。  
テキスト部分は表の上部にパラメーターの説明や略称の解説があり、表の備考欄に設定値の意味や注意事項が記載されています。  
グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 6.3.3 出荷時パラメーター設定例
- ●I/Oパラメーター  
  NP/PN：PIOモジュール、CC：CC-Link、CIE：CC-Link IE Field、DV：DeviceNet、EC：EtherCAT、EP：EtherNet/IP、PR：PROFIBUS-DP、PRT：PROFINET IOの略称。

### 表
#### I/Oパラメーター出荷時設定例

| No. | パラメーター名称                         | NP/PN | CC   | CIE  | DV   | EC   | EP   | PR   | PRT  | 入力範囲    | 単位 | 備考                                                                                              |
|-----|-----------------------------------------|-------|------|------|------|------|------|------|------|-------------|------|-------------------------------------------------------------------------------------------------|
| 1   | 入出力ポート割付け種別                   | 1     | 0    | 0    | 0    | 0    | 1    | 0    | 1    | 0～20       |      | 0:固定割付け 1:自動割付け ※自動割付時ポート割付優先順位(I/O1→PIOユニット・PIO/SIOユニット)        |
| 14  | I/O1 フィールドバスリモート入力使用ポート数 | 0     | 64   | 64   | 64   | 256  | 0    | 64   | 0    | 0～1024     |      | 8の倍数                                                                                         |
| 15  | I/O1 フィールドバスリモート出力使用ポート数 | 0     | 64   | 64   | 64   | 256  | 0    | 64   | 0    | 0～1024     |      | 8の倍数                                                                                         |
| 16  | I/O1 固定割付け時入力ポート開始No.         | -1    | 0    | 0    | 0    | 0    | -1   | 0    | -1   | -1～3999   |      | 0+（8の倍数）（0～299）1,000+（8の倍数）（1,000～3,999）（マイナス時無効）※1,000～3,999はフィールドバスのみ設定可能 |
| 17  | I/O1 固定割付け時出力ポート開始No.         | -1    | 300  | 300  | 300  | 300  | -1   | 300  | -1   | -1～6999   |      | 300+（8の倍数）（300～599）4,000+（8の倍数）（4,000～6,999）（マイナス時無効）※4,000～6,999はフィールドバスのみ設定可能 |
| 18  | I/O1 異常監視                             | 1     | 1    | 1    | 1    | 1    | 1    | 1    | 1    | 0～5       |      | 0:非監視 1:監視 2:監視(24V I/O電源関連エラー非監視) 3:監視(24V I/O電源関連エラーのみ監視) 4:監視(24V I/O電源関連エラーをメッセージレベルにする) ※2～4はPIOのみ設定可能 ※一部例外あり 入力信号は本パラメーターの2倍時間の状態保持により認識される。※PIOのみ有効 |
| 20  | 入力フィルタリング周期                     | 2     | 2    | 2    | 2    | 2    | 2    | 2    | 2    | 1～9       |      | ビット0-3:システム予約 ビット4-11:I/O1フィールドバスリンク異常確認タイマー値(10ms) ビット12-27:システム予約 ビット28-31:I/O1フィールドバスリンク異常時入力ポートデータ選択(0:クリアー、1:ホールド) |
| 120 | ネットワーク属性1                        | 64 1001_H | 64 1001_H | 64 1001_H | 64 1001_H | 64 1001_H | 64 1001_H | 64 1001_H | 64 1001_H | 0_H～FFFF_H |      |                                                                                                 |
| 121 | ネットワーク属性2                        | C8 0000_H | C8 0000_H | C8 0000_H | C8 0000_H | C8 0000_H | C8 0000_H | C8 0000_H | C8 0000_H | 0_H～FFFF_H |      | ビット0-15:システム予約 ビット16-27:フィールドバス初期化時リンクタイムアウト値(100ms) ビット28-31:EtherCAT PDOマッピング種別(0:可変、1:32Byte固定) |
| 130 | I/Oフィールドバス自MACアドレス(H)         | 0_H   | 0_H  | 0_H  | 0_H  | 0_H  | 0_H  | 0_H  | 0_H  | 0_H～FFFF_H |      | 下位2バイトのみ有効                                                                              |
| 131 | I/Oフィールドバス自MACアドレス(L)         | 0_H   | 0_H  | 0_H  | 0_H  | 0_H  | 0_H  | 0_H  | 0_H  | 0_H～FFFF_H |      |                                                                                                 |
| 132 | I/Oフィールドバス自IPアドレス(H)          | 192   | 192  | 192  | 192  | 192  | 192  | 192  | 192  | 1～255     |      | ※0、および127は設定禁止 ※PROFINET IO時は設定不要                                               |
| 133 | I/Oフィールドバス自IPアドレス(MH)         | 168   | 168  | 168  | 168  | 168  | 168  | 168  | 168  | 0～255     |      | ※PROFINET IO時は設定不要                                                                       |
| 134 | I/Oフィールドバス自IPアドレス(ML)         | 0     | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0～255     |      | ※PROFINET IO時は設定不要                                                                       |
| 135 | I/Oフィールドバス自IPアドレス(L)          | 1     | 1    | 1    | 1    | 1    | 1    | 1    | 1    | 1～254     |      | ※0、および255は設定禁止 ※PROFINET IO時は設定不要                                             |
| 136 | I/Oフィールドバスサブネットマスク(H)      | 255   | 255  | 255  | 255  | 255  | 255  | 255  | 255  | 0～255     |      | ※PROFINET IO時は設定不要                                                                       |
| 137 | I/Oフィールドバスサブネットマスク(MH)     | 255   | 255  | 255  | 255  | 255  | 255  | 255  | 255  | 0～255     |      | ※PROFINET IO時は設定不要                                                                       |

</contents>
