ファイル名: RSEL(MJ0392-4M)_page134

<overview>
本ページは「24Vドライバーユニット、ファンユニット」に関する説明で構成されています。ページ全体は表形式で、RCON-ACドライバーユニットのピン番号、信号名、及びそれぞれの説明が一覧で示されています。テキスト部分は表のヘッダーとタイトルのみで、図やグラフは含まれていません。
</overview>

<contents>
### 表
#### RCON-ACドライバーユニット ピン配列一覧

| ピン番号 | 信号名               | 説明                                           |
| :------- | :------------------- | :--------------------------------------------- |
| 1        | B+                   | エンコーダー +B相入力                          |
| 2        | LS−                  | リミットスイッチ−側                            |
| 3        | U                    | モーター駆動ライン U相                         |
| 4        | W                    | モーター駆動ライン W相                         |
| 5        | V                    | モーター駆動ライン V相                         |
| 6        | B−                   | エンコーダー −B相入力                          |
| 7        | GND                  | 0V                                             |
| 8        | BK+                  | ブレーキリリース +側                           |
| 9        | NC                   | 未接続                                         |
| 10       | NC                   | 未接続                                         |
| 11       | Z+ / ENC_SD+          | エンコーダー +Z相入力/バッテリーレスアブソ通信ライン+ |
| 12       | A+                   | エンコーダー +A相入力                          |
| 13       | LSGND                 | リミットスイッチ用グラウンド                   |
| 14       | BK−                  | ブレーキリリース −側                           |
| 15       | NC                   | 未接続                                         |
| 16       | Z− / ENC_SD−          | エンコーダー −Z相入力/バッテリーレスアブソ通信ライン− |
| 17       | A−                   | エンコーダー −A相入力                          |
| 18       | VPS                  | エンコーダーラインドライバーイネーブル出力   |
| 19       | NC                   | 未接続                                         |
| 20       | LS+                   | リミットスイッチ+側                            |
| 21       | VCC                  | エンコーダー電源 5V                            |
| 22       | NC                   | 未接続                                         |
| 23       | NC                   | 未接続                                         |
| 24       | FG                   | フレームグラウンド                             |

</contents>
