ファイル名: RSEL(MJ0392-4M)_page388

<overview>
このページは「6.2 機能仕様」に関する内容で、主に表形式で構成されています。内容はユニット番号ごとのピン番号、区分、信号名、ポート番号の対応を示した詳細な仕様表です。ページ全体はテキスト部分は少なく、ほぼ表部分で占められており、グラフや図は含まれていません。
</overview>

<contents>
### 表
#### ユニットNo.ごとのピン番号・信号名・ポートNo.対応表

| ユニットNo. | ピン番号 | 区分 | 信号名 | ポートNo. | ピン番号 | 区分 | 信号名 | ポートNo. |
| :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| 1 | 1A | 24 | P24 | - | 1B | - | OUT0 | 316 |
|   | 2A | 24 | P24 | - | 2B | - | OUT1 | 317 |
|   | 3A | - | - | - | 3B | - | OUT2 | 318 |
|   | 4A | - | - | - | 4B | - | OUT3 | 319 |
|   | 5A | 入力 | IN0 | 016 | 5B | 出力 | OUT4 | 320 |
|   | 6A | 入力 | IN1 | 017 | 6B | 出力 | OUT5 | 321 |
|   | 7A | 入力 | IN2 | 018 | 7B | 出力 | OUT6 | 322 |
|   | 8A | 入力 | IN3 | 019 | 8B | 出力 | OUT7 | 323 |
|   | 9A | 入力 | IN4 | 020 | 9B | 出力 | OUT8 | 324 |
|   | 10A | 入力 | IN5 | 021 | 10B | 出力 | OUT9 | 325 |
|   | 11A | 入力 | IN6 | 022 | 11B | 出力 | OUT10 | 326 |
|   | 12A | 入力 | IN7 | 023 | 12B | 出力 | OUT11 | 327 |
|   | 13A | 入力 | IN8 | 024 | 13B | 出力 | OUT12 | 328 |
|   | 14A | 入力 | IN9 | 025 | 14B | 出力 | OUT13 | 329 |
|   | 15A | 入力 | IN10 | 026 | 15B | 出力 | OUT14 | 330 |
|   | 16A | 入力 | IN11 | 027 | 16B | 出力 | OUT15 | 331 |
|   | 17A | 入力 | IN12 | 028 | 17B | - | - | - |
|   | 18A | 入力 | IN13 | 029 | 18B | - | - | - |
|   | 19A | 入力 | IN14 | 030 | 19B | 0 | N | - |
|   | 20A | 入力 | IN15 | 031 | 20B | 0 | N | - |

| ユニットNo. | ピン番号 | 区分 | 信号名 | ポートNo. | ピン番号 | 区分 | 信号名 | ポートNo. |
| :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| 2 | 1A | 24 | P24 | - | 1B | - | OUT0 | 332 |
|   | 2A | 24 | P24 | - | 2B | - | OUT1 | 333 |
|   | 3A | - | - | - | 3B | - | OUT2 | 334 |
|   | 4A | - | - | - | 4B | - | OUT3 | 335 |
|   | 5A | 入力 | IN0 | 032 | 5B | 出力 | OUT4 | 336 |
|   | 6A | 入力 | IN1 | 033 | 6B | 出力 | OUT5 | 337 |
|   | 7A | 入力 | IN2 | 034 | 7B | 出力 | OUT6 | 338 |
|   | 8A | 入力 | IN3 | 035 | 8B | 出力 | OUT7 | 339 |
|   | 9A | 入力 | IN4 | 036 | 9B | 出力 | OUT8 | 340 |
|   | 10A | 入力 | IN5 | 037 | 10B | 出力 | OUT9 | 341 |
|   | 11A | 入力 | IN6 | 038 | 11B | 出力 | OUT10 | 342 |
|   | 12A | 入力 | IN7 | 039 | 12B | 出力 | OUT11 | 343 |
|   | 13A | 入力 | IN8 | 040 | 13B | 出力 | OUT12 | 344 |
|   | 14A | 入力 | IN9 | 041 | 14B | 出力 | OUT13 | 345 |
|   | 15A | 入力 | IN10 | 042 | 15B | 出力 | OUT14 | 346 |
|   | 16A | 入力 | IN11 | 043 | 16B | 出力 | OUT15 | 347 |
|   | 17A | 入力 | IN12 | 044 | 17B | - | - | - |
|   | 18A | 入力 | IN13 | 045 | 18B | - | - | - |
|   | 19A | 入力 | IN14 | 046 | 19B | 0 | N | - |
|   | 20A | 入力 | IN15 | 047 | 20B | 0 | N | - |

---

※ユニットNo.はSELユニット隣から順に1、2、…、8と付けられている。

</contents>
