ファイル名: RSEL(MJ0392-4M)_page594

<overview>
このページは「10.2.4 軸パラメーター」に関する内容で構成されています。主に表形式で軸パラメーターの一覧が示されており、各パラメーターの番号、名称、出荷時設定値、入力範囲、単位、備考が詳細に記載されています。テキスト部分はパラメーターの説明や注意事項が中心で、図やグラフは含まれていません。
</overview>

<contents>
### テキスト
#### 10.2.4 軸パラメーター
軸パラメーターの一覧を示し、各パラメーターの設定値や入力範囲、単位、備考を詳細に説明しています。備考欄には、パラメーターの動作条件や制限、関連する動作の説明が含まれています。

### 表
#### 軸パラメーター一覧

| No. | パラメーター名称                     | 出荷時設定値 | 入力範囲                     | 単位    | 備考                                                                                                                         |
|-----|------------------------------------|--------------|-----------------------------|---------|------------------------------------------------------------------------------------------------------------------------------|
| 1   | VLMX 速度                         | 0            | 0～9,999                    | mm/s    | 0設定時は、ドライバーユニットに設定された最高速度となる。アクチュエーターの設置条件により実際の最高速度と異なる場合あり。 |
| 2   | 軸別緊急最小減速度                 | 0            | 0～999                     | 0.01G   | 非常停止などの緊急停止時に一定より低い減速度にならないようにするパラメーター。0設定時は定格加減速度となる。               |
| 3   | ACMX＋加速度 1                    | 30           | 1～999                     | 0.01G   | ACMX命令実行時の加減速度。座標プラス方向移動時の加速度、マイナス方向移動時の減速度。搬送質量・設置条件により設定。         |
| 4   | ACMX－加速度 1                    | 30           | 1～999                     | 0.01G   | ACMX命令実行時の加減速度。座標マイナス方向移動時の加速度、プラス方向移動時の減速度。搬送質量・設置条件により設定。           |
| 5   | ACMX＋加速度 2                    | 30           | 1～999                     | 0.01G   | 軸パラメーターNo.3と同じ。                                                                                                   |
| 6   | ACMX－加速度 2                    | 30           | 1～999                     | 0.01G   | 軸パラメーターNo.4と同じ。                                                                                                   |
| 7   | ACMX＋加速度 3                    | 30           | 1～999                     | 0.01G   | 軸パラメーターNo.3と同じ。                                                                                                   |
| 8   | ACMX－加速度 3                    | 30           | 1～999                     | 0.01G   | 軸パラメーターNo.4と同じ。                                                                                                   |
| 9   | ACMX＋加速度 4                    | 30           | 1～999                     | 0.01G   | 軸パラメーターNo.3と同じ。                                                                                                   |
| 10  | ACMX－加速度 4                    | 30           | 1～999                     | 0.01G   | 軸パラメーターNo.4と同じ。                                                                                                   |
| 11  | SIO・PIO 原点復帰時順序           | 0            | 0～16                      |         | 小さい順に実行                                                                                                               |
| 12  | 押付け強制完了偏差率               | 5,000        | 1～99,999                  |         | 押付け速度定常偏差＋押付け速度パルス速度×強制完了偏差率と偏差比較                                                           |
| 13  | 押付け電流値初期値                 | 70           | 1～300                     | %       | 押付け時の電流値。最大押付け電流値で制限される。                                                                             |
| 14  | ブレーキ強制リリース入力ポートNo. | 0            | 0～3,999                   |         | 該当ポートON時、ブレーキ強制アンロック（落下注意）。0時無効（入力ポートNo.0指定時無効）                                      |
| 15  | 組合わせユニットNo.                | 0            | 0～4                       |         | 組合わせユニットの組合わせNoを指定。同一Noの軸が組合わせとなる。手首ユニット、ZRユニット対象。                               |
| 16  | シンクロ組合わせNo.                | 0            | 0～4                       |         | シンクロ設定の組合わせNoを指定。同一Noの軸がシンクロ組合わせとなる。                                                           |
| 17  | シンクロスレーブ軸オフセット量     | 0            | -99,999,999～99,999,999    | 0.001mm | シンクロマスター軸とスレーブ軸の座標調整用。スレーブ軸のみ有効。                                                             |
| 18  | シンクロオプション種別             | 0H           | 0H～FFFFFFFFH              |         | ビット0-3：スレーブ軸積分器有効指定（0：積分器有効（標準）、1：積分器無効、スレーブ軸のみ有効）                             |
| 19  | （拡張用）                       | 0            | ～                         |         |                                                                                                                              |
| 20  | 通算移動回数設定値                 | 0            | 0～99,999,999              | 回      | メンテナンス情報アラート機能用。設定値0時アラート機能無効。通算移動回数が設定値超えると「231：移動回数設定値オーバー」発生。 |
| 21  | ゾーン1＋側                      | 0            | -99,999,999～99,999,999    | 0.001mm | ＋側→一側時のみ有効。領域通過時間3ms以上確保必要。                                                                             |
| 22  | ゾーン1－側                      | 0            | -99,999,999～99,999,999    | 0.001mm | ＋側→一側時のみ有効。領域通過時間3ms以上確保必要。                                                                             |
</contents>
