ファイル名: RSEL(MJ0392-4M)_page580

<overview>
本ページは「パラメーター一覧（SELユニット）」に関する内容で構成されています。主に表形式で、パラメーター番号、名称、出荷時設定値、入力範囲、単位、備考が一覧で示されています。テキスト部分は少なく、表が主体です。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### パラメーター一覧（SELユニット）

| No. | パラメーター名称 | 出荷時設定値 | 入力範囲 | 単位 | 備考 |
| :--- | :--- | :--- | :--- | :--- | :--- |
| 357 | ビジョンシステム I/F1 撮像指令物理出力ポート No. | 0 | 0～599 |  | ※システムに応じて設定必要 |
| 358～360 | （拡張用） | 0 |  |  |  |
| 361～363 | システム予約 | 0H | 0H～FFFFFFFFH |  |  |
| 364～365 | システム予約 | 0 |  |  |  |
| 366 | システム予約 | 0 | 0～299 |  |  |
| 367 | システム予約 | 0 | 0～599 |  |  |
| 368～379 | （拡張用） | 0 |  |  |  |
| 380 | 全動作・プログラム打切時、無操作汎用出力エリア2 No.MIN | 0 | 0～6,999 |  | (I/OパラメーターNo.70と同等) |
| 381 | 全動作・プログラム打切時、無操作汎用出力エリア2 No.MAX | 0 | 0～6,999 |  |  |
| 382 | 全動作・プログラム打切時、無操作汎用出力エリア3 No.MIN | 0 | 0～6,999 |  | (I/OパラメーターNo.70と同等) |
| 383 | 全動作・プログラム打切時、無操作汎用出力エリア3 No.MAX | 0 | 0～6,999 |  |  |
| 384 | 全動作・プログラム打切時、無操作汎用出力エリア4 No.MIN | 0 | 0～6,999 |  | (I/OパラメーターNo.70と同等) |
| 385 | 全動作・プログラム打切時、無操作汎用出力エリア4 No.MAX | 0 | 0～6,999 |  |  |
| 386～389 | （拡張用） | 0 |  |  |  |
| 390 | 全動作一時停止（サーボ軸ソフトインターロック＋出力ポートソフトインターロック）時無操作汎用出力エリア2 No.MIN | 4,000 | 0～6,999 |  | (I/OパラメーターNo.72と同等) |
| 391 | 全動作一時停止（サーボ軸ソフトインターロック＋出力ポートソフトインターロック）時無操作汎用出力エリア2 No.MAX | 6,999 | 0～6,999 |  |  |
| 392 | 全動作一時停止（サーボ軸ソフトインターロック＋出力ポートソフトインターロック）時無操作汎用出力エリア3 No.MIN | 0 | 0～6,999 |  | (I/OパラメーターNo.72と同等) |
| 393 | 全動作一時停止（サーボ軸ソフトインターロック＋出力ポートソフトインターロック）時無操作汎用出力エリア3 No.MAX | 0 | 0～6,999 |  |  |
| 394 | 全動作一時停止（サーボ軸ソフトインターロック＋出力ポートソフトインターロック）時無操作汎用出力エリア4 No.MIN | 0 | 0～6,999 |  | (I/OパラメーターNo.72と同等) |
| 395 | 全動作一時停止（サーボ軸ソフトインターロック＋出力ポートソフトインターロック）時無操作汎用出力エリア4 No.MAX | 0 | 0～6,999 |  |  |

</contents>
