ファイル名: RSEL(MJ0392-4M)_page312

<overview>
このページは「エレシリンダーの運転」に関する内容で、主にPLC入力の入出力信号一覧を示す表で構成されています。  
ページ全体はテキスト部分と表部分で構成されており、テキストは表の補足説明や参照情報を含みます。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### エレシリンダーの運転における入出力信号一覧
EC接続ユニットの入出力信号一覧を示しています。  
信号のONは該当ビットが「1」、OFFは「0」を意味します。  
3ポジション切替仕様（MF）の場合は、別途「3ポジション切替仕様 取扱説明書（MJ3837）2.2.1 入出力信号割付け」を参照するよう案内があります。

### 表
#### 入出力信号一覧（EC接続ユニット）

| 信号種類       | ビット | 信号名    | 内容                                                                                         | 詳細 |
| :------------- | :----- | :-------- | :------------------------------------------------------------------------------------------- | :--- |
| 状態信号（4軸目） | b15    | E3RD      | 運転準備完了【ON：運転準備完了（サーボON）】                                                |      |
|                | b14    | *ALM      | アラーム（b接点）【ON：アラーム無し、OFF：アラーム発生中】                                  |      |
|                | b13    | LS1/PE1  | 前進完了/押付け完了【前進端の検出範囲内に入るとON。押付け動作完了するとON】                |      |
|                | b12    | LS0/PE0  | 後退完了/押付け完了【後退端の検出範囲内に入るとON。押付け動作完了するとON】                |      |
| 状態信号（3軸目） | b11    | E2RD      | 運転準備完了【ON：運転準備完了（サーボON）】                                                |      |
|                | b10    | *ALM      | アラーム（b接点）【ON：アラーム無し、OFF：アラーム発生中】                                  |      |
|                | b9     | LS1/PE1  | 前進完了/押付け完了【前進端の検出範囲内に入るとON。押付け動作完了するとON】                |      |
|                | b8     | LS0/PE0  | 後退完了/押付け完了【後退端の検出範囲内に入るとON。押付け動作完了するとON】                |      |
| 状態信号（2軸目） | b7     | E1RD      | 運転準備完了【ON：運転準備完了（サーボON）】                                                |      |
|                | b6     | *ALM      | アラーム（b接点）【ON：アラーム無し、OFF：アラーム発生中】                                  |      |
|                | b5     | LS1/PE1  | 前進完了/押付け完了【前進端の検出範囲内に入るとON。押付け動作完了するとON】                |      |
|                | b4     | LS0/PE0  | 後退完了/押付け完了【後退端の検出範囲内に入るとON。押付け動作完了するとON】                |      |
| 状態信号（1軸目） | b3     | E0RD      | 運転準備完了【ON：運転準備完了（サーボON）】                                                |      |
|                | b2     | *ALM      | アラーム（b接点）【ON：アラーム無し、OFF：アラーム発生中】                                  |      |
|                | b1     | LS1/PE1  | 前進完了/押付け完了【前進端の検出範囲内に入るとON。押付け動作完了するとON】                |      |
|                | b0     | LS0/PE0  | 後退完了/押付け完了【後退端の検出範囲内に入るとON。押付け動作完了するとON】                |      |

</contents>
