ファイル名: RSEL(MJ0392-4M)_page691

<overview>
このページは「11.3 エラー表」という章の一部で、主にエラー番号ごとにエラー名称、内容・原因、対処方法をまとめた表形式の構成になっています。テキストはエラーの詳細説明と対処手順が中心で、表形式で整理されています。図やグラフは含まれていません。
</overview>

<contents>
### 表
#### エラー表（エラーNo.314～31B）

| エラーNo. | エラー名称               | 内容・原因 / 対処方法                                                                                                   |
| -------- | ------------------------ | ---------------------------------------------------------------------------------------------------------------------- |
| 314      | 原点復帰未完了エラー (TP/PC) | 【内容・原因】<br>①原点復帰未完了状態で移動を実行<br>②原点復帰未完了状態で教示操作を行う<br>③アブソリュートリセット、エンコーダーエラーリセット実行後にソフトウェアリセット、または電源再投入を行わずに運転を行った<br>【対処方法】<br>①原点復帰完了後に移動を実行<br>②原点復帰完了後に教示操作を行う<br>③リセット実行後はソフトウェアリセットまたは電源再投入を行ってから運転する |
| 315      | 動作時サーボOFF           | 【内容・原因】<br>①サーボOFF状態の軸に対して移動指令を実行<br>【対処方法】<br>①サーボON状態にしてから移動指令を行う                                         |
| 316      | 入力条件入力禁止エラー     | 【内容・原因】<br>①入力条件の使用が許されないSEL命令に対して入力条件を入力<br>【対処方法】<br>①エラー発生プログラムステップを確認し、入力条件の使用が許されないSEL命令に対して入力しないようにする |
| 317      | 入力条件データエラー       | 【内容・原因】<br>①入力条件に不正なデータが入力されている<br>【対処方法】<br>①入力条件に正しいデータを入力する                                                   |
| 318      | 入力条件入力範囲外エラー   | 【内容・原因】<br>①入力条件に範囲外の値が入力された<br>【対処方法】<br>①エラー発生プログラムステップを確認し、入力条件に範囲内の値を指定する                   |
| 319      | 入力条件未入力エラー       | 【内容・原因】<br>①入力条件必須のSEL命令に対して入力条件が入力されていない<br>【対処方法】<br>①エラー発生プログラムステップを確認し、入力条件を入力する         |
| 31A      | 実行条件不成立エラー       | 【内容・原因】<br>①手首組合わせNG時にアブソリュートリセットを実行<br>②シンクロマスター非アブソリュート時にシンクロスレーブアブソリュートリセットを実行<br>【対処方法】<br>①手首組合わせNG時はアブソリュートリセットを実行しない<br>②シンクロマスターが非アブソリュート（インクリメンタル）設定のときはシンクロスレーブアブソリュートリセットを実行しない |
| 31B      | ブレークポイント設定数オーバー | 【内容・原因】<br>②ブレークポイント設定数が上限を超えた<br>【対処方法】<br>②プログラムを確認し、ブレークポイント設定数が上限（10）を超えないようにする |

</contents>
