ファイル名: RSEL(MJ0392-4M)_page863

<overview>
このページは、LSA/LSASシリーズおよびDD/DDAシリーズのアクチュエーターに関する仕様表で構成されています。ページ全体は主に表形式で、各シリーズのタイプ別にモーター出力、エンコーダーパルス数、リード長さ、取付方向、最高速度、最大加減速度、押付け力などの性能指標が詳細に記載されています。テキスト部分は注釈として、特定の条件下での対応状況が説明されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
- ページ上部に「13.2 接続可能なアクチュエーター」と章タイトルが記載されています。
- 注釈として、「RCON-SCに接続する場合、LSA-W21Sは単相200Vに対応していません。」と記載。
- DD/DDAシリーズの注釈として、「RCON-SCに接続する場合、単相200Vに対応していません。また、多回転アブソタイプ（エンコーダー種類：AM）も対応していません。」と記載。

### 表

#### LSA/LSASシリーズ

| アクチュエーターシリーズ | タイプ | モーター出力(W) | エンコーダーパルス数 | リード(mm) | 取付方向 | 最高速度(mm/s) | 最大加減速度(G) | 最小押付け力(N) | 最大押付け力(N) | 定格押付け速度(mm/s) |
|--------------------------|--------|-----------------|----------------------|------------|----------|----------------|-----------------|-----------------|-----------------|-----------------------|
| LSA                      | S6SS S6SM | 100           | 48000                | 48         | 水平     | 2500           | 3               | -               | -               | -                     |
|                          | S8SS S8SM S8HS S8HM | 100 | 60000                | 60         | 水平     | 2500           | 3               | -               | -               | -                     |
|                          | S10SS S10SM | 200          | 90000                | 90         | 水平     | 2500           | 3               | -               | -               | -                     |
|                          | S10HS S10HM | 200S         | 90000                | 90         | 水平     | 2500           | 3               | -               | -               | -                     |
|                          | H8SS H8SM H8HS H8HM | 200   | 50000                | 50         | 水平     | 2500           | 3               | -               | -               | -                     |
|                          | N10SS N10SM | 100S         | 50000                | 50         | 水平     | 2500           | 3               | -               | -               | -                     |
|                          | L15SS L15SM | 200          | 50000                | 50         | 水平     | 2500           | 3               | -               | -               | -                     |
|                          | N15SS N15SM N15HS N15HM | 200S | 50000                | 50         | 水平     | 2500           | 3               | -               | -               | -                     |
|                          | N19SS N19SM | 300S         | 72000                | 72         | 水平     | 2500           | 3               | -               | -               | -                     |
|                          | W21SS W21SM | 400          | 45000                | 45         | 水平     | 2500           | 3               | -               | -               | -                     |
| LSAS                     | N10SS N10SM | 100S         | 50000                | 50         | 水平     | 2500           | 3               | -               | -               | -                     |
|                          | N15SS N15SM N15HS N15HM | 200S | 50000                | 50         | 水平     | 2500           | 3               | -               | -               | -                     |

#### DD/DDAシリーズ

| アクチュエーターシリーズ | タイプ | モーター出力(W) | エンコーダーパルス数 | リード(mm) | 取付方向 | 最高速度(mm/s) | 最大加減速度(G) | 最小押付け力(N) | 最大押付け力(N) | 定格押付け速度(mm/s) |
|--------------------------|--------|-----------------|----------------------|------------|----------|----------------|-----------------|-----------------|-----------------|-----------------------|
| DD(CR) ※クリーン仕様含む | LT18S LT18CS | 200       | 131072               | 減速比1/1  | 水平/垂直 | 1800 [度/s]    | -               | -               | -               | -                     |
|                          | LT18P LT18CP | 200       | 1048576              | 減速比1/1  | 水平/垂直 | 1800 [度/s]    | -               | -               | -               | -                     |
|                          | LH18S LH18CS | 600       | 131072               | 減速比1/1  | 水平/垂直 | 1440 [度/s]    | -               | -               | -               | -                     |
|                          | LH18P LH18CP | 600       | 1048576              | 減速比1/1  | 水平/垂直 | 1440 [度/s]    | -               | -               | -               | -                     |
| DDA(CR) ※クリーン仕様含む | LT18CS LT18CP | 200       | 131072 / 1048576     | 減速比1/1  | 水平/垂直 | 1800 [度/s]    | 9.99            | -               | -               | -                     |
|                          | LH18CS LH18CP | 600       | 131072 / 1048576     | 減速比1/1  | 水平/垂直 | 1440 [度/s]    | 9.99            | -               | -               | -                     |
| 【防塵防滴仕様】DDW       | LH18CS LH18CP | 600       | 131072 / 1048576     | 減速比1/1  | 水平/垂直 | 1440 [度/s]    | 9.99            | -               | -               | -                     |

</contents>
