ファイル名: RSEL(MJ0392-4M)_page311

<overview>
本ページは「エレシリンダーの運転」に関する資料の一部であり、主にPLC出力の制御信号（4軸目から1軸目まで）に関する入出力信号一覧の表で構成されています。ページ全体は表形式で、信号種類、ビット、信号名、内容、詳細の5つのカラムからなる表が中心です。テキスト部分は表の見出しや説明文が少量含まれています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 入出力信号一覧 EC接続ユニット
- ONは該当ビットが「1」、OFFは該当ビットが「0」を示す。

### 表
#### PLC出力 制御信号（4軸目～1軸目）

| 信号種類   | ビット | 信号名 | 内容                                                                                         | 詳細 |
|------------|--------|--------|----------------------------------------------------------------------------------------------|------|
| 制御信号（4軸目） | b15    | －     | 使用できません                                                                              | －   |
|            | b14    | RES    | アラーム解除【ONでアラーム解除】                                                            |      |
|            | b13    | ST1    | 前進【ONで前進（原点復帰未完了時は原点復帰後に前進）、途中でOFFにすると減速を開始し停止】    |      |
|            | b12    | ST0    | 後退【ONで後退（原点復帰未完了時は原点復帰後に後退）、途中でOFFにすると減速を開始し停止】    |      |
|            | b11    | －     | 使用できません                                                                              |      |
| 制御信号（3軸目） | b10    | RES    | アラーム解除【ONでアラーム解除】                                                            |      |
|            | b9     | ST1    | 前進【ONで前進（原点復帰未完了時は原点復帰後に前進）、途中でOFFにすると減速を開始し停止】    |      |
|            | b8     | ST0    | 後退【ONで後退（原点復帰未完了時は原点復帰後に後退）、途中でOFFにすると減速を開始し停止】    |      |
|            | b7     | －     | 使用できません                                                                              |      |
| 制御信号（2軸目） | b6     | RES    | アラーム解除【ONでアラーム解除】                                                            |      |
|            | b5     | ST1    | 前進【ONで前進（原点復帰未完了時は原点復帰後に前進）、途中でOFFにすると減速を開始し停止】    |      |
|            | b4     | ST0    | 後退【ONで後退（原点復帰未完了時は原点復帰後に後退）、途中でOFFにすると減速を開始し停止】    |      |
|            | b3     | －     | 使用できません                                                                              |      |
| 制御信号（1軸目） | b2     | RES    | アラーム解除【ONでアラーム解除】                                                            |      |
|            | b1     | ST1    | 前進【ONで前進（原点復帰未完了時は原点復帰後に前進）、途中でOFFにすると減速を開始し停止】    |      |
|            | b0     | ST0    | 後退【ONで後退（原点復帰未完了時は原点復帰後に後退）、途中でOFFにすると減速を開始し停止】    |      |

</contents>
