ファイル名: RSEL(MJ0392-4M)_page572

<overview>
このページは「パラメーター一覧（SELユニット）」の一部であり、主に表形式で構成されています。内容はI/Oパラメーターに関する詳細な設定項目の一覧で、各パラメーターの番号、名称、出荷時設定値、入力範囲、単位、備考が記載されています。テキスト部分は表の説明や備考欄に含まれており、グラフや図は含まれていません。
</overview>

<contents>
### 表
#### パラメーター一覧（SELユニット）

| No. | パラメーター名称 | 出荷時設定値 | 入力範囲 | 単位 | 備考 |
| :--- | :--- | :--- | :--- | :--- | :--- |
| 170 | イーサネットI/F 自MACアドレス（H） | 0H | 参照のみ（HEX） |  | 下位2バイトのみ有効 |
| 171 | イーサネットI/F 自MACアドレス（L） | 0H | 参照のみ（HEX） |  |  |
| 172 | イーサネットI/F 自IPアドレス（H） | 192 | 1～255 |  | ※0、および127は設定禁止 |
| 173 | イーサネットI/F 自IPアドレス（MH） | 168 | 0～255 |  |  |
| 174 | イーサネットI/F 自IPアドレス（ML） | 0 | 0～255 |  |  |
| 175 | イーサネットI/F 自IPアドレス（L） | 1 | 1～254 |  | ※0、および255は設定禁止 |
| 176 | イーサネットI/F サブネットマスク（H） | 255 | 0～255 |  |  |
| 177 | イーサネットI/F サブネットマスク（MH） | 255 | 0～255 |  |  |
| 178 | イーサネットI/F サブネットマスク（ML） | 255 | 0～255 |  |  |
| 179 | イーサネットI/F サブネットマスク（L） | 0 | 0～255 |  |  |
| 180 | イーサネットI/F デフォルトゲートウェイ（H） | 0 | 0～255 |  |  |
| 181 | イーサネットI/F デフォルトゲートウェイ（MH） | 0 | 0～255 |  |  |
| 182 | イーサネットI/F デフォルトゲートウェイ（ML） | 0 | 0～255 |  |  |
| 183 | イーサネットI/F デフォルトゲートウェイ（L） | 0 | 0～255 |  |  |
| 184 | CC-Link IE リモートレジスター（入力）ワード数（RWw） | コントローラー構成依存 | 0～64 |  | CC-Link IE時のリモートレジスタワード数（スレーブ局から見た入力） |
| 185 | CC-Link IE リモートレジスター（出力）ワード数（RWr） | コントローラー構成依存 | 0～64 |  | CC-Link IE時のリモートレジスタワード数（スレーブ局から見た出力） |
| 186 | オプションユニット接続台数 | 0 | 0～8 | 台 | 入力、出力使用ポート数はそれぞれ接続台数×16となる。マスターユニットに接続するPIO/SIO/SCON拡張ユニット、PIOユニット、EC接続ユニットの合計接続台数を設定。ただし、SCON拡張ユニット（RCON-EXT）は台数に含まれない。 |
| 187 | オプションユニット固定割付時入力ポート開始No. | -1 | -1～3,999 |  | 0＋（8の倍数）（0～299）、1,000＋（8の倍数）（1,000～3,999）（マイナス時無効） |
| 188 | オプションユニット固定割付時出力ポート開始No. | -1 | -1～6,999 |  | 300＋（8の倍数）（300～599）、4,000＋（8の倍数）（4,000～6,999）（マイナス時無効） |
| 189 | PIOユニット・PIO/SIOユニット異常監視 | 1 | 0～5 |  | 0:非監視<br>1:監視<br>2:監視（24V I/O電源関連エラー非監視）<br>3:監視（24V I/O電源関連エラーのみ監視）<br>4:監視（24V I/O電源関連エラーをメッセージレベルにする）<br>※一部例外あり |

</contents>
