ファイル名: RSEL(MJ0392-4M)_page687

<overview>
このページは「エラー表」として構成されており、主に表形式でエラー番号、エラー名称、内容・原因および対処方法が記載されています。テキスト部分はエラーの詳細説明と対処手順で占められており、図やグラフは含まれていません。
</overview>

<contents>
### 表
#### エラー表

| エラーNo. | エラー名称                             | 内容・原因 / 対処方法                                                                                              |
| -------- | ------------------------------------ | --------------------------------------------------------------------------------------------------------------- |
| 246      | ポジションデータレコードフォーマット種別異常 | 【内容・原因】IAIプロトコルでポジションデータレコードフォーマット種別に未サポートの指定を行った<br>【対処方法】正しい値をセットしてください。 |
| 247      | アブソリュートバックアップバッテリー電圧低下警告 | 【内容・原因】①アブソリュートエンコーダーバックアップバッテリーの電圧低下（3.1V）<br>②エンコーダーケーブル不良やコネクター接触不良<br>【対処方法】①バッテリーの電圧確認または交換<br>②ケーブル接続確認 |
| 248      | EMG論理異常                          | 【内容・原因】①SELユニット故障<br>【対処方法】①SELユニット交換                                                  |
| 249      | ENB論理異常                         | 【内容・原因】①SELユニット故障<br>【対処方法】①SELユニット交換                                                  |
| 24A      | アブソリュートリセット実行条件不成立エラー | 【内容・原因】①サーボON状態、非常停止解除状態で手首ユニットのアブソリュートリセットが行われた。<br>【対処方法】①手首ユニットアブソリュートリセット手順を参考にリセットを行う |
| 24B      | IAIプロトコル未サポート機能エラー    | 【内容・原因】①IAIプロトコルで未サポートの機能を含むコマンドを受信<br>【対処方法】①シリアル通信プロトコル仕様書を確認し、コマンド指定を修正 |
| 254      | モーター駆動制御エラー               | 【内容・原因】①アクチュエーターの摺動抵抗が大きい<br>②アクチュエーター接続ケーブルのコネクター部接触不良<br>③ケーブル断線<br>④外力加わり<br>⑤ブレーキ解除できていない<br>⑥モーター故障<br>⑦ドライバーユニット故障<br>【対処方法】①電源遮断後、手動で摺動抵抗確認<br>②接続状態確認と再配線<br>③ケーブル交換<br>④組付け状態見直し<br>⑤ブレーキケーブル配線確認後、手動で動作確認<br>⑥モーター交換<br>⑦ドライバーユニット交換 |
| 300      | SEL命令語入力エラー                 | 【内容・原因】①SEL命令語に不正なデータを入力した<br>【対処方法】①正しいSEL命令を入力する                      |
</contents>
