ファイル名: RSEL(MJ0392-4M)_page114

<overview>
このページは「3.1 SELユニット、ターミナルユニット」に関する説明で構成されています。  
主に以下のセクションで構成されています。  
- テキスト部分：CC-Link IE Fieldの説明  
- 画像部分：CC-Link IE Fieldのモジュール写真  
- 表部分：LEDの名称、色、状態ごとの内容説明が2つの表で詳細に記載されている  
グラフやフローチャートは含まれていません。
</overview>

<contents>
### テキスト
#### SELユニット、ターミナルユニット
・CC-Link IE Fieldについての説明があり、モジュールの写真が掲載されています。

### 画像
CC-Link IE Fieldのモジュール写真。  
モジュール上に「L ER」「P1」「LINK」「P2」などの表示が見られます。

### 表
#### コネクターと推奨ケーブル
| 項目 | 内容 |
| :--- | :--- |
| コネクタータイプ | 8P8Cモジュラーコネクター |
| 推奨ケーブル | エンハンスドカテゴリー5 規格以上 |

#### LED名称別 状態と内容（1つ目の表）
| LED名称 | 色 | 状態 | 内容 |
| :--- | :--- | :--- | :--- |
| LINK | 緑 | 点滅 | リンクアップ中 |
| LINK | 緑 | 消灯 | リンクダウン中、電源未投入 |
| L ER | 黄 | 点灯 | 受信データが異常 |
| L ER | 黄 | 消灯 | 受信データが正常、電源未投入 |

#### LED名称別 状態と内容（2つ目の表）
| LED名称 | 色 | 状態 | 内容 |
| :--- | :--- | :--- | :--- |
| MS | 緑 | 点灯 | 正常動作中 |
| MS | 緑 | 消灯 | ハードウェア異常発生中、電源未投入 |
| MS | 橙 | 点灯 | 異常発生中（ノード異常/局番設定異常） |
| MS | 橙 | 消灯 | 正常動作中、電源未投入 |
| NS | 緑 | 点灯 | サイクリック伝送を実施中 |
| NS | 緑 | 点滅 | サイクリック伝送停止中 |
| NS | 緑 | 消灯 | サイクリック伝送未実施、解列中、電源未投入 |
| NS | 橙 | 点灯 | 受信データが異常（L.ERのorで点灯） |
| NS | 橙 | 消灯 | 受信データが正常、電源未投入 |
</contents>
