ファイル名: RSEL(MJ0392-4M)_page793

<overview>
このページは「RCP6シリーズ」のアクチュエーターに関する技術仕様をまとめた表で構成されています。テキスト部分はほとんどなく、主に表形式で各モデルのタイプ、送りねじの種類、エンコーダーパルス数、リード長さ、取付方向、速度、加減速度、押付力、定格押付速度などの性能データが詳細に記載されています。グラフや図はなく、表のみで情報が整理されています。
</overview>

<contents>
### 表
#### RCP6シリーズ アクチュエーター仕様一覧

| アクチュエーターシリーズ | タイプ | 送りねじ | エンコーダーパルス数 | リード[mm] | 取付方向 | 最低速度 [mm/s] | 最高速度 [mm/s] | 最大加減速度 [G] | 最小押付力 [N] | 最大押付力 [N] | 定格押付け速度 [mm/s] |
|--------------------------|--------|----------|----------------------|------------|----------|-----------------|-----------------|------------------|----------------|----------------|-----------------------|
| RCP6W (防塵防滴ワイドラジアルシリンダー) | WRA16C WRA16R | ボールねじ | 8192 | 5 | 水平 | 7 | 110 (50～450st)<br>95 (500st)<br>80 (550st)<br>70 (600st)<br>60 (650st)<br>55 (700st)<br>50 (750st)<br>45 (800st) | 0.1 | 1000 | 2000 | 10 |
|                          |        |          |                      |            | 垂直 | 7 | 90 (50～500st)<br>80 (550st)<br>70 (600st)<br>60 (650st)<br>55 (700st)<br>50 (750st)<br>45 (800st) | 0.1 | 1000 | 2000 | 10 |
|                          |        |          |                      |            | 水平/垂直 | 7 | 80 (50～550st)<br>70 (600st)<br>60 (650st)<br>55 (700st)<br>50 (750st)<br>45 (800st)<br>（環境温度5℃以下の場合） | 0.1 | 1000 | 2000 | 10 |
| RCP6 (テーブルタイプ)    | TA4C TA4R (シングルブロック仕様) | ボールねじ | 8192 | 16 | 水平 | 20 | 980 | 1 | 21 | 48 | 40 |
|                          |        |          |                      |            | 垂直 | 20 | 700 | 0.5 | 21 | 48 | 40 |
|                          |        |          |                      |            | 水平 | 13 | 785 | 1 | 22 | 77 | 40 |
|                          |        |          |                      |            | 垂直 | 13 | 700 | 0.5 | 22 | 77 | 40 |
|                          |        |          |                      |            | 水平 | 7 | 390 | 1 | 44 | 155 | 20 |
|                          |        |          |                      |            | 垂直 | 7 | 390 | 0.5 | 44 | 155 | 20 |
|                          |        |          |                      |            | 水平 | 4 | 195 | 1 | 89 | 310 | 20 |
|                          |        |          |                      |            | 垂直 | 4 | 195 | 0.5 | 89 | 310 | 20 |
|                          | TA4C TA4R (ダブルブロック仕様) | ボールねじ | 8192 | 10 | 水平 | 13 | TA4C: 785 (40～190st)<br>680 (240st)<br>TA4R: 700 (40～190st)<br>680 (240st) | 1 | 22 | 77 | 20 |
|                          |        |          |                      |            | 垂直 | 13 | TA4C: 700 (40～190st)<br>680 (240st)<br>TA4R: 525 | 0.5 | 22 | 77 | 20 |
|                          |        |          |                      |            | 水平 | 7 | 390 (40～190st)<br>340 (240st) | 1 | 44 | 155 | 20 |
|                          |        |          |                      |            | 垂直 | 7 | 390 (40～190st)<br>340 (240st) | 0.5 | 44 | 155 | 20 |
|                          |        |          |                      |            | 水平 | 4 | 195 (40～190st)<br>170 (240st) | 1 | 89 | 310 | 20 |
|                          |        |          |                      |            | 垂直 | 4 | 195 (40～190st)<br>170 (240st) | 0.5 | 89 | 310 | 20 |
|                          | TA6C TA6R (シングルブロック仕様) | ボールねじ | 8192 | 20 | 水平 | 25 | 1120 | 1 | 16 | 56 | 20 |
|                          |        |          |                      |            | 垂直 | 25 | 800 | 0.5 | 16 | 56 | 20 |
|                          |        |          |                      |            | 水平 | 15 | 800 | 1 | 26 | 93 | 20 |
|                          |        |          |                      |            | 垂直 | 15 | TA6C: 800<br>TA6R: 680 | 0.5 | 26 | 93 | 20 |
|                          |        |          |                      |            | 水平 | 8 | 400 | 1 | 53 | 185 | 20 |
|                          |        |          |                      |            | 垂直 | 8 | 400 | 0.5 | 53 | 185 | 20 |
|                          |        |          |                      |            | 水平 | 4 | 200 | 1 | 106 | 370 | 20 |
|                          |        |          |                      |            | 垂直 | 4 | 200 | 0.5 | 106 | 370 | 20 |

**注記:**  
- RCP6/RCP6CR/RCP6Wの最高速度・最大加減速度は高出力機能有効時の値です。  
- 高出力設定が無関係の機種も一部あります。

</contents>
