ファイル名: RSEL(MJ0392-4M)_page575

<overview>
本ページは「パラメーター一覧（SELユニット）」の一部であり、主に表形式で構成されています。内容はI/Oパラメーターの番号、名称、出荷時設定値、入力範囲、単位、備考欄からなり、パラメーターの詳細な仕様や割付ポート番号の説明が記載されています。テキスト部分は備考欄の説明文として存在し、グラフや図は含まれていません。
</overview>

<contents>
### 表
#### パラメーター一覧（SELユニット）

| No. | パラメーター名称               | 出荷時設定値 | 入力範囲       | 単位 | 備考                                                                                         |
|-----|-------------------------------|--------------|----------------|------|----------------------------------------------------------------------------------------------|
| 237 | システム予約                   | 0            | 0～99,999,999  |      |                                                                                              |
| 238 | システム予約                   | 0            | 0～9           |      |                                                                                              |
| 239 | システム予約                   | 0            | 0～99,999,999  |      |                                                                                              |
| 240～282 | （拡張用）                | 0            |                |      |                                                                                              |
| 283 | 入力機能選択 000 割付ポート No. | -1           | -1～3,999      |      | I/OパラメーターNo.30 “入力機能選択 000”の機能割付ポートNo.を指定<br>※マイナス時、入力ポートNo.0に割付け |
| 284 | 入力機能選択 001 割付ポート No. | -1           | -1～3,999      |      | I/OパラメーターNo.31 “入力機能選択 001”の機能割付ポートNo.を指定<br>※マイナス時、入力ポートNo.1に割付け |
| 285 | 入力機能選択 002 割付ポート No. | -1           | -1～3,999      |      | I/OパラメーターNo.32 “入力機能選択 002”の機能割付ポートNo.を指定<br>※マイナス時、入力ポートNo.2に割付け |
| 286 | 入力機能選択 003 割付ポート No. | -1           | -1～3,999      |      | I/OパラメーターNo.33 “入力機能選択 003”の機能割付ポートNo.を指定<br>※マイナス時、入力ポートNo.3に割付け |
| 287 | 入力機能選択 004 割付ポート No. | -1           | -1～3,999      |      | I/OパラメーターNo.34 “入力機能選択 004”の機能割付ポートNo.を指定<br>※マイナス時、入力ポートNo.4に割付け |
| 288 | 入力機能選択 005 割付ポート No. | -1           | -1～3,999      |      | I/OパラメーターNo.35 “入力機能選択 005”の機能割付ポートNo.を指定<br>※マイナス時、入力ポートNo.5に割付け |
| 289 | 入力機能選択 006 割付ポート No. | -1           | -1～3,999      |      | I/OパラメーターNo.36 “入力機能選択 006”の機能割付ポートNo.を指定<br>※マイナス時、入力ポートNo.6に割付け |
| 290 | 入力機能選択 007 割付ポート No. | -1           | -1～3,999      |      | I/OパラメーターNo.37 “入力機能選択 007”の機能割付ポートNo.を指定<br>※マイナス時、入力ポートNo.7に割付け<br>※「プログラムスタート指定プログラムNo.」を指定した場合は、プログラムスタート指定プログラムNo.のLSB側から昇順に連続した入力ポートNo.を指定 |
| 291 | 入力機能選択 008 割付ポート No. | -1           | -1～3,999      |      | I/OパラメーターNo.38 “入力機能選択 008”の機能割付ポートNo.を指定<br>※マイナス時、入力ポートNo.8に割付け<br>※「プログラムスタート指定プログラムNo.」を指定した場合は、プログラムスタート指定プログラムNo.のLSB側から昇順に連続した入力ポートNo.を指定 |
| 292 | 入力機能選択 009 割付ポート No. | -1           | -1～3,999      |      | I/OパラメーターNo.39 “入力機能選択 009”の機能割付ポートNo.を指定<br>※マイナス時、入力ポートNo.9に割付け<br>※「プログラムスタート指定プログラムNo.」を指定した場合は、プログラムスタート指定プログラムNo.のLSB側から昇順に連続した入力ポートNo.を指定 |
| 293 | 入力機能選択 010 割付ポート No. | -1           | -1～3,999      |      | I/OパラメーターNo.40 “入力機能選択 010”の機能割付ポートNo.を指定<br>※マイナス時、入力ポートNo.10に割付け<br>※「プログラムスタート指定プログラムNo.」を指定した場合は、プログラムスタート指定プログラムNo.のLSB側から昇順に連続した入力ポートNo.を指定 |

</contents>
