ファイル名: RSEL(MJ0392-4M)_page712

<overview>
このページは「第11章 トラブルシューティング」の一部で、主にエラー表で構成されています。ページ全体は表形式で、エラー番号、エラー名称、内容・原因および対処方法が記載された構成です。テキストは表の中に整理されており、図やグラフは含まれていません。
</overview>

<contents>
### 表
#### 11.3 エラー表

| エラーNo. | エラー名称                     | 内容・原因 / 対処方法                                                                                           |
| -------- | ---------------------------- | ------------------------------------------------------------------------------------------------------------- |
| 47E      | 簡易干渉チェックゾーン侵入検出 | 【内容・原因】<br>①簡易干渉チェックゾーンへの侵入を検出した<br>【対処方法】<br>①簡易干渉チェックゾーンに侵入しないように動作条件や動作パターンを変更する |
| 47F      | 軸グループ指定エラー           | 【内容・原因】<br>①指定された軸グループが無効<br>【対処方法】<br>①有効な軸グループを指定する                                                   |
| 480      | 目標軌跡範囲外エラー           | 【内容・原因】<br>①ポジションデータ設定ミス（3回記載）<br>【対処方法】<br>①エラーが発生したステップのポジションNo.を確認し、ソフトリミットを超えないように設定する<br>②エラーが発生したステップのポジションNo.を確認し、直交座標系の可動範囲内に設定する<br>③エラーが発生したステップのポジションNo.を確認し、CP動作制限帯外になるように設定する |
| 481      | マルチスライダー過接近検出エラー | 【内容・原因】<br>①マルチスライダーサーボ指令位置過接近領域侵入を検出した<br>②マルチスライダーサーボ現在位置過接近領域侵入を検出した<br>【対処方法】<br>①ジョグなどで過接近位置から脱出後、次の動作を行う<br>②ジョグなどで過接近位置から脱出後、次の動作を行う |
| 482      | 不正制御系遷移指令エラー       | 【内容・原因】<br>①軸移動中（サーボオンかつ位置決め未完了状態）にNTCH命令を実行した<br>【対処方法】<br>①軸移動中（サーボオンかつ位置決め未完了状態）にNTCH命令を実行しない |
| 483      | 軸使用中サーボOFFエラー         | 【内容・原因】<br>①使用中の軸をサーボOFFさせた<br>②機構補正中に補正軸をサーボOFFさせた（手首ユニットの場合）<br>【対処方法】<br>①使用中の軸をサーボOFFさせない<br>②機構補正中は補正軸をサーボOFFさせない |
| 484      | シンクロ従軸コマンドエラー       | 【内容・原因】<br>①シンクロ従軸に軸指令（サーボON/OFF、移動指令など）を発行した<br>【対処方法】<br>①シンクロ従軸に軸指令（サーボON/OFF、移動指令など）を発行しない。軸指令（サーボON/OFF、移動指令など）はマスター軸に対して発行する |

</contents>
