ファイル名: RSEL(MJ0392-4M)_page589

<overview>
本ページは「10.2.2 MC共通パラメーター」に関する内容で構成されています。主に表形式でパラメーターの一覧を示しており、各パラメーターの番号、名称、出荷時設定値、入力範囲、単位、備考が記載されています。テキスト部分は表の説明や補足情報として備考欄に含まれています。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### 10.2.2 MC共通パラメーター一覧

| No. | パラメーター名称                     | 出荷時設定値 | 入力範囲       | 単位          | 備考                                                                                                   |
|-----|------------------------------------|--------------|----------------|---------------|--------------------------------------------------------------------------------------------------------|
| 1   | オーバーライド初期値                | 100          | 1～100         |               | プログラム内未指定時使用。（SIO動作には無効）                                                         |
| 2   | 動作ポジションデータ減速度0有効選択 | 0            | 0～5           |               | 0：動作ポジションデータ減速度0時、減速度＝加速度<br>1：動作ポジションデータ減速度0時、減速度＝0データと見なす |
| 3   | 原点復帰未完了時最大JOG速度         | 30           | 1～250         | mm/s          |                                                                                                        |
| 4   | 定常（非押付）トルクリミットオーバー時処理種別 | 0            | 0～9           |               | 0：動作解除レベルエラー（推奨）<br>1：動作キャンセル（SEL命令出力部はOFF）<br>※過負荷などドライバーエラー優先<br>2：出力ポート/グローバルフラグ出力<br>※“2”はメインアプリ部V1.14以降で対応 |
| 5   | システム予約                        | 150          | 0～1,200       | 0.1度         |                                                                                                        |
| 6   | 分割距離初期値                     | 0            | 0～10,000      | mm            |                                                                                                        |
| 7   | アーチトリガー開始点チェックタイプ | 0            | 0～5           |               | 0：操作量＆実位置チェック<br>1：操作量のみチェック<br>※各軸座標指定アーチモーションにかぎり有効          |
| 8   | マニュアルモード時セーフティー速度 | 250          | 1～250         | mm/s          | ※全有効軸「軸パラメーターNo.1 VLMX速度」最小値以下の値として扱われる。                                  |
| 9   | システム予約                        | 0            | ～             |               |                                                                                                        |
| 10  | 速度初期値                        | 30           | 1～250         | mm/s          | SIO伝文・ポジションデータ指定されないときなどに使用。                                                 |
| 11  | 加速度初期値                      | 0            | 0～200         | 0.01G         | 0設定時は、軸グループ内のもっとも低い定格加減速度で動作<br>※アクチュエーターの設置条件によっては実際の定格加減速度と異なる場合あり |
| 12  | 減速度初期値                      | 0            | 0～200         | 0.01G         | 0設定時は、軸グループ内のもっとも低い定格加減速度で動作<br>※アクチュエーターの設置条件によっては実際の定格加減速度と異なる場合あり |
| 13  | 動作継続復旧速度                  | 30           | 1～250         | mm/s (deg/s)  | 非常停止時に停止した位置から手などで外力をかけて動かした後に復旧操作を行うと、停止した位置に戻ってから継続動作をする。その停止した位置に戻るときの動作速度を設定 |
| 14  | 動作継続復旧加速度                | 30           | 1～200         | 0.01G         | 動作継続復旧速度同様、停止位置に戻るときの加速度を設定                                                  |
| 15  | 動作継続復旧減速度                | 30           | 1～200         | 0.01G         | 動作継続復旧速度同様、停止位置に戻るときの減速度を設定                                                  |
| 16  | サーボON確認時間                  | 150          | 1～999         | 100ms         | サーボON開始レスポンス取得～動作可能状態遷移間の時間                                                  |
| 17  | 位置決め完了確認時間              | 100          | 1～999         | 100ms         | 位置決め指令送出完了～位置決め完了信号ON間の時間<br>（位置決め指令0かつ位置偏差＞位置決め幅の状態が本設定値を超えた場合に「4C3位置決め完了タイムアウト」発生） |
| 18  | （拡張用）                       | 0            | ～             |               |                                                                                                        |

</contents>
