ファイル名: RSEL(MJ0392-4M)_page405

<overview>
このページは「6.3 パラメーター設定」に関する内容で、主に表形式で構成されています。表にはパラメーター番号、名称、出荷時設定値、設定値、単位、備考が記載されており、各パラメーターの詳細な説明が含まれています。テキスト部分は表のヘッダーと備考欄に存在し、グラフや図はありません。
</overview>

<contents>
### 表
#### パラメーター設定一覧（No.186～227）

| No.  | パラメーター名称                         | 出荷時設定値 | 設定値 | 単位 | 備考                                                                                                   |
| :--- | :------------------------------------- | :----------- | :----- | :--- | :----------------------------------------------------------------------------------------------------- |
| 186  | オプションユニット接続台数             | 0            | 3      | 台   | 入力、出力使用ポート数はそれぞれ接続台数×16となります。                                               |
| 187  | オプションユニット固定割付け時入力ポート開始No. | -1           | -1     |      | 0 + (8の倍数) (0～299)<br>1,000 + (8の倍数) (1,000～3,999)<br>（マイナス時無効）                      |
| 188  | オプションユニット固定割付け時出力ポート開始No. | -1           | -1     |      | 300 + (8の倍数) (300～599)<br>4,000 + (8の倍数) (4,000～6,999)<br>（マイナス時無効）                  |
| 189  | PIOユニット・PIO/SIOユニット異常監視   | 1            | 1      |      | 0:非監視<br>1:監視<br>2:監視 (24V I/O 電源関連エラー非監視)<br>3:監視 (24V I/O 電源関連エラーのみ監視)<br>4:監視 (24V I/O 電源関連エラーをメッセージレベルにする)<br>※一部例外あり |
| 190  | オプションユニット属性1                 | C800200H     | 任意   |      | ビット0-3: TF通信異常時PIOユニット出力ポートデータ選択 (0:クリアー、1:ホールド)<br>ビット4-7: TF通信異常時PIOユニット入力ポートデータ選択 (0:クリアー、1:ホールド)<br>ビット8-15: TF通信リンク異常確認タイマー値 (10ms)<br>ビット20-31: TF通信初期化時リンクタイムアウト値 (100ms) |
| 225  | I/Oコントロール                         | 1H           | 1H     |      | ビット0-7: I/O1モジュール種別<br>0H:未実装<br>1H:CC-Link<br>2H:DeviceNet<br>3H:PROFIBUS-DP<br>6H:EtherCAT<br>7H:EtherNet/IP<br>9H:PIO<br>AH:PROFINET IO<br>DH:CC-Link IE |
| 226  | I/O1フィールドバスノードアドレス       | 1            | 任意   |      | 設定可能範囲 1～64                                                                                     |
| 227  | I/O1フィールドバス通信速度             | 4            | 任意   |      | 0:156kbps、1:625kbps、2:2.5Mbps、3:5Mbps、4:10Mbps                                                    |

</contents>
