ファイル名: RSEL(MJ0392-4M)_page425

<overview>
本ページは「6.3 パラメーター設定」に関する内容で、主に表形式で構成されています。ページ全体はパラメーターの一覧表で構成されており、各パラメーターの番号、名称、出荷時設定値、設定値、単位、備考が記載されています。テキスト部分は表の備考欄に詳細な説明が含まれているのみで、グラフや図はありません。
</overview>

<contents>
### 表
#### パラメーター設定一覧（抜粋）

| No.  | パラメーター名称                          | 出荷時設定値 | 設定値 | 単位 | 備考                                                                                                   |
| :--- | :-------------------------------------- | :----------- | :----- | :--- | :----------------------------------------------------------------------------------------------------- |
| 132  | I/Oフィールドバス自IPアドレス（H）      | 192          | 任意   |      | ※0、および127は設定禁止                                                                               |
| 133  | I/Oフィールドバス自IPアドレス（MH）     | 168          | 任意   |      |                                                                                                       |
| 134  | I/Oフィールドバス自IPアドレス（ML）     | 0            | 任意   |      |                                                                                                       |
| 135  | I/Oフィールドバス自IPアドレス（L）      | 1            | 任意   |      | ※0、および255は設定禁止                                                                               |
| 136  | I/Oフィールドバスサブネットマスク（H）  | 255          | 任意   |      |                                                                                                       |
| 137  | I/Oフィールドバスサブネットマスク（MH） | 255          | 任意   |      |                                                                                                       |
| 138  | I/Oフィールドバスサブネットマスク（ML） | 255          | 任意   |      |                                                                                                       |
| 139  | I/Oフィールドバスサブネットマスク（L）  | 0            | 任意   |      |                                                                                                       |
| 140  | I/Oフィールドバスデフォルトゲートウェイ（H） | 0        | 任意   |      |                                                                                                       |
| 141  | I/Oフィールドバスデフォルトゲートウェイ（MH）| 0        | 任意   |      |                                                                                                       |
| 142  | I/Oフィールドバスデフォルトゲートウェイ（ML）| 0        | 任意   |      |                                                                                                       |
| 143  | I/Oフィールドバスデフォルトゲートウェイ（L） | 0        | 任意   |      |                                                                                                       |
| 186  | オプションユニット接続台数                | 0            | 3      | 台   | 入力、出力使用ポート数はそれぞれ接続台数×16となる                                                  |
| 187  | オプションユニット固定割付時入力ポート開始No. | -1         | 0      |      | 0＋（8の倍数）（0～299）、1,000＋（8の倍数）（1,000～3,999）（マイナス時無効）                         |
| 188  | オプションユニット固定割付時出力ポート開始No.| -1         | 300    |      | 300＋（8の倍数）（300～599）、4,000＋（8の倍数）（4,000～6,999）（マイナス時無効）                    |
| 189  | PIOユニット・PIO/SIOユニット異常監視      | 1            | 1      |      | 0:非監視、1:監視、2:監視（24V I/O電源関連エラー非監視）、3:監視（24V I/O電源関連エラーのみ監視）、4:監視（24V I/O電源関連エラーをメッセージレベルにする）※一部例外あり |
| 190  | オプションユニット属性1                   | C800200₁₆    | 任意   |      | ビット0-3:TF通信異常時PIOユニット出力ポートデータ選択（0:クリアー、1:ホールド）<br>ビット4-7:TF通信異常時PIOユニット入力ポートデータ選択（0:クリアー、1:ホールド）<br>ビット8-15:TF通信リンク異常確認タイマー値（10ms）<br>ビット20-31:TF通信初期化時リンクタイムアウト値（100ms） |
| 225  | I/Oコントロール                           | 7₁₆          | 7₁₆    |      | ビット0-7:I/O1モジュール種別<br>0₁₆:未実装、1₁₆:CC-Link、2₁₆:DeviceNet、3₁₆:PROFIBUS-DP、6₁₆:EtherCAT、7₁₆:EtherNet/IP、9₁₆:PIO、A₁₆:PROFINET IO、D₁₆:CC-Link IE |
| 227  | I/O1フィールドバス通信速度                | 0            | 任意   |      | 0:オートネゴシエーション、1:10Mbps（半二重）、2:10Mbps（全二重）、3:100Mbps（半二重）、4:100Mbps（全二重） |

</contents>
