ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page316

<overview>
本ページは「6.2 パラメーター一覧」の一部であり、I/Oパラメーターに関する表形式の情報で構成されています。ページ全体は表部分のみで構成されており、テキスト説明やグラフ、図表は含まれていません。表はパラメーター番号、名称、初期値、入力範囲、単位、備考の6列で構成されており、システム予約や拡張モーションコントロールボード関連のパラメーターが記載されています。
</overview>

<contents>
### 表
#### I/Oパラメーター一覧（抜粋）

| No. | パラメーター名称 | 初期値（参考） | 入力範囲 | 単位 | 備考 |
| :--- | :--- | :--- | :--- | :--- | :--- |
| 504 | システム予約 | 1,000 | 1,000～3,999 | ― |  |
| 505 | システム予約 | 4,000 | 4,000～6,999 | ― |  |
| 506 | システム予約 | 3,000 | 0～99,999 | ms |  |
| 507 | システム予約 | 8030h | 0h～FFFFFFFFh | ― |  |
| 508～510 | （拡張用） | 0 | ― | ― |  |
| 511～526 | システム予約 | 0 | 0～3,999 | ― |  |
| 527～528 | （拡張用） | 0 | ― | ― |  |
| 529 | システム予約 | 00111111b | 0b～11111111b | ― |  |
| 530 | 拡張モーションコントロールボードポジションデータ点数 | 128 | 0～512 | ― | 使用するポジションデータ最大点数 |
| 531 | 拡張モーションコントロールボードポジションデータ定義用最大軸No. | 0 | 0～15 | ― | ユーザーデータ保持メモリー内への拡張モーションコントロールボード軸ポジションデータ領域確保用最大軸No. |
| 532 | 拡張モーションコントロールボードポジションデータ定義用ポジションデータ点数 | 0 | 0～512 | ― | ユーザーデータ保持メモリー内への拡張モーションコントロールボード軸ポジションデータ領域確保用ポジションデータ点数。<br>※「0」を設定の場合、拡張モーション用のポジションデータ領域を確保しない。<br>※「0」以外の値を設定すると、拡張モーションコントロールボード実装に関わらず、拡張モーション用のポジションデータ領域を確保する。 |
| 533 | 拡張モーションコントロールボード同期メインCPU制御主軸位置種類 | 00000000h | 0h～FFFFFFFFh | ― | メインCPU制御主軸（第1～8軸）同期位置種類を指定<br>（0：現在指令位置、1：現在位置）<br>ビット0-3：第1軸同期位置種類<br>ビット4-7：第2軸同期位置種類<br>ビット8-11：第3軸同期位置種類<br>ビット12-15：第4軸同期位置種類<br>ビット16-19：第5軸同期位置種類<br>ビット20-23：第6軸同期位置種類<br>ビット24-27：第7軸同期位置種類<br>ビット28-31：第8軸同期位置種類<br>※同期命令の主軸＝拡張モーション制御軸の主軸位置種類は、「現在指令位置」固定。 |
| 534 | システム予約 | 00000000h | 0h～FFFFFFFFh | ― |  |
| 535 | システム予約 | 0 | 0～3,999 | ― |  |
| 536 | システム予約 | 0 | 0～6,999 | ― |  |
| 537 | システム予約 | 00000000h | 0h～FFFFFFFFh | ― |  |
| 538 | システム予約 | 0 | 0～3,999 | ― |  |
| 539 | システム予約 | 0 | 0～6,999 | ― |  |
| 540 | システム予約 | 00000000h | 0h～FFFFFFFFh | ― |  |
| 541 | システム予約 | 0 | 0～3,999 | ― |  |
| 542 | システム予約 | 0 | 0～6,999 | ― |  |
| 543 | システム予約 | 00000000h | 0h～FFFFFFFFh | ― |  |

</contents>
