ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page417

<overview>
このページは「7.3 エラー表」と題されており、主に表形式で構成されています。内容はエラー番号ごとにエラー名称、内容・原因、対処方法が詳細に記載されています。テキスト部分はエラーの説明と対処法の文章で構成されており、表部分はエラー情報を体系的に整理しています。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### エラー表（動作解除レベルエラー）

| エラーNo. | エラー名称                             | 内容・原因                                                                                                                       | 対処方法                                                                                                   |
| --------- | ------------------------------------ | ------------------------------------------------------------------------------------------------------------------------------ | ---------------------------------------------------------------------------------------------------------- |
| 420       | 定常（非押付け）トルクリミットオーバーエラー | 【内容・原因】<br>定常（非押付け）トルク制限値による電流指令値制限限界状態が継続。想定外の負荷や動作拘束、モーターやケーブルの故障などで検出される場合あり。 | 1) 負荷、動作の拘束を取り除く<br>2) モーター、モーターケーブル、ドライバーボードの交換が必要 |
| 421       | スカラ・直動軸同時指定エラー         | 【内容・原因】<br>スカラ軸と直動軸を同時に指定したため、同時動作不可。                                                             | 軸パターン、ポジションデータを確認する。                                                                   |
| 422       | マルチスライダー指令位置過接近エラー | 【内容・原因】<br>マルチスライダーサーボ指令位置過接近領域侵入を検出。                                                               | ジョグなどで過接近位置から脱出後、次の動作を行う。                                                         |
| 423       | マルチスライダー実位置過接近エラー   | 【内容・原因】<br>マルチスライダーサーボ現在位置過接近領域侵入を検出。                                                               | ジョグなどで過接近位置から脱出後、次の動作を行う。                                                         |
| 424       | レスポンス伝文内ポジションNo.データサイズオーバーエラー | 【内容・原因】<br>受信コマンドが拡張されたポジションNo.をサポートしていないため正常なレスポンス送信不可。拡張ポジションデータに対応していないパソコン対応ソフト・ティーチングボックスなどが接続されている可能性あり。 | 接続しているパソコン対応ソフト・ティーチングボックスのバージョンがコントローラーに対応しているか確認。 |
| 426       | ビジョンシステム撮像指令送出リトライ回数オーバーエラー | 【内容・原因】<br>コンベアートラッキングシステム使用時のアラーム。トラッキングコントロール5のリトライ回数をオーバー。通信障害や外部からの過剰データ受信の可能性あり。 | ノイズ、通信ケーブルのショート・断線、接続機器、通信設定を確認。                                         |
| 429       | ユーザー定義メモリーブロックNo.エラー | 【内容・原因】<br>ユーザー定義メモリーブロックNo.が異常。                                                                       | 範囲外のNo.を指定していないか確認。                                                                         |
| 42A       | ユーザー定義メモリーブロックデータ種別エラー | 【内容・原因】<br>ユーザー定義メモリーブロックデータ種別が異常。                                                                   | 指定ユーザー定義メモリーブロックが「無効」または操作対象外のデータ種別でないか確認。                         |

</contents>
