ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page274

<overview>
このページは「IXAスカラロボットの衝突検知機能」に関する内容で構成されています。  
テキスト部分では、プログラム例の説明があり、現在位置からポジションNo.1、さらにポジションNo.2への移動間で衝突検知機能を使用する例を示しています。  
表部分には、プログラム例のコマンドとオペランドの一覧があり、それぞれの設定内容が記載されています。  
グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 5.6.4 プログラム例
現在位置からポジションNo.1への移動、ポジションNo.1からポジションNo.2への移動間で衝突検知機能を使用する例です。

### 表
| Cmnd | Operand 1 | Operand 2 | 内容説明 |
| :--- | :-------- | :-------- | :------- |
| VELS | 50        |           | PTP速度の設定 |
| ACCS | 50        |           | PTP加速度の設定 |
| DCLS | 50        |           | PTP減速度の設定 |
| WGHT | 2000      | 1200      | 荷重の設定 |
| CLLV | 1111      | 100       | 第1～4軸の衝突検知レベルを100%に設定 |
| COL  | 1         | 1111      | 第1～4軸の衝突検知機能を有効にする |
| MOVP | 1         |           | ポジションNo.1へPTP移動 |
| MOVP | 2         |           | ポジションNo.2へPTP移動 |
| COL  | 0         | 1111      | 衝突検知機能を無効にする |
| EXIT |           |           | プログラム終了 |

</contents>
