ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page445

<overview>
本ページは「7.3 エラー表」の章に属し、主にエラー番号ごとのエラー名称とその内容・原因・対処方法を一覧形式で示した表で構成されています。テキスト部分はエラーの説明と対処法の詳細が記載されており、表形式でエラーNo.、エラー名称、内容・原因・対処方法が整理されています。グラフや図はなく、表のみの構成です。
</overview>

<contents>
### 表
#### エラー表（エラーNo.674～69B）

| エラーNo. | エラー名称                                   | 内容・原因 / 対処方法                                                                                              |
| --------- | -------------------------------------------- | ----------------------------------------------------------------------------------------------------------------- |
| 674       | トラッキングエンコーダー断線エラー           | ※コンベアートラッキングシステム使用時のアラームです。トラッキングエンコーダーケーブルが断線しています。電源再投入必要です。 |
| 675       | トラッキングABZエンコーダー論理エラー        | ※コンベアートラッキングシステム使用時のアラームです。トラッキングエンコーダーA・B相電気レベルパターンの異常を検出しました。電源再投入必要です。 |
| 677       | ABZエンコーダーZ相クリアー位置エラー         | エンコーダーケーブルが接続されているか確認してください。                                                     |
| 678       | 拡張I/O割付けパラメーターエラー               | 拡張I/O割付け関連パラメーターが異常です。                                                                       |
| 679       | 拡張I/O割付け数オーバーエラー                 | 拡張I/O割付けが仕様範囲をオーバーしています。                                                                   |
| 67A       | 拡張I/O多重割付けエラー                       | 拡張I/O割付けが重なっています。                                                                                   |
| 67C       | ユーザー定義メモリーブロックパラメーターエラー | ユーザー定義メモリーブロックパラメーターが異常です。I/OパラメーターNo.460～491の設定値を確認してください。       |
| 681       | ブレーキ電源エラー                           | 【内容・原因】ブレーキ電源が入力されていません。<br>【対処方法】ブレーキ電源が正しく供給されているか確認してください。 |
| 685       | 入出力機能選択ポートNo.エラー                 | 入出力機能選択に指定されている入出力ポートNo.の設定が異常です。I/OパラメーターNo.28,29,62～69,76,77,79,283～330,816～847などの設定を確認してください。<br>（例）入出力ポートNo.の範囲外の値を設定している。入出力ポートNo.が重複して設定している。など。 |
| 69A       | エンコーダー・モーター制御定数テーブル管理領域サムチェックエラー | 【内容・原因】フラッシュROMに格納されたエンコーダー・モーター制御定数テーブルの異常を検出しました。以下の原因が考えられます。<br>1) フラッシュROMにデータ書込中に電源が遮断された。<br>2) フラッシュROMの故障。<br>【対処方法】電源再投入しても発生する場合は、当社まで連絡してください。 |
| 69B       | エンコーダー・モーター制御定数テーブル管理領域IDエラー | 【内容・原因】フラッシュROMに格納されたエンコーダー・モーター制御定数テーブルの異常を検出しました。以下の原因が考えられます。<br>1) フラッシュROMにデータ書込中に電源が遮断された。<br>2) フラッシュROMの故障。<br>【対処方法】電源再投入しても発生する場合は、当社まで連絡してください。 |
</contents>
