ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page457

<overview>
本ページは「7.3 エラー表」に関する内容で構成されています。主に表形式でエラー番号、エラー名称、及びそれぞれのエラーの内容・原因・対処方法が記載されています。テキスト部分は表の説明やエラー表示に関する簡単な説明文のみで、グラフや図は含まれていません。
</overview>

<contents>
### テキスト
パネルウィンドウでは、Eの後にエラーNo.が表示されます。

### 表
#### エラー表（メッセージレベルエラー）

| エラーNo. | エラー名称                             | 内容・原因 / 対処方法                                                                                 |
| :------- | :----------------------------------- | :-------------------------------------------------------------------------------------------------- |
| A5B      | 文字列→数値変換異常警告             | 変換時の文字数の指定値が異常であるか、または数値変換できない文字があります。                         |
| A5C      | SCPY命令コピー文字数異常警告        | コピー時の文字数の指定値が異常です。                                                                 |
| A5E      | 入出力ポート・フラグ数指定エラー     | 入出力ポート・フラグ数の指定に異常があります。                                                       |
| A5F      | フィールドバスエラー（LERROR-ON）   | LERROR-ONを検出しました。                                                                             |
| A60      | フィールドバスエラー（LERROR-BLINK）| LERROR-ブリンクを検出しました。                                                                       |
| A61      | フィールドバスエラー（HERROR-ON）   | HERROR-ONを検出しました。                                                                             |
| A62      | フィールドバスエラー（HERROR-BLINK）| HERROR-ブリンクを検出しました。                                                                       |
| A69      | 動作中データ変更拒絶エラー           | 動作中（プログラム実行中、またはサーボ使用中など）変更禁止データの変更を試みました。                   |
| A6A      | ライト中ソフトウェアリセット拒絶エラー| データフラッシュROMライト中・スレーブパラメータライト中のソフトウェアリセットは禁止されています。   |
| A6B      | フィールドバスエラー（FBRSリンクエラー）| FBRSリンクエラーを検出しました。                                                                     |
| A6C      | AUTOモード時、PC・TP起動指令拒絶エラー| AUTOモード時、パソコン対応ソフト・ティーチングボックス用コネクターからの起動は禁止されています。   |
| A6D      | P0, P3, FROM領域ダイレクトライト禁止エラー| P0, P3, FROM領域へのダイレクトライトは禁止されています。                                           |
| A6E      | ライト中拒絶エラー                   | データフラッシュROMライト中・スレーブパラメータライト中には許されない処理を試みました。               |
</contents>
