ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page481

<overview>
本ページは「7.3 エラー表」に関する内容で構成されています。ページ全体は表形式で、エラーNo.、エラー名称、内容・原因・対処方法の3つのカラムからなるエラー一覧表が掲載されています。テキスト部分はエラーの説明や対処方法の詳細であり、表部分がメインの構成です。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### エラー表（コールドスタートレベルエラー）

| エラーNo. | エラー名称                         | 内容・原因 / 対処方法                                                                                                                                                                                                                     |
| :------- | :-------------------------------- | :--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| D4B      | 軸別データ出力パラメーターエラー | 軸別パラメーターNo.115 “OUTDT:AXIS（データ出力設定・軸別データモニター）”の設定に以下の異常があります。<br>1) 出力ポートが範囲外<br>2) 出力ポートが重複している<br>3) 出力バイト数が無効<br>4) フォーマット（バイトオーダー）が無効<br>5) 出力データ種別が無効 |
| D4C      | イーサネットパラメーターエラー   | イーサネット関連パラメーターに異常があります。<br>IOパラメーターNo.172～175などを確認してください。<br>原因例：システム予約のIPアドレスを設定したなど                                                                                 |
| D58      | フィールドバスエラー（INITタイムアウト） | INITタイムアウトを検出しました。<br>フィールドネットワークボードの取扱説明書を参照し、ボード前面のモニター用LED状態を確認してください。                                                                                             |
| D59      | フィールドバスエラー（DPRAMライトリード） | DPRAMライトリードエラーを検出しました。<br>フィールドネットワークボードの取扱説明書を参照し、ボード前面のモニター用LED状態を確認してください。                                                                                         |
| D5A      | フィールドバスエラー（TOGGLEタイムアウト） | TOGGLEタイムアウトを検出しました。<br>フィールドネットワークボードの取扱説明書を参照し、ボード前面のモニター用LED状態を確認してください。                                                                                             |
| D5B      | フィールドバスエラー（アクセス権リトライオーバー） | アクセス権リトライオーバーエラーを検出しました。<br>フィールドネットワークボードの取扱説明書を参照し、ボード前面のモニター用LED状態を確認してください。                                                                                 |
| D5D      | フィールドバスエラー（FBRSリンクエラー） | FBRSリンクエラーを検出しました。<br>フィールドネットワークボードの取扱説明書を参照し、ボード前面のモニター用LED状態を確認してください。                                                                                               |
| D5F      | ネットワークI/Fモジュール種別不整合エラー | I/OパラメーターNo.225のネットワークI/Fモジュール種別と実際に装着されているネットワークモジュール種別が一致しません。<br>→I/OパラメーターNo.225設定値と実際に装着されているネットワークモジュールの組合せなどを確認してください。 |
| D65      | 電源ボード不整合エラー             | パラメーター設定値と挿入されている電源ボードの種別（標準／高容量）が一致していません。                                                                                                                                                   |
| D66      | 突入電流制御回路エラー             | 電源は投入されているが、突入電流制限用リレーが正常動作していません。                                                                                                                                                                   |
| D67      | モーター・エンコーダー構成情報不整合エラー | ドライバーパラメーターNo.26 “モーター・エンコーダー構成情報”（モーター識別No.、エンコーダー識別No.）と、エンコーダーパラメーターNo.11 “モーター・エンコーダー構成情報”（モーター識別No.、エンコーダー識別No.）が一致していません。パラメーター値やエンコーダーケーブルの接続などを確認してください。 |
| D69      | 外付端子台過電流 or 供給電源異常   | 外付け端子台過電流、または外付け端子台供給電源異常です。                                                                                                                                                                               |
</contents>
