ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page340

<overview>
このページは「6.2 パラメーター一覧」の一部であり、軸別パラメーター（XSEL-RA/SA）に関するパラメーターの詳細を表形式で示しています。ページ全体は表部分で構成されており、各パラメーターの番号、名称、初期値、入力範囲、単位、備考が列挙されています。テキストやグラフはなく、パラメーターの仕様説明に特化した内容です。
</overview>

<contents>
### 表
#### 軸別パラメーター一覧（No.59〜85）

| No. | パラメーター名称                          | 初期値（参考） | 入力範囲          | 単位     | 備考                                                                                                   |
|-----|------------------------------------------|----------------|-------------------|----------|--------------------------------------------------------------------------------------------------------|
| 59  | 偏差エラー許容率（MAX速度パルス比）      | 27             | 1〜99             | －       | 軸別運転速度MAX定常偏差＋軸別運転速度MAXパルス速度×偏差エラー許容率と偏差比較                             |
| 60  | 位置ゲイン                                | 30             | 1〜9,999          | /s       | 【6.4 サーボ調整】参照                                                                                  |
| 61  | FAG                                      | 0              | 0〜999            | －       | 【6.4 サーボ調整】参照                                                                                  |
| 62  | シンクロFBゲイン                          | 77             | 0〜1,000          | /s       |                                                                                                        |
| 63  | 停止特殊出力レンジ                        | 1              | 0〜9,999          | パルス   | 0時無効                                                                                               |
| 64  | 停止特殊出力値                            | 1              | 0〜999            | DRVVR    |                                                                                                        |
| 65  | シンクロ相手軸No.                        | 0              | 0〜8              | －       | 相互入力必要（ペア中軸No.小さいほうが主軸。分解能関連同一特性軸だけ指定可。従軸へのコマンド発行不可）<br>※「0」は無効<br>※物理的に原点復帰エンド位置に合わせてアクチュエーター設置必要 |
| 66  | 回転移動軸モード選択                      | 0              | 0〜5              | －       | 0：ノーマル 1：インデックスモード                                                                       |
| 67  | 回転移動軸近回り制御選択                  | 0              | 0〜5              | －       | 0：非選択<br>1：選択（インデックスモードかつINCエンコーダーの場合にかぎり有効）                         |
| 68  | 直線移動軸モード選択                      | 0              | 0〜5              | －       | 0：ノーマル<br>1：無限ストロークモード<br>注意：位置決めバウンダリーあり。INCエンコーダーの場合にかぎり指定可 |
| 69  | シンクロ従軸停止時トルク制限              | 0              | 0〜70             | %        | 「0」設定時は制限なし。シンクロ従軸時にかぎり有効。<br>※関連情報：軸別パラメーターNo.52                   |
| 70  | システム予約（変更禁止）                   | 0              | －                | －       |                                                                                                        |
| 71  | システム予約（変更禁止）                   | 0              | －                | －       |                                                                                                        |
| 72  | DRVVR＋側オフセット                       | 0              | -999〜999         | DRVVR    | （変更禁止）プラス側・マイナス側対称性確保のため                                                    |
| 73  | DRVVR−側オフセット                       | 0              | -999〜999         | DRVVR    | （変更禁止）プラス側・マイナス側対称性確保のため                                                    |
| 74  | システム予約（変更禁止）                   | 0              | －                | －       |                                                                                                        |
| 75  | システム予約（変更禁止）                   | 0              | －                | －       |                                                                                                        |
| 76  | システム予約（変更禁止）                   | 0h             | 0h〜FFFFFFFFh     | －       |                                                                                                        |
| 77  | シンクロSパルス                           | 3              | 0〜99,999         | パルス   | ※関連情報：軸別パラメーターNo.52                                                                     |
| 78  | テイクオフ指令量MAX                       | 0              | -3000〜3000       | 0.001mm  | ブレーキアンロック前浮上指令量MAX（符号付き入力）<br>重量物サーボON瞬時降下抑制<br>注意：上昇座標方向と同一符号方向で入力。絶対値で0.100〜0.500mm程度目安<br>軸別パラメーターNo.30「サーボON確認時間」も長くして上昇方向トルク追従時間確保必要（ブレーキ装着指定時にかぎり有効） |
| 79  | テイクオフ確認実距離                     | 5              | 0〜3,000          | 0.001mm  | 絶対値入力                                                                                             |
| 80  | 強制フィードレンジMAX                     | 0              | 0〜9,999          | 0.001mm  | 収束時間短縮用（0時レンジ無効）1,000mm程度目安                                                      |
| 81  | 強制フィードレンジMIN                     | 200            | 0〜9,999          | 0.001mm  |                                                                                                        |
| 82  | 強制フィードレンジMID                     | 600            | 0〜9,999          | 0.001mm  |                                                                                                        |
| 83  | ABSシンクロ従軸座標初期化キャンセル       | 0              | 0〜5              | －       | シンクロ従軸時にかぎり有効                                                                             |
| 84  | シンクロ従軸同期補正速度MAX               | 5              | 0〜100            | mm/s     | 従軸同期位置補正移動速度MAX。シンクロ従軸時にかぎり有効。<br>注意：セーフティー速度で制限されない         |
| 85  | 原点復帰時加減速度                         | 15             | 1〜300            | 0.01G    |                                                                                                        |

</contents>
