ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page219

<overview>
本ページは「5.2 ビジョンシステムインターフェイス機能」に関するエラー一覧表で構成されています。ページ全体は表形式で、エラー番号、エラー名称、内容・対処方法の3列からなる表が中心です。テキストは表内に記載されており、グラフや図は含まれていません。
</overview>

<contents>
### 表
#### ビジョンシステムインターフェイス機能のエラー一覧

| No.  | エラー名称                         | 内容・対処                                                                                                                       |
| :--- | :-------------------------------- | :------------------------------------------------------------------------------------------------------------------------------- |
| B20  | イーサーネット 未初期化デバイス使用エラー | イーサネットデバイスの初期化が完了していない状態でイーサネットシステムを使用しようとした。使用目的に応じてI/OパラメーターNo.123～159、14、15などを確認すること。 |
| B21  | イーサーネット IPアドレスエラー   | 通常使用下で以下の条件でエラーとなる。IPアドレスの各オクテット(IP_H, IP_MH, IP_ML, IP_L)が指定範囲外の場合。I/OパラメーターNo.132～135、149～152、154～157、またはIPCN命令で指定されたIPアドレスを確認。 |
| B22  | イーサーネット ポートNo.エラー    | 以下の条件でエラー。自ポート番号が1025未満または65535超、重複、接続先ポート番号が0以下または65535超の場合。I/OパラメーターNo.144～148、159、153、158、またはIPCN命令で指定されたポート番号を確認。 |
| B27  | ビジョンシステム指定エラー         | 使用しようとしているビジョンシステムI/Fが使用中のものと異なる。SLVS命令操作1[0]でビジョンシステムI/Fを開放後、使用するI/Fを指定すること。                           |
| B28  | ビジョンシステムI/F初期化未完了エラー | ビジョンシステムI/Fの初期化が未完了。I/OパラメーターNo.160～164、351～357、全軸パラメーターNo.121を確認。                                               |
| B29  | ビジョンシステムI/F他タスク使用中エラー | 指定したビジョンシステムI/Fが他のタスクで使用中。                                                                                 |
| B2A  | ビジョンシステムI/F撮像位置不良エラー | キャリブレーション時と撮像時のZ軸位置が異なる。カメラをロボットに固定した場合はZ軸位置を同じにする必要あり。パラメーターNo.130ビット0-7で判定距離の確認を推奨。 |
| C27  | ウェイト時タイムアウト時間設定範囲オーバーエラー | タイムアウト時間の設定に異常あり。                                                                                               |
</contents>
