ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page323

<overview>
このページは「6.2.2 全軸共通パラメーター（XSEL-RA/SA）」に関する内容で構成されています。主に表形式でパラメーターの一覧が示されており、各パラメーターの名称、初期値、入力範囲、単位、備考が詳細に記載されています。テキスト部分はパラメーターの説明や注意事項が中心で、図やグラフは含まれていません。
</overview>

<contents>
### テキスト
#### 6.2.2 全軸共通パラメーター（XSEL-RA/SA）

- 本節では、XSEL-RA/SAにおける全軸共通のパラメーター一覧を示しています。
- 各パラメーターはNo.で管理されており、名称、初期値、入力範囲、単位、備考が記載されています。
- 備考欄にはパラメーターの使用条件や注意点、動作の詳細説明が含まれています。

### 表
#### 全軸共通パラメーター一覧（XSEL-RA/SA）

| No. | パラメーター名称                         | 初期値（参考） | 入力範囲           | 単位   | 備考                                                                                                                         |
|:----|:---------------------------------------|:--------------|:-------------------|:-------|:-----------------------------------------------------------------------------------------------------------------------------|
| 1   | 有効軸パターン                         | 0b            | 0b～11111111b      | －     | OFFビット：ドライバー非実装の設定。                                                                                         |
| 2   | オーバーライド初期値                   | 100           | 1～100             | －     | プログラム内で指定されていない場合に使用。SIOから動作させる場合は作用しない。標準・拡張モーション軸ともに有効。               |
| 3～8 | （拡張用）                             | 0             | －                 | －     |                                                                                                                              |
| 9   | イネーブルSW（デッドマンSW・セーフティーゲート）有効物理軸パターン | 11111111b     | 00b～11111111b     | －     | BASE命令の影響を受けない。全軸時は必ず11111111を指定。イネーブルSWの詳細な動作条件やオプション仕様についても記載。           |
| 10  | システム予約（変更禁止）               | 0             | －                 | －     |                                                                                                                              |
| 11  | 加速度初期値                         | 30            | 1～200             | 0.01G  | ポジションデータ・プログラム・SIO伝文で指定されない時などに使用。                                                             |
| 12  | 減速度初期値                         | 30            | 1～200             | 0.01G  | ポジションデータ・プログラム・SIO伝文で指定されない時などに使用。                                                             |
| 13  | 速度初期値                           | 30            | 1～250             | mm/s   | SIO伝文・ポジションデータ指定されない時などに使用。                                                                           |
| 14  | 動作ポジションデータ減速度0有効選択   | 0             | 0～5               | －     | 0：動作ポジションデータ減速度0時、減速度＝加速度<br>1：動作ポジションデータ減速度0時、減速度＝0データと見なす。               |
| 15  | 原点復帰未完了時JOG速度MAX             | 30            | 1～250             | mm/s   |                                                                                                                              |
| 16～17 | システム予約（変更禁止）             | 0             | －                 | －     |                                                                                                                              |

</contents>
