ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page440

<overview>
本ページは「7.3 エラー表」に関する内容で構成されています。ページ全体は表形式で、エラーNo.、エラー名称、内容・原因・対処方法の3つのカラムからなるエラー一覧表が掲載されています。テキスト部分は表の説明文のみで、図やグラフは含まれていません。
</overview>

<contents>
### テキスト
パネルウィンドウでは、Eの後にエラーNo.が表示されます。

### 表
#### エラー表（コールドスタートレベルエラー）

| エラーNo. | エラー名称                                   | 内容・原因 / 対処方法                                      |
| :------- | :----------------------------------------- | :-------------------------------------------------------- |
| 613      | ドライバー同期通信ドライバーリードエラー   | ドライバーボード・FPGA（メイン）間に通信障害が発生しました。 |
| 614      | ドライバー同期通信LRCエラー                 | ドライバーボード・FPGA（メイン）間に通信障害が発生しました。 |
| 615      | ドライバー同期通信トグルエラー               | ドライバーボード・FPGA（メイン）間に通信障害が発生しました。 |
| 623      | ドライバーエラー詳細コード取得エラー         | ドライバーエラーが発生しましたが、エラー詳細コード取得に失敗しました。 |
| 624      | 未定義ドライバーエラー                       | ドライバーエラーが発生しました。                          |
| 625      | ドライバー側検出同期通信エラー               | ドライバーボード・FPGA（メイン）間に通信障害が発生しました。 |
| 626      | ドライバーIPM15V電圧低下エラー               | ドライバーIPM15V回路電圧低下を検出しました。              |
| 627      | ドライバー電流検出A/Dオフセットオーバーエラー | ドライバー電流検出A/Dオフセット異常を検出しました。        |
| 628～62F | ドライバーエラー                             | （将来拡張用ドライバーエラー）                            |
| 630      | アップデートシステムコードエラー（アプリ部検出） | アップデートシステムコードに異常があります。              |
| 631      | アップデートユニットコードエラー（アプリ部検出） | アップデートユニットコードに異常があります。              |
| 633      | フィードバックパルス同期エラー（速度ループ側検出） | フィードバックパルス同期異常（速度ループ側検出）です。    |
| 634      | フィードバックパルス同期エラー（位置ループ側検出） | フィードバックパルス同期異常（位置ループ側検出）です。    |
| 635      | 要リセット復旧タイプデッドマンSW・イネーブルSWオープン状態 | デッドマンSW・イネーブルSW解除後、電源を再投入してください。 |
| 636      | シリアルエンコーダーコマンドビジーエラー     | シリアルエンコーダーコマンド発行時、ビジー状態です。      |
</contents>
