ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page308

<overview>
このページは「6.2 パラメーター一覧」の一部であり、I/Oパラメーターに関する表形式の情報が中心です。ページ全体は表部分で構成されており、各パラメーターの番号、名称、初期値、入力範囲、単位、備考が詳細に記載されています。テキスト部分は表の説明や補足情報として備考欄に含まれています。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### I/Oパラメーター一覧（抜粋）

| No.  | パラメーター名称           | 初期値（参考） | 入力範囲    | 単位 | 備考                                                                                                                        |
|-------|----------------------------|----------------|-------------|------|-----------------------------------------------------------------------------------------------------------------------------|
| 290   | 入力機能選択 007 割付ポート No. | -1             | -1～3,999   | ―    | I/OパラメーターNo.37 “入力機能選択 007”の機能割付けポートNo.を指定。マイナス時は入力ポートNo.7に割付。プログラムスタート指定プログラムNo.を指定した場合はLSB側から昇順に連続した入力ポートNo.を指定。関連情報：I/OパラメーターNo.30 “入力機能選択 000” |
| 291   | 入力機能選択 008 割付ポート No. | -1             | -1～3,999   | ―    | I/OパラメーターNo.38 “入力機能選択 008”の機能割付けポートNo.を指定。マイナス時は入力ポートNo.8に割付。プログラムスタート指定プログラムNo.を指定した場合はLSB側から昇順に連続した入力ポートNo.を指定。 |
| 292   | 入力機能選択 009 割付ポート No. | -1             | -1～3,999   | ―    | I/OパラメーターNo.39 “入力機能選択 009”の機能割付けポートNo.を指定。マイナス時は入力ポートNo.9に割付。プログラムスタート指定プログラムNo.を指定した場合はLSB側から昇順に連続した入力ポートNo.を指定。 |
| 293   | 入力機能選択 010 割付ポート No. | -1             | -1～3,999   | ―    | I/OパラメーターNo.40 “入力機能選択 010”の機能割付けポートNo.を指定。マイナス時は入力ポートNo.10に割付。プログラムスタート指定プログラムNo.を指定した場合はLSB側から昇順に連続した入力ポートNo.を指定。 |
| 294   | 入力機能選択 011 割付ポート No. | -1             | -1～3,999   | ―    | I/OパラメーターNo.41 “入力機能選択 011”の機能割付けポートNo.を指定。マイナス時は入力ポートNo.11に割付。プログラムスタート指定プログラムNo.を指定した場合はLSB側から昇順に連続した入力ポートNo.を指定。 |
| 295   | 入力機能選択 012 割付ポート No. | -1             | -1～3,999   | ―    | I/OパラメーターNo.42 “入力機能選択 012”の機能割付けポートNo.を指定。マイナス時は入力ポートNo.12に割付。プログラムスタート指定プログラムNo.を指定した場合はLSB側から昇順に連続した入力ポートNo.を指定。 |
| 296   | 入力機能選択 013 割付ポート No. | -1             | -1～3,999   | ―    | I/OパラメーターNo.43 “入力機能選択 013”の機能割付けポートNo.を指定。マイナス時は入力ポートNo.13に割付。プログラムスタート指定プログラムNo.を指定した場合はLSB側から昇順に連続した入力ポートNo.を指定。 |

</contents>
