ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page443

<overview>
本ページは「7.3 エラー表」の章に属し、パネルウィンドウに表示されるエラー番号（Eの後に表示）に対応したエラー名称とその内容・原因および対処方法を一覧形式で示している。構成は主に表形式で、エラーNo.、エラー名称、内容・原因／対処方法の3列からなる。表は複数のエラー項目が縦に並び、特にコールドスタートレベルエラーに関する詳細な説明が多い。テキストは表の上部に簡単な説明文があるのみで、図やグラフは含まれていない。
</overview>

<contents>
### テキスト
パネルウィンドウでは、Eの後にエラーNo.が表示されます。

### 表
#### エラー表（コールドスタートレベルエラー中心）

| エラーNo. | エラー名称                                   | 内容・原因 / 対処方法                                                                                           |
| :------- | :------------------------------------------ | :------------------------------------------------------------------------------------------------------------- |
| 655      | シリアルエンコーダーコマンド発行時エンコーダー受信タイムアウトエラー | エンコーダーとの通信に障害があります。                                                                         |
| 657      | トルクリミットパラメーターエラー             | ドライバーパラメーターNo.38、39、40などを確認してください。                                                   |
| 65A      | エンコーダーID未サポートエラー               | エンコーダーが未サポートです。エンコーダーIDに対応するエンコーダー制御定数レコードがありません。装着されているエンコーダーを確認してください。 |
| 65B      | エンコーダー未サポートエラー（メイン情報）   | エンコーダーが未サポートです。エンコーダー識別No.に該当するエンコーダー制御定数レコードが無効かありません。ドライバーパラメーターNo.26、エンコーダーパラメーターNo.11「モーター・エンコーダー構成情報」などを確認してください。 |
| 65C      | モーター未サポートエラー（メイン情報）       | モーターが未サポートです。モーター識別No.に該当するモーター制御定数レコードが無効かありません。ドライバーパラメーターNo.26、エンコーダーパラメーターNo.11「モーター・エンコーダー構成情報」などを確認してください。 |
| 65D      | モーター未サポートエラー（ドライバー情報）   | モーターが未サポートです。ドライバーパラメーター「ドライバーフラッシュROM内モーター制御関連データ使用」指定時、モーター識別ビットNo.が“サポートモーター識別No.MAX”範囲外です。ドライバーパラメーターNo.26、エンコーダーパラメーターNo.11「モーター・エンコーダー構成情報」などを確認してください。 |
| 65E      | 電流検出回路種別不整合エラー                 | モーター制御定数“電流検出回路指定”と、ドライバーパラメーター“実装種別ワード1 電流検出回路種別”が不一致です。ドライバーパラメーターNo.26、エンコーダーパラメーターNo.11「モーター・エンコーダー構成情報」などを確認してください。 |
| 65F      | メイン・ドライバーモーター制御データ不整合エラー | モーター制御定数と、ドライバーパラメーターが不整合（定格速度、最大速度、定格電流、最大電流、極対数、リニアモーターリード、リニアモーター指定）です。ドライバーパラメーターNo.26、エンコーダーパラメーターNo.11「モーター・エンコーダー構成情報」などを確認してください。 |
| 660      | モーター速度MAX不整合エラー                   | 軸別パラメーターNo.27「モーター速度MAX」と、モーター制御定数“最大速度”が不整合です。ドライバーパラメーターNo.26、エンコーダーパラメーターNo.11「モーター・エンコーダー構成情報」などを確認してください。 |
| 661      | エンコーダー・モーター組合せ不整合エラー（リニア/ロータリー種別） | エンコーダーとモーターのリニア/ロータリー種別が不整合です。ドライバーパラメーターNo.26、エンコーダーパラメーターNo.11「モーター・エンコーダー構成情報」などを確認してください。 |
| 662      | 機械角360度パルス数計算エラー                 | 機械角360度パルス数計算値が異常です。（算出値が0の時、またはリニアエンコーダー時は算出値に端数がある場合）                             |
| 663      | ソフトウェアDB指定エラー                       | ドライバーパラメーターNo.42 “ソフトウェアDB指定”値が異常です。                                               |
| 664      | 電流制御帯域番号指定エラー                     | ドライバーパラメーターNo.46 “電流制御帯域番号”値が異常です。                                                 |

</contents>
