ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page339

<overview>
本ページは「6.2 パラメーター一覧」の一部であり、軸別パラメーター（XSEL-RA/SA）に関する詳細なパラメーター情報を表形式で示している。ページ構成は主に表部分で構成されており、パラメーター番号、名称、初期値、入力範囲、単位、備考の6列からなる。テキストは備考欄に詳細な説明が記載されているが、図やグラフは含まれていない。
</overview>

<contents>
### 表
#### 軸別パラメーター一覧（No.52～58）

| No. | パラメーター名称                     | 初期値（参考） | 入力範囲           | 単位           | 備考                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|-----|------------------------------------|----------------|--------------------|----------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 52  | シンクロ設定ビットパターン1         | 0h             | 0h～FFFFFFFFh      | ―              | 3：シングル→ダブルセンサー切換制御<br>※主軸・従軸同一座標において“独立した”制御自由度がない場合にかぎり、状況に応じ設定（水平軸だけ設定可）<br>※軸別パラメーターNo.69、77、58、108も設定必要あり。<br>（設定例（主/従軸）：No.69 シンクロ従軸停止時トルク制限=0/50%、No.77 シンクロSパルス=3/[計算値(300μm換算)]パルス、No.58 位置決め幅=100/300μm、No.108 シンクロ従軸位置決め時制御切換幅=0/5000μm）<br>※制御方法変更時、ドライバーパラメーター調整が必要となる場合あり。<br>※シンクロ従軸にかぎり有効。<br>ビット8-11：INCエンコーダー（INC-INC制御）原点復帰時シンクロ従軸Z相使用選択<br>0：従軸Z相不使用<br>1：従軸Z相使用<br>※従軸Z相使用時は、従軸側下記パラメーター有効。軸別パラメーターNo.21「原点復帰時オフセット移動量」、軸別パラメーターNo.12“原点プリセット値”<br>※従軸Z相使用時調整方法<br>(1) シンクロ状態で原点復帰完了させる。<br>・原点復帰完了後のエラーNo.D0A“ドライバー過負荷エラー”は無視。<br>・エラーNo.C9C“Z相位置不良エラー”が発生する場合は、シンクロ両軸の設置位置関係を調整する必要あり。<br>・エラーNo.C72または、D6B“オーバーランエラー”が発生する場合は、シンクロ両軸の設置位置関係調整もしくは、軸別パラメーターNo.15“オーバーランセンサー入力極性”を「0（不使用）」に設定しオーバーランセンサー使用中止。<br>(2) 非常停止によりサーボOFFさせる。<br>(3) シンクロ主軸・従軸の物理的位置関係を合わせ、現在位置座標を読取る。<br>(4) シンクロ従軸側の軸別パラメーターNo.21「原点復帰時、オフセット移動量」に、“シンクロ従軸現在位置座標－シンクロ主軸現在位置座標”を計算後設定。（単位換算要注意）<br>(5) フラッシュROMライト後、コントローラーソフトリセット、または、パワーONリセット。<br>※シンクロ従軸時だけ有効。 |
| 53  | 軸別設定ビットパターン1             | 0h             | 0h～FFFFFFFFh      | ―              | ―                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| 54  | 原点復帰時押付け停止検出移動量       | 20             | 1～99,999          | 0.001mm        | 原点復帰の押付け確認に使用。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 55  | 位置決め時押付け停止検出移動量       | 30             | 1～99,999          | 0.001mm        | PUSH命令の押付け確認に使用。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 56  | 原点復帰時押付け強制完了偏差率       | 2,000          | 1～99,999          | ―              | 押付け速度定常偏差＋押付け速度パルス速度×強制完了偏差率と偏差比較                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| 57  | 位置決め時押付け強制完了偏差率       | 5,000          | 1～99,999          | ―              | 押付け速度定常偏差＋押付け速度パルス速度×強制完了偏差率と偏差比較                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| 58  | 位置決め幅                         | 100            | 1～9,999           | 0.001mm/0.001deg | ※関連情報：軸別パラメーターNo.52                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |

</contents>
