ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page281

<overview>
このページは「5.6 IXAスカラロボットの衝突検知機能」に関する章の一部であり、主に「関連する仮想入出力ポート」について説明しています。構成は以下の通りです。
- テキスト部分：仮想入出力ポートNo.7310～7317の使用状況と確認方法の説明
- 表部分：ポート番号とそれぞれの機能（第1軸～第8軸の衝突検知機能使用中の状態）を一覧化した表
- グラフ部分：なし
</overview>

<contents>
### テキスト
#### 5.6.6 関連する仮想入出力ポート
SELプログラムから衝突検知機能を使用しているか否かの確認を、仮想入出力ポートNo.7310～7317を通じて行うことができます。

### 表
#### 関連する仮想入出力ポート一覧

| ポート No. | 機能                                               |
| :--------- | :------------------------------------------------ |
| 7310       | 第1軸衝突検知機能使用中（メインアプリ部 V1.10以降） |
| 7311       | 第2軸衝突検知機能使用中（メインアプリ部 V1.10以降） |
| 7312       | 第3軸衝突検知機能使用中（メインアプリ部 V1.10以降） |
| 7313       | 第4軸衝突検知機能使用中（メインアプリ部 V1.10以降） |
| 7314       | 第5軸衝突検知機能使用中（メインアプリ部 V1.10以降） |
| 7315       | 第6軸衝突検知機能使用中（メインアプリ部 V1.10以降） |
| 7316       | 第7軸衝突検知機能使用中（メインアプリ部 V1.10以降） |
| 7317       | 第8軸衝突検知機能使用中（メインアプリ部 V1.10以降） |
</contents>
