ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page190

<overview>
本ページは「ティーチングツールの配線」に関する内容で構成されています。ページ全体は主に表形式で、ティーチングコネクターのインターフェイス仕様一覧を示しています。テキスト部分は表の見出しや補足説明が中心で、図やグラフは含まれていません。
</overview>

<contents>
### テキスト
#### ティーチングコネクター部インターフェイス仕様一覧表
ティーチングツールのコネクター部に関する仕様と備考をまとめた一覧表です。

### 表
| 仕様           | 内容                                                                 | 備考                                                                                   |
| :------------- | :------------------------------------------------------------------- | :------------------------------------------------------------------------------------- |
| コネクター     | D-sub25 ピン                                                        | XM3B-2542-502L（OMRON製）                                                             |
| 通信方式       | RS-232C準拠 調歩同期式半二重通信                                   | RS-232CのDTE端子配列に準拠した信号割付け。未定義ラインなどに専用制御線を割付けている。 |
| ボーレート     | 最大230.4kbps                                                       |                                                                                         |
| 最大接続距離   | 10m                                                                | 38.4kbpsの時                                                                           |
| 被接続ユニット | パソコンまたは専用ティーチングボックス                             | パソコン、ティーチングボックス                                                       |
| 電源供給       | DC5VまたはDC24V                                                   | 各ラインには短絡保護用としてマルチヒューズ搭載（1.1Aから2.2Aでトリップ）               |
| プロトコル     | シリアル通信プロトコル（フォーマットB）                           |                                                                                         |
| 非常停止制御   | 非常停止用リレー駆動（24V駆動）                                   | インターフェイスコネクター内に非常停止リレー駆動用ラインがあり、ほかの非常停止接点とシリーズに結合されている。二重化のため独立した非常停止入力を2系統搭載。 |
| イネーブル制御 | イネーブルスイッチライン（24V駆動）                              | オペレーター操作のインターロックを行うイネーブルスイッチ接続線を用意。二重化のため独立したイネーブル入力を2系統搭載。 |
| モードスイッチ | AUTO/MANUスイッチ                                                 | ティーチングツールの使用可否はAUTO/MANU切替えのモードスイッチで行われる。MANUモードの場合にかぎり、ティーチングツールとの接続が可能。 |

</contents>
