ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page310

<overview>
このページは「6.2 パラメーター一覧」の一部であり、I/Oパラメーターに関する表形式の情報で構成されています。テキストはパラメーター番号、名称、初期値、入力範囲、単位、備考欄に分かれており、各パラメーターの詳細な説明が記載されています。表のみで構成されており、グラフや図は含まれていません。
</overview>

<contents>
### 表
#### I/Oパラメーター一覧（No.314～No.330）

| No.  | パラメーター名称                         | 初期値（参考） | 入力範囲     | 単位 | 備考                                                                                          |
| :--- | :------------------------------------- | :------------- | :----------- | :--- | :-------------------------------------------------------------------------------------------- |
| 314  | 出力機能選択315 割付ポートNo.           | 0              | 0～6,999     | ―    | I/OパラメーターNo.61 “出力機能選択315”の機能割付けポートNo.を指定。0時は出力ポートNo.315に割付け。 |
| 315  | 出力機能選択300（エリア2）割付ポートNo. | 0              | 0～6,999     | ―    | I/OパラメーターNo.331 “出力機能選択300（エリア2）”の機能割付けポートNo.を指定。0時は機能割付けポートなし。 |
| 316  | 出力機能選択301（エリア2）割付ポートNo. | 0              | 0～6,999     | ―    | I/OパラメーターNo.332 “出力機能選択301（エリア2）”の機能割付けポートNo.を指定。0時は機能割付けポートなし。 |
| 317  | 出力機能選択302（エリア2）割付ポートNo. | 0              | 0～6,999     | ―    | I/OパラメーターNo.333 “出力機能選択302（エリア2）”の機能割付けポートNo.を指定。0時は機能割付けポートなし。 |
| 318  | 出力機能選択303（エリア2）割付ポートNo. | 0              | 0～6,999     | ―    | I/OパラメーターNo.334 “出力機能選択303（エリア2）”の機能割付けポートNo.を指定。0時は機能割付けポートなし。 |
| 319  | 出力機能選択304（エリア2）割付ポートNo. | 0              | 0～6,999     | ―    | I/OパラメーターNo.335 “出力機能選択304（エリア2）”の機能割付けポートNo.を指定。0時は機能割付けポートなし。 |
| 320  | 出力機能選択305（エリア2）割付ポートNo. | 0              | 0～6,999     | ―    | I/OパラメーターNo.336 “出力機能選択305（エリア2）”の機能割付けポートNo.を指定。0時は機能割付けポートなし。 |
| 321  | 出力機能選択306（エリア2）割付ポートNo. | 0              | 0～6,999     | ―    | I/OパラメーターNo.337 “出力機能選択306（エリア2）”の機能割付けポートNo.を指定。0時は機能割付けポートなし。 |
| 322  | 出力機能選択307（エリア2）割付ポートNo. | 0              | 0～6,999     | ―    | I/OパラメーターNo.338 “出力機能選択307（エリア2）”の機能割付けポートNo.を指定。0時は機能割付けポートなし。 |
| 323  | 出力機能選択308（エリア2）割付ポートNo. | 0              | 0～6,999     | ―    | I/OパラメーターNo.339 “出力機能選択308（エリア2）”の機能割付けポートNo.を指定。0時は機能割付けポートなし。 |
| 324  | 出力機能選択309（エリア2）割付ポートNo. | 0              | 0～6,999     | ―    | I/OパラメーターNo.340 “出力機能選択309（エリア2）”の機能割付けポートNo.を指定。0時は機能割付けポートなし。 |
| 325  | 出力機能選択310（エリア2）割付ポートNo. | 0              | 0～6,999     | ―    | I/OパラメーターNo.341 “出力機能選択310（エリア2）”の機能割付けポートNo.を指定。0時は機能割付けポートなし。 |
| 326  | 出力機能選択311（エリア2）割付ポートNo. | 0              | 0～6,999     | ―    | I/OパラメーターNo.342 “出力機能選択311（エリア2）”の機能割付けポートNo.を指定。0時は機能割付けポートなし。 |
| 327  | 出力機能選択312（エリア2）割付ポートNo. | 0              | 0～6,999     | ―    | I/OパラメーターNo.343 “出力機能選択312（エリア2）”の機能割付けポートNo.を指定。0時は機能割付けポートなし。 |
| 328  | 出力機能選択313（エリア2）割付ポートNo. | 0              | 0～6,999     | ―    | I/OパラメーターNo.344 “出力機能選択313（エリア2）”の機能割付けポートNo.を指定。0時は機能割付けポートなし。 |
| 329  | 出力機能選択314（エリア2）割付ポートNo. | 0              | 0～6,999     | ―    | I/OパラメーターNo.345 “出力機能選択314（エリア2）”の機能割付けポートNo.を指定。0時は機能割付けポートなし。 |
| 330  | 出力機能選択315（エリア2）割付ポートNo. | 0              | 0～6,999     | ―    | I/OパラメーターNo.346 “出力機能選択315（エリア2）”の機能割付けポートNo.を指定。0時は機能割付けポートなし。 |

**備考の共通内容:**  
各パラメーターは対応するI/Oパラメーター番号の“出力機能選択”に関連し、割付けポート番号を指定します。値が0の場合は機能割付けポートなし、または特定のポート番号に割付けられます。

</contents>
