ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page300

<overview>
本ページは「6.2 パラメーター一覧」の一部であり、I/Oパラメーターに関する詳細な表形式の一覧が中心となっています。ページ全体は表部分のみで構成されており、各パラメーターの番号、名称、初期値（参考）、入力範囲、単位、備考が列挙されています。テキストやグラフ、図は含まれていません。
</overview>

<contents>
### 表
#### I/Oパラメーター一覧（No.72～103）

| No. | パラメーター名称 | 初期値（参考） | 入力範囲 | 単位 | 備考 |
| --- | ---------------- | -------------- | -------- | ---- | ---- |
| 72 | 全動作一時停止（サーボ軸ソフトインターロック＋出力ポートソフトインターロック）時無操作汎用出力エリア No.MIN | 300 | 0～6,999 | — | ※要注意：本エリアの出力は、“全動作一時停止時、I/O処理プログラム”を含むユーザープログラムの責任下で操作する必要あり（復旧含む）。本エリア以外の出力は強制的にOFFされ、全動作一時停止中に操作された結果を反映し保留（自動運転中のみ）される。（0時無効） |
| 73 | 全動作一時停止（サーボ軸ソフトインターロック＋出力ポートソフトインターロック）時無操作汎用出力エリア No.MAX | 599 | 0～6,999 | — | 同上 |
| 74 | TPユーザー出力ポート使用数（ノンドなど） | 0 | 0～8 | — | TPが参照。（0時無効） |
| 75 | TPユーザー出力ポート開始No.（ハンドなど） | 0 | 0～599 | — | TPが参照。 |
| 76 | AUTOモード出力ポートNo. | 0 | 0～6,999 | — | （0時無効） |
| 77 | PC・TPサーボ移動コマンド受付け許可入力ポートNo. | 0 | 0～3,999 | — | ※要注意：動作開始後は無効。（0時無効） |
| 78 | PC・TPサーボ移動コマンド受付け許可入力対象軸パターン | 0b | 0b～11111111b | — | ※標準モーション制御軸にかぎり有効 |
| 79 | リモートモード制御入力ポートNo. | 0 | 0～3,999 | — | 指定DI=ON、または、AUTO/MANU-SW=MANU時、システムモード=MANU。（0時無効）※リモートモード制御入力ポートに対しては、デバッグフィルター無効 |
| 80 | （PC・TP用SIO使用方法） | 1 | 1～1 | — |  |
| 81 | （PC・TP用SIO局コード） | 153 | 参照のみ153～153 | — | 153（99H）固定 |
| 82～89 | （PC・TP用SIO予約） | 0 | — | — |  |
| 90 | ユーザー開放SIOチャンネル0使用方法（AUTOモード時） | 1 | 0～9 | — | 0：SELプログラム開放<br>1：SELプログラム開放（デバイス共通CLOSE時PC・ティーチングボックス接続）<br>2：IAIプロトコルB（スレーブ） |
| 91 | ユーザー開放SIOチャンネル0局コード | 153 | 0～255 | — | IAIプロトコル時のみ有効 |
| 92 | ユーザー開放SIOチャンネル0ボーレート種別 | 0 | 0～5 | — | 0：9.6、1：19.2、2：38.4、3：57.6、4：76.8、5：115.2、6：230.4（単位はkbps） |
| 93 | ユーザー開放SIOチャンネル0データ長 | 8 | 7～8 | — |  |
| 94 | ユーザー開放SIOチャンネル0ストップビット長 | 1 | 1～2 | — |  |
| 95 | ユーザー開放SIOチャンネル0パリティー種別 | 0 | 0～2 | — | 0：なし、1：奇数、2：偶数 |
| 96 | システム予約 | 0 | 0～1 | — |  |
| 97 | ユーザー開放SIOチャンネル0IAIプロトコルレスポンス最小遅延時間 | 0 | 0～999 | ms | IAIプロトコル時のみ有効 |
| 98～99 | （ユーザー開放SIOチャンネル0予約） | 0 | — | — |  |
| 100 | システム予約 | 28100010h | 0h～FFFFFFFFh | — |  |
| 101 | システム予約 | 0h | 0h～FFFFFFFFh | — |  |
| 102 | システム予約 | 28100020h | 0h～FFFFFFFFh | — |  |
| 103 | システム予約 | 0h | 0h～FFFFFFFFh | — |  |

</contents>
