ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page352

<overview>
このページは「6.2 パラメーター一覧」の一部であり、特に「3. 軸別パラメーター（XSEL-RAX/SAX、RAXD/SAXD）」に関するパラメーターの詳細を表形式で示しています。ページ全体は表部分で構成されており、各パラメーターの番号、名称、初期値（スカラ軸・直動軸）、入力範囲、単位、備考が記載されています。テキストやグラフは含まれていません。
</overview>

<contents>
### 表
#### 軸別パラメーター一覧（No.84～102）

| No. | パラメーター名称                     | 初期値 (スカラ軸) | 初期値 (直動軸) | 入力範囲                           | 単位    | 備考                                                                                         |
|:----|:-----------------------------------|:------------------|:----------------|:---------------------------------|:--------|:--------------------------------------------------------------------------------------------|
| 84  | シンクロ従軸同期補正速度MAX         | 5                 | 5               | 0～100                           | mm/s    | 従軸同期位置補正移動速度MAX。シンクロ従軸時にかぎり有効。セーフティー速度で制限されない。直動軸にかぎり有効。 |
| 85  | 原点復帰時加減速度                   | 15                | 15              | 1～300                          | 0.01G   | スカラA1、A、R軸の単位は「deg/sec²」                                                        |
| 86  | ゾーン1MAX                         | 0                 | 0               | -99,999,999～99,999,999         | 0.001mm | MAX＞MIN時にかぎり有効。領域通過時間3ms以上確保必要。直動軸にかぎり有効。                     |
| 87  | ゾーン1MIN                         | 0                 | 0               | -99,999,999～99,999,999         | 0.001mm | MAX＞MIN時にかぎり有効。領域通過時間3ms以上確保必要。直動軸にかぎり有効。                     |
| 88  | ゾーン1出力No.                     | 0                 | 0               | 0～6,999                        | ―       | 物理的出力ポート or グローバルフラグ or 拡張出力ポート（0時出力無効、重複指定無効）。直動軸にかぎり有効。 |
| 89  | ゾーン2MAX                         | 0                 | 0               | -99,999,999～99,999,999         | 0.001mm | MAX＞MIN時にかぎり有効。領域通過時間3ms以上確保必要。直動軸にかぎり有効。                     |
| 90  | ゾーン2MIN                         | 0                 | 0               | -99,999,999～99,999,999         | 0.001mm | MAX＞MIN時にかぎり有効。領域通過時間3ms以上確保必要。直動軸にかぎり有効。                     |
| 91  | ゾーン2出力No.                     | 0                 | 0               | 0～6,999                        | ―       | 物理的出力ポート or グローバルフラグ or 拡張出力ポート（0時出力無効、重複指定無効）。直動軸にかぎり有効。 |
| 92  | ゾーン3MAX                         | 0                 | 0               | -99,999,999～99,999,999         | 0.001mm | MAX＞MIN時にかぎり有効。領域通過時間3ms以上確保必要。直動軸にかぎり有効。                     |
| 93  | ゾーン3MIN                         | 0                 | 0               | -99,999,999～99,999,999         | 0.001mm | MAX＞MIN時にかぎり有効。領域通過時間3ms以上確保必要。直動軸にかぎり有効。                     |
| 94  | ゾーン3出力No.                     | 0                 | 0               | 0～6,999                        | ―       | 物理的出力ポート or グローバルフラグ or 拡張出力ポート（0時出力無効、重複指定無効）。直動軸にかぎり有効。 |
| 95  | ゾーン4MAX                         | 0                 | 0               | -99,999,999～99,999,999         | 0.001mm | MAX＞MIN時にかぎり有効。領域通過時間3ms以上確保必要。直動軸にかぎり有効。                     |
| 96  | ゾーン4MIN                         | 0                 | 0               | -99,999,999～99,999,999         | 0.001mm | MAX＞MIN時にかぎり有効。領域通過時間3ms以上確保必要。直動軸にかぎり有効。                     |
| 97  | ゾーン4出力No.                     | 0                 | 0               | 0～6,999                        | ―       | 物理的出力ポート or グローバルフラグ or 拡張出力ポート（0時出力無効、重複指定無効）。直動軸にかぎり有効。 |
| 98～100 | （拡張用）                     | 0h                | 0h              | ―                              | ―       |                                                                                             |
| 101 | 連続運転可能トルク超過許容時間     | 0                 | 0               | 0～300                          | s       | 0時、連続運転可能トルク超過時間監視しない。                                                 |
| 102 | （拡張用）                         | 0h                | 0h              | ―                              | ―       |                                                                                             |

</contents>
