ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page309

<overview>
このページは「6.2 パラメーター一覧」の一部であり、I/Oパラメーターに関する表形式の一覧が掲載されています。テキスト部分はパラメーターの説明や備考が中心で、表部分はパラメーターNo.、名称、初期値、入力範囲、単位、備考の項目で構成されています。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### I/Oパラメーター一覧（パラメーターNo.297～313）

| No.  | パラメーター名称               | 初期値（参考） | 入力範囲     | 単位 | 備考                                                                                                                                                                                                                   |
| :--- | :----------------------------- | :------------- | :----------- | :--- | :--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| 297  | 入力機能選択014 割付ポートNo. | -1             | -1～3,999    | ―    | I/OパラメーターNo.44 “入力機能選択014”の機能割付けポートNo.を指定。<br>※マイナス時、入力ポートNo.14に割付け。<br>※入力機能選択014に「プログラムスタート指定プログラムNo.」を指定した場合は、プログラムスタート指定プログラムNo.のLSB（最下位ビット）側から昇順に連続した入力ポートNo.を指定のこと。<br>（関連情報：I/OパラメーターNo.30 “入力機能選択000”） |
| 298  | 入力機能選択015 割付ポートNo. | -1             | -1～3,999    | ―    | I/OパラメーターNo.45 “入力機能選択015”の機能割付けポートNo.を指定。<br>※マイナス時、入力ポートNo.15に割付け。                                                                                                   |
| 299  | 出力機能選択300 割付ポートNo. | 0              | 0～6,999     | ―    | I/OパラメーターNo.46 “出力機能選択300”の機能割付けポートNo.を指定。<br>※0時、出力ポートNo.300に割付け。                                                                                                           |
| 300  | 出力機能選択301 割付ポートNo. | 0              | 0～6,999     | ―    | I/OパラメーターNo.47 “出力機能選択301”の機能割付けポートNo.を指定。<br>※0時、出力ポートNo.301に割付け。                                                                                                           |
| 301  | 出力機能選択302 割付ポートNo. | 0              | 0～6,999     | ―    | I/OパラメーターNo.48 “出力機能選択302”の機能割付けポートNo.を指定。<br>※0時、出力ポートNo.302に割付け。                                                                                                           |
| 302  | 出力機能選択303 割付ポートNo. | 0              | 0～6,999     | ―    | I/OパラメーターNo.49 “出力機能選択303”の機能割付けポートNo.を指定。<br>※0時、出力ポートNo.303に割付け。                                                                                                           |
| 303  | 出力機能選択304 割付ポートNo. | 0              | 0～6,999     | ―    | I/OパラメーターNo.50 “出力機能選択304”の機能割付けポートNo.を指定。<br>※0時、出力ポートNo.304に割付け。                                                                                                           |
| 304  | 出力機能選択305 割付ポートNo. | 0              | 0～6,999     | ―    | I/OパラメーターNo.51 “出力機能選択305”の機能割付けポートNo.を指定。<br>※0時、出力ポートNo.305に割付け。                                                                                                           |
| 305  | 出力機能選択306 割付ポートNo. | 0              | 0～6,999     | ―    | I/OパラメーターNo.52 “出力機能選択306”の機能割付けポートNo.を指定。<br>※0時、出力ポートNo.306に割付け。                                                                                                           |
| 306  | 出力機能選択307 割付ポートNo. | 0              | 0～6,999     | ―    | I/OパラメーターNo.53 “出力機能選択307”の機能割付けポートNo.を指定。<br>※0時、出力ポートNo.307に割付け。                                                                                                           |
| 307  | 出力機能選択308 割付ポートNo. | 0              | 0～6,999     | ―    | I/OパラメーターNo.54 “出力機能選択308”の機能割付けポートNo.を指定。<br>※0時、出力ポートNo.308に割付け。                                                                                                           |
| 308  | 出力機能選択309 割付ポートNo. | 0              | 0～6,999     | ―    | I/OパラメーターNo.55 “出力機能選択309”の機能割付けポートNo.を指定。<br>※0時、出力ポートNo.309に割付け。                                                                                                           |
| 309  | 出力機能選択310 割付ポートNo. | 0              | 0～6,999     | ―    | I/OパラメーターNo.56 “出力機能選択310”の機能割付けポートNo.を指定。<br>※0時、出力ポートNo.310に割付け。                                                                                                           |
| 310  | 出力機能選択311 割付ポートNo. | 0              | 0～6,999     | ―    | I/OパラメーターNo.57 “出力機能選択311”の機能割付けポートNo.を指定。<br>※0時、出力ポートNo.311に割付け。                                                                                                           |
| 311  | 出力機能選択312 割付ポートNo. | 0              | 0～6,999     | ―    | I/OパラメーターNo.58 “出力機能選択312”の機能割付けポートNo.を指定。<br>※0時、出力ポートNo.312に割付け。                                                                                                           |
| 312  | 出力機能選択313 割付ポートNo. | 0              | 0～6,999     | ―    | I/OパラメーターNo.59 “出力機能選択313”の機能割付けポートNo.を指定。<br>※0時、出力ポートNo.313に割付け。                                                                                                           |
| 313  | 出力機能選択314 割付ポートNo. | 0              | 0～6,999     | ―    | I/OパラメーターNo.60 “出力機能選択314”の機能割付けポートNo.を指定。<br>※0時、出力ポートNo.314に割付け。                                                                                                           |

</contents>
