ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page482

<overview>
本ページは「7.3 エラー表」のセクションで構成されています。ページ全体は主に表形式で、エラーNo.、エラー名称、内容・原因・対処方法の3つのカラムからなるエラー一覧表が掲載されています。テキスト部分はエラーの説明や対処方法の詳細が記載されており、表部分がメインの構成です。グラフや図は含まれていません。
</overview>

<contents>
### テキスト・表
#### 7.3 エラー表
パネルウィンドウでは、Eの後にエラーNo.が表示されます。

| エラーNo. | エラー名称                     | 内容・原因 / 対処方法                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
|:---------|:-----------------------------|:----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| D6A      | ハード未サポート機能エラー     | 【内容・原因】<br>ハードウェアでサポートされていない機能を使用しようとしました。以下の原因が想定されます。<br>1) パラメーター設定と接続軸の組み合わせ異常<br>2) エンコーダーの故障<br><br>【対処方法】<br>下記対策を順次実施してください。<br>1) コントローラー初回立上げ時などに発生した場合、軸の接続が正しいことを確認してください。また、バックアップパラメーターファイルを転送した後に発生した場合は、正しいファイルを転送していることを確認してください。<br>上記に該当しない、もしくは問題がない場合は当社まで連絡してください。 |
| D6B      | オーバーランエラー             | オーバーランセンサーが作動しました。                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| D6C      | 実位置ソフトリミットオーバーエラー | 実際の位置が、ソフトリミットを“ソフトリミット実位置マージン”以上超えました。                                                                                                                                                                                                                                                                                                                                                                                                                         |
| D6D      | ロジックエラー                 | ロジックエラーが発生しました。                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| D6F      | オプションパスワードエラー     | 使用しようとしているオプション機能は、オプションパスワードが必要です。使用機能に応じ、その他パラメーターNo.30～32などを確認してください。                                                                                                                                                                                                                                                                                                                                                           |
| D70      | オプション使用許諾エラー       | オプション使用許諾されていないシステムプログラムでオプションを指定していないかなどを確認してください。                                                                                                                                                                                                                                                                                                                                                                                               |
| D71      | マルチスライダーパラメーターエラー | マルチスライダー関連パラメーター設定が不良です。軸別パラメーターNo.104“マルチスライダー過接近検出対象軸指定”などを確認してください。<br>不正軸No.指定、両スライダー軸No.相互指定不良、直線軸構造上物理的にありえない隣軸No.指定、シンクロスレーブ軸No.指定などの可能性があります。                                                                                                                                                                                                                   |
| D75      | フィールドバスパラメーターエラー | フィールドバスパラメーターに異常があります。<br>IOパラメーターNo.132～135、226～227・237～238などを確認してください。<br>以下の原因が考えられます。<br>・範囲外のノードアドレスを設定した。<br>・範囲外通信速度を設定した。<br>など                                                                                                                                                                                                                                                   |
| D76      | フィールドバスモジュール未実装エラー | フィールドバスモジュールが未実装です。                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| D77      | フィールドバスエラー（Exception） | Exceptionエラーを検出しました。フィールドネットワークボードの取扱説明書を参照し、フィールドバスのモニター用LED状態を確認してください。                                                                                                                                                                                                                                                                                                                                                             |
| D78      | エンコーダー初期化エラー       | エンコーダー初期化エラーが発生しました。                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
</contents>
