ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page406

<overview>
本ページは「トラブル発生時の処理」に関する内容で構成されています。主に表形式で、パネルウィンドウの表示一覧を示しており、各表示コードの優先度と内容（原因や対処法を含む）が詳細に記載されています。テキストは表の説明文が中心で、図やグラフは含まれていません。
</overview>

<contents>
### 表
#### 表7.1-2 パネルウィンドウの表示一覧

| 表示 | 優先度(注1) | 内容 |
| :--- | :--- | :--- |
| A C E F | 1 | AC電源遮断（瞬時停電、電源電圧ドロップの可能性もあり）<br>【原因、対処法】<br>制御電源電圧が低下している状態。電源の入力配線や電源電圧に問題がない場合は、コントローラーの故障が疑われる。電源基板の経年劣化により発生。 |
| E F ※ ※ | 1 | システムダウンレベルエラー |
| C H F A | 2 | フラッシュROMチェックプロセス |
| P r d | 2 | データフラッシュROMライト中 |
| E r G | 3 | 非常停止中（アップデートモード時除外）<br>【原因、対処法】<br>システムI/Oコネクターに接続している非常停止回路が正常に機能しているか確認。<br>ティーチングツール接続時は停止ボタン押下の有無を確認。<br>パソコン専用ティーチングソフトのケーブル接続時は付属の非常停止ボックス接続を確認。 |
| P n b | 4 | イネーブルSW（デッドマンSW・セーフティーゲート）OFF中（アップデートモード時除外） |
| E E ※ ※ | 5 | コールドスタートレベルエラー |
| E d ※ ※ | 5 | コールドスタートレベルエラー |
| E 6 ※ ※ | 5 | コールドスタートレベルエラー |
| E 5 ※ ※ | 5 | コールドスタートレベルエラー |
| E C ※ ※ | 5 | コールドスタートレベルエラー |
| E b ※ ※ | 5 | 動作解除レベルエラー |
| E 4 ※ ※ | 5 | 動作解除レベルエラー |
| - r P | 6 | 駆動源遮断解除入力待ち（アップデートモード時除外）<br>【原因、対処法】<br>駆動源遮断解除入力待ち状態。I/OパラメーターNo.44で本機能を入力ポートに割付。<br>I/O配線や外部回路を確認。 |
| - r S | 6 | 動作一時停止（再スタート待ち）（アップデートモード時除外） |
| - I L C | 7 | サーボ全軸インターロック（アップデートモード時除外） |
| E A ※ ※ | 8 | メッセージレベルエラー |
| E 9 ※ ※ | 8 | メッセージレベルエラー |
| E 2 ※ ※ | 8 | メッセージレベルエラー |
| ※ r U d | 9 | アップデートモード（メーカー調整用）<br>この表示が出る場合、USBコネクター下のシステム動作スイッチを上から“左、右、右、左”に戻し、電源再投入を行う。 |

</contents>
