ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page458

<overview>
本ページは「7.3 エラー表」に関する内容で構成されています。  
主にテキストと表で構成されており、パネルウィンドウに表示されるエラー番号（Eの後に表示）と対応するエラー名称、内容・原因、対処方法が一覧形式で示されています。  
グラフや図は含まれていません。
</overview>

<contents>
### テキスト
パネルウィンドウでは、Eの後にエラーNo.が表示されます。

### 表
#### エラー表（動作解除レベルエラー）

| エラーNo. | エラー名称                     | 内容・原因 / 対処方法                                                                                             |
| :------- | :----------------------------- | :-------------------------------------------------------------------------------------------------------------- |
| B00      | SCHA 設定エラー               | SCHA 命令の設定値が異常です。                                                                                   |
| B01      | TPCD 設定エラー               | TPCD 命令の設定値が異常です。                                                                                   |
| B02      | SLEN 設定エラー               | SLEN 命令の設定値が異常です。                                                                                   |
| B03      | 原点復帰方法エラー             | 【内容・原因】<br>軸別パラメーターの「原点復帰方法」設定値が異常です。（INCエンコーダー以外、かつ、現在位置0原点指定時など）<br>【対処方法】<br>ZRユニット時、「軸別パラメーターNo.13 SIO・PIO原点復帰時順序」設定値が異常です。直線移動軸（Z軸）・回転移動軸（R軸）で同じ値（順序）を指定してください。 |
| B04      | 1ショットパルス出力同時使用数過大エラー | 【内容・原因】<br>SELプログラムで使用する出力タイマーが使用上限数を超えました。以下の原因が考えられます。<br>①プログラム内のBTPN、BTPFタイマー同時動作数が上限（16）を超えています。<br>②ポジション出力操作機能の同時出力数（ディレイ中・パルス出力中の出力を含む）が上限（16）を超えました。<br>【対処方法】<br>エラーが発生したプログラムNo.・ステップNo.・ポジションNo.などを参考に、SELプログラムもしくはポジションデータを見直してください。 |
| B05      | 原点復帰時推定ストロークオーバーエラー | 原点復帰時の動作が推定ストロークを超えて行われました。原点センサー・クリープセンサー異常などが考えられます。 |
| B0B      | 押付解除WAITタイムアウトエラー | ストッパー押付位置取得、またはストッパー押付式アブソリュートリセット時の押付動作中、上位から押付解除が指令されず許容された押付時間を超過しました。通信障害等でパソコン対応ソフトの接続が切断された可能性があります。パソコン対応ソフトを再度接続し、手順の最初からやり直してください。 |
| B0C      | 押付解除移動条件不成立エラー | ストッパー押付位置取得、またはストッパー押付式アブソリュートリセット時の押付解除移動ができない状態にあります。エラー発生、非常停止などにより押付動作が解除されています。手順を最初からやり直してください。 |
| B0D      | ストッパー押付移動開始位置エラー | ストッパー押付位置取得、またはストッパー押付式アブソリュートリセット時のストッパー押付移動の開始位置がストッパーに対して近すぎます。開始位置をストッパーから離して再度実行してください。 |
| B0E      | ABSエンコーダー多回転エラー   | 【内容・原因】<br>エンコーダーの多回転データが不定です。アブソリュートリセットが行われていない、またはアブソリュートデータが消失した可能性があります。<br>【対処方法】<br>アブソリュートリセットを行ってください。 |
</contents>
