ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page304

<overview>
このページは「6.2 パラメーター一覧」の一部であり、I/Oパラメーターに関する詳細な表が掲載されています。ページ全体は表形式で構成されており、各パラメーターの番号、名称、初期値（参考）、入力範囲、単位、備考が記載されています。テキストやグラフはなく、表のみで情報が整理されています。
</overview>

<contents>
### 表
#### I/Oパラメーター一覧（抜粋）

| No.  | パラメーター名称                                   | 初期値（参考） | 入力範囲          | 単位 | 備考                                                                                                  |
| :--- | :----------------------------------------------- | :------------- | :---------------- | :--- | :--------------------------------------------------------------------------------------------------- |
| 146  | ユーザー開放チャンネル32 (TCP/IP) 自ポート番号   | 64,513         | 1,025～65,535     | ―    | ※要注意：各自ポート番号は必ず異なる番号を設定すること。IAIプロトコルB/TCP自ポート番号MANU/AUTOモード用のみ同一番号許可。 |
| 147  | ユーザー開放チャンネル33 (TCP/IP) 自ポート番号   | 64,514         | 1,025～65,535     | ―    | 同上                                                                                                 |
| 148  | ユーザー開放チャンネル34 (TCP/IP) 自ポート番号   | 64,515         | 1,025～65,535     | ―    | 同上                                                                                                 |
| 149  | IAIプロトコルB/TCP接続先IPアドレス(MANUモード)(H) | 192            | 0～255            | ―    | ※0および127は設定禁止                                                                               |
| 150  | IAIプロトコルB/TCP接続先IPアドレス(MANUモード)(MH)| 168            | 0～255            | ―    |                                                                                                     |
| 151  | IAIプロトコルB/TCP接続先IPアドレス(MANUモード)(ML)| 0              | 0～255            | ―    |                                                                                                     |
| 152  | IAIプロトコルB/TCP接続先IPアドレス(MANUモード)(L) | 100            | 0～254            | ―    | ※0および255は設定禁止                                                                               |
| 153  | IAIプロトコルB/TCP接続先ポート番号(MANUモード)    | 64,611         | 0～65,535         | ―    | ※サーバー時0設定可（0=接続相手ポート番号不問、IPアドレスのみチェック）※クライアント時0設定不可      |
| 154  | IAIプロトコルB/TCP接続先IPアドレス(AUTOモード)(H) | 192            | 0～255            | ―    | ※0および127は設定禁止                                                                               |
| 155  | IAIプロトコルB/TCP接続先IPアドレス(AUTOモード)(MH)| 168            | 0～255            | ―    |                                                                                                     |
| 156  | IAIプロトコルB/TCP接続先IPアドレス(AUTOモード)(ML)| 0              | 0～255            | ―    |                                                                                                     |
| 157  | IAIプロトコルB/TCP接続先IPアドレス(AUTOモード)(L) | 100            | 0～254            | ―    | ※0および255は設定禁止                                                                               |
| 158  | IAIプロトコルB/TCP接続先ポート番号(AUTOモード)    | 64,611         | 0～65,535         | ―    | ※サーバー時0設定可（0=接続相手ポート番号不問、IPアドレスのみチェック）※クライアント時0設定不可      |
| 159  | IAIプロトコルB/TCP自ポート番号(AUTOモード)        | 64,516         | 1,025～65,535     | ―    | ※要注意：各自ポート番号は必ず異なる番号を設定すること。MANU/AUTOモード用のみ同一番号許可。           |
| 160  | ビジョンシステムI/F接続先IPアドレス(H)            | 192            | 0～255            | ―    | ※0および127は設定禁止                                                                               |
| 161  | ビジョンシステムI/F接続先IPアドレス(MH)           | 168            | 0～255            | ―    |                                                                                                     |
| 162  | ビジョンシステムI/F接続先IPアドレス(ML)           | 0              | 0～255            | ―    |                                                                                                     |
| 163  | ビジョンシステムI/F接続先IPアドレス(L)            | 102            | 0～254            | ―    | ※0および255は設定禁止                                                                               |
| 164  | ビジョンシステムI/F接続先ポート番号                | 64,613         | 0～65,535         | ―    | ※IAIコントローラー側クライアント（自ポート番号自動割付）仕様限定、0設定禁止                         |
| 165～167 | システム予約                                    | 0              | 0～255            | ―    |                                                                                                     |
| 168  | システム予約                                       | 0              | 0～254            | ―    |                                                                                                     |
| 169  | システム予約                                       | 0              | 0～65,535         | ―    |                                                                                                     |
| 170  | イーサネットI/F自MACアドレス(H)                   | 0h             | 参照のみ(HEX)     | ―    | 下位2バイトのみ有効                                                                                  |

</contents>
