ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page456

<overview>
本ページは「7.3 エラー表」のセクションで構成されており、主に表形式でエラーNo.、エラー名称、内容・原因・対処方法が記載されています。テキストはエラー表示の説明が冒頭にあり、その後に詳細なエラー一覧表が続きます。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
パネルウィンドウでは、Eの後にエラーNo.が表示されます。

### 表
#### エラー一覧表

| エラーNo. | エラー名称                                   | 内容・原因 / 対処方法                                                                                   |
| :------- | :------------------------------------------ | :----------------------------------------------------------------------------------------------------- |
| A49      | エラー詳細照会種別２エラー                   | エラー詳細照会の種別２が異常です。                                                                     |
| A4A      | モニタリングデータ種別エラー                 | モニタリングデータ照会のデータ種別が異常です。                                                       |
| A4B      | モニタリングレコード数指定エラー             | モニタリングデータ照会のレコード数の指定に異常があります。                                           |
| A4C      | モニタリングオペレーション特殊コマンドレジスタービジーエラー | モニタリングオペレーションでドライバー特殊コマンドACKがタイムアウトになりました。                     |
| A4E      | スレーブコマンド発行時パラメーターレジスタービジーエラー | スレーブコマンド発行でドライバー特殊コマンドACKがタイムアウトになりました。                           |
| A4F      | 動作中ソフトウェアリセット拒絶エラー         | 動作中（プログラム実行中、またはサーボ使用中など）のソフトウェアリセット（SIO）は禁止されています。   |
| A50      | 駆動源復旧要求拒絶エラー                     | 駆動源遮断要因（エラー、デッドマンSW、セーフティーゲート、非常停止など）が解除されていません。         |
| A51      | 動作一時停止解除要求拒絶エラー               | 全動作一時停止要因（駆動源遮断、動作一時停止信号、デッドマンSW、セーフティーゲート、非常停止など）が解除されていません。 |
| A53      | サーボ使用中拒絶エラー                       | サーボ使用中には許されない処理を試みました。                                                         |
| A54      | 機能未サポート拒絶エラー                     | 未サポート機能です。                                                                                   |
| A55      | メーカー専用機能使用拒絶エラー               | メーカー以外に開放されていない処理を試みました。                                                     |
| A56      | データ異常拒絶エラー                         | データ異常です。                                                                                       |
| A57      | プログラム多重起動エラー                     | 既に実行中のプログラムを再度起動しようとしました。                                                   |
| A58      | BCD異常警告                                 | 読込みBCD値が異常であるか、書出し値（変数99）がマイナスであるなどが考えられます。                   |
| A59      | IN/OUT命令ポート・フラグ異常警告             | 入出力を行うポート（フラグ）数が32を超えているなどが考えられます。入出力ポート（フラグ）の指定を確認してください。 |

</contents>
