ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page424

<overview>
本ページは「7.3 エラー表」のセクションで構成されており、テキストと表で構成されています。テキスト部分ではパネルウィンドウに表示されるエラー番号の説明があり、表部分ではエラーNo.、エラー名称、内容・原因および対処方法が詳細に記載されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
パネルウィンドウでは、Eの後にエラーNo.が表示されます。

### 表
#### エラー表（動作解除レベルエラー）

| エラーNo. | エラー名称                   | 内容・原因 / 対処方法                                                                                                                                                                                                                                                                                                                                                   |
| -------- | -------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| 4BD      | 同期主軸サーボOFFエラー       | 【内容・原因】<br>同期動作中に主軸がサーボOFFされた、またはサーボOFF軸を主軸に指定しました。同期動作時、主軸はサーボONしている必要があります。<br>【対処方法】<br>同期動作プログラムを確認してください。                                                                                                                                                     |
| 4BE      | 同期従動軸動作終了エラー       | 【内容・原因】<br>同期動作中に従動動作プログラムが終了しました。同期動作中に軸関連以外のエラーが発生し、従動動作プログラムが解除された場合も発生します。主軸と従動が別プログラムで動作する場合、同期動作中は従動動作プログラムのみを終了することはできません。<br>【対処方法】<br>同期動作を終了してからプログラム終了してください。パソコン対応ソフト、ティーチングボックスからプログラムを終了する場合は、全動作解除、または主軸動作プログラムから終了するなど行ってください。 |
| 4BF      | 同期主軸原点復帰エラー         | 【内容・原因】<br>同期動作中に主軸が原点復帰動作を開始した、または原点復帰動作中の軸を主軸に指定しました。同期主軸は原点復帰動作することができません。<br>【対処方法】<br>同期動作プログラムを確認してください。                                                                                                                                                     |
| 4C0      | 同期主軸押付け動作エラー       | 【内容・原因】<br>同期動作中に主軸が押付け動作を開始した、または押付け動作中の軸を主軸に指定しました。同期主軸は押付け動作することができません。<br>【対処方法】<br>同期動作プログラムを確認してください。                                                                                                                                                     |
| 4C1      | 同期動作再起動エラー           | 【内容・原因】<br>単独電子カム動作中に一時停止を解除しようとしました。単独電子カム動作中は、一時停止を解除して再起動することはできません。<br>【対処方法】<br>単独電子カム動作中に一時停止を指令しないようにしてください。                                                                                                                                                     |
| 4C2      | 原点復帰完了タイムアウトエラー | 【内容・原因】<br>拡張モーション制御軸の原点復帰動作時、一定時間経過しても完了を確認できませんでした。拡張モーション制御軸別パラメーターNo.32「原点復帰完了確認時間」でタイムアウト監視を行います。<br>【対処方法】<br>アクチュエーターの干渉、摺動異常、サーボゲインの調整不良などを確認してください。ロングストロークにより正常動作でもタイムアウトする場合は、拡張モーション制御軸別パラメーターNo.32の設定時間を変更してください。 |
| 4C3      | 位置決め完了タイムアウトエラー | 【内容・原因】<br>拡張モーション制御軸の位置決め動作時、一定時間経過しても位置決め完了を確認できませんでした。位置決め指令送出完了後、拡張モーション制御軸別パラメーターNo.33「位置決め完了確認時間」でタイムアウト監視を行います。<br>【対処方法】<br>アクチュエーターの干渉、摺動異常、サーボゲインの調整不良などを確認してください。                                                                                   |
| 4C4      | 同期主軸座標未確定エラー       | 【内容・原因】<br>同期動作開始時、座標未確定の軸を主軸に指定しました。同期主軸は原点復帰完了など座標が確定している必要があります。<br>【対処方法】<br>同期動作プログラムを確認してください。                                                                                                                                                     |
</contents>
