ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page362

<overview>
このページは「パラメーター一覧」の一部であり、テキストと表で構成されています。テキストは章タイトルと節タイトル、表はパラメーターの詳細情報を示す一覧表です。表はパラメーター番号、名称、初期値、入力範囲、単位、備考欄で構成されており、主にドライバーパラメーターの調整用情報が記載されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 6.2 パラメーター一覧
4. ドライバーパラメーター（全タイプ）

### 表
| No. | パラメーター名称           | 初期値（参考）       | 入力範囲               | 単位               | 備考       | 考       |
|-----|----------------------------|----------------------|------------------------|--------------------|------------|----------|
| 61  | COLSLPG                    | 0h                   | 0～99,999,999           | －                 | メーカー調整用 |          |
| 62  | COLSLIT                    | 0h                   | 0～1,000                | －                 | メーカー調整用 |          |
| 63  | COLTRQF                    | 0h                   | 0～2,500                | －                 | メーカー調整用 |          |
| 64  | CMPSLPG                    | アクチュエータ依存   | 1～99,999,999           | －                 | メーカー調整用 |          |
| 65  | CMPSLIT                    | アクチュエータ依存   | 1～1,000                | －                 | メーカー調整用 |          |
| 66  | CMPTRQL                    | アクチュエータ依存   | 0～400                  | －                 | メーカー調整用 |          |
| 67  | CMPICRL                    | アクチュエータ依存   | 0～400                  | －                 | メーカー調整用 |          |
| 68  | 電流制御部照会情報 01      | 0h                   | 0000h～FFFFFFFFh        | ロータリー時 0.001rad/s<br>リニア時 0.001cm/s | メーカー調整用 |          |
| 69  | 電流制御部照会情報 02      | 0h                   | 0000h～FFFFFFFFh        | ロータリー時 0.001rad/s<br>リニア時 0.001cm/s | メーカー調整用 |          |
| 70  | 電流制御部照会情報 03      | 0h                   | 0000h～FFFFFFFFh        | ロータリー時 0.001rad/s<br>リニア時 0.001cm/s | メーカー調整用 |          |
| 71  | 電流制御部照会情報 04      | 0h                   | 0000h～FFFFFFFFh        | ロータリー時 0.001rad/s<br>リニア時 0.001cm/s | メーカー調整用 |          |
| 72  | 電流制御部照会情報 05      | 0h                   | 0000h～FFFFFFFFh        | mA                 | メーカー調整用 |          |
| 73  | 電流制御部照会情報 06      | 0h                   | 0000h～FFFFFFFFh        | mA                 | メーカー調整用 |          |
| 74  | 電流制御部照会情報 07      | 0h                   | 0000h～FFFFFFFFh        | 0.001mm             | メーカー調整用 |          |
| 75  | 電流制御部照会情報 08      | 0h                   | 0000h～FFFFFFFFh        | 0.001mm             | メーカー調整用 |          |
| 76  | 電流制御部照会情報 09      | 0h                   | 0000h～FFFFFFFFh        | －                 | メーカー調整用 |          |
| 77  | 電流制御部照会情報 10      | 0h                   | 0000h～FFFFFFFFh        | －                 | メーカー調整用 |          |
| 78  | 電流制御部照会情報 11      | 0h                   | 0000h～FFFFFFFFh        | －                 | メーカー調整用 |          |
| 79  | 電流制御部照会情報 12      | 0h                   | 0000h～FFFFFFFFh        | －                 | メーカー調整用 |          |
| 80  | 電流制御部照会情報 13      | 0h                   | 0000h～FFFFFFFFh        | －                 | メーカー調整用 |          |
| 81  | 電流制御部照会情報 14      | 0h                   | 0000h～FFFFFFFFh        | －                 | メーカー調整用 |          |
| 82  | 電流制御部照会情報 15      | 0h                   | 0000h～FFFFFFFFh        | －                 | メーカー調整用 |          |
| 83  | 電流制御部照会情報 16      | 0h                   | 0000h～FFFFFFFFh        | －                 | メーカー調整用 |          |
| 84  | 電流制御部照会情報 17      | 0h                   | 0000h～FFFFFFFFh        | －                 | メーカー調整用 |          |
| 85  | 電流制御部照会情報 18      | 0h                   | 0000h～FFFFFFFFh        | －                 | メーカー調整用 |          |
| 86  | 電流制御部照会情報 19      | 0h                   | 0000h～FFFFFFFFh        | －                 | メーカー調整用 |          |
| 87  | 電流制御部照会情報 20      | 0h                   | 0000h～FFFFFFFFh        | －                 | メーカー調整用 |          |
| 88  | 電流制御部照会情報 21      | 0h                   | 0000h～FFFFFFFFh        | －                 | メーカー調整用 |          |
</contents>
