ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page164

<overview>
このページは「3.5 PIO回路の配線」に関する内容で構成されています。  
主に表形式で、各ポート番号ごとのパラメーター設定値と入力信号の機能、出荷時設定の情報が記載されています。  
テキスト部分は注釈として、モードスイッチが手動モード（MANU）時の動作条件について説明があります。  
図やグラフは含まれていません。
</overview>

<contents>
### 表
#### PIO回路の配線（ポートNo.305～315）

| ポートNo. | No.   | 名称               | 設定値 | 入力信号の機能                                               | 出荷時設定 |
|-----------|-------|--------------------|--------|--------------------------------------------------------------|------------|
| 305       | No.51 | 出力機能選択305    | 0      | 汎用出力                                                    | ○          |
|           |       |                    | 1      | 第1軸インポジション出力（押付け空振時OFF）                  |            |
|           |       |                    | 2      | 第1軸サーボON中出力（システム監視タスク出力）               |            |
| 306       | No.52 | 出力機能選択306    | 0      | 汎用出力                                                    | ○          |
|           |       |                    | 1      | 第2軸インポジション出力（押付け空振時OFF）                  |            |
|           |       |                    | 2      | 第2軸サーボON中出力（システム監視タスク出力）               |            |
| 307       | No.53 | 出力機能選択307    | 0      | 汎用出力                                                    | ○          |
|           |       |                    | 1      | 第3軸インポジション出力（押付け空振時OFF）                  |            |
|           |       |                    | 2      | 第3軸サーボON中出力（システム監視タスク出力）               |            |
| 308       | No.54 | 出力機能選択308    | 0      | 汎用出力                                                    | ○          |
|           |       |                    | 1      | 第4軸インポジション出力（押付け空振時OFF）                  |            |
|           |       |                    | 2      | 第4軸サーボON中出力（システム監視タスク出力）               |            |
| 309       | No.55 | 出力機能選択309    | 0      | 汎用出力                                                    | ○          |
|           |       |                    | 1      | 第5軸インポジション出力（押付け空振時OFF）                  |            |
|           |       |                    | 2      | 第5軸サーボON中出力（システム監視タスク出力）               |            |
| 310       | No.56 | 出力機能選択310    | 0      | 汎用出力                                                    | ○          |
|           |       |                    | 1      | 第6軸インポジション出力（押付け空振時OFF）                  |            |
|           |       |                    | 2      | 第6軸サーボON中出力（システム監視タスク出力）               |            |
| 311       | No.57 | 出力機能選択311    | 0      | 汎用出力                                                    | ○          |
|           |       |                    | 1      | 第7軸インポジション出力（押付け空振時OFF）                  |            |
|           |       |                    | 2      | 第7軸サーボON中出力（システム監視タスク出力）               |            |
| 312       | No.58 | 出力機能選択312    | 0      | 汎用出力                                                    | ○          |
|           |       |                    | 1      | 第8軸インポジション出力（押付け空振時OFF）                  |            |
|           |       |                    | 2      | 第8軸サーボON中出力（システム監視タスク出力）               |            |
| 313       | No.59 | 出力機能選択313    | 0      | 汎用出力                                                    | ○          |
| 314       | No.60 | 出力機能選択314    | 0      | 汎用出力                                                    | ○          |
|           |       |                    | 1      | アブソデータバックアップバッテリー電圧低下警告レベル以下（全軸ORチェック。異常レベル検出後は、パワーONリセット・ソフトウェアリセットまでラッチ。） |            |
| 315       | No.61 | 出力機能選択315    | 0      | 汎用出力                                                    | ○          |

### テキスト
- 注釈：モードスイッチがMANU（手動モード）になっている場合で、ティーチングツールが接続されていないときは、ポートNo.301のレディー出力はONしません。ティーチングツールを接続するとONになります。
</contents>
