ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page163

<overview>
このページは「3.5 PIO回路の配線」に関する内容で構成されています。主に表形式で、入力ポートおよび出力ポートのパラメーター設定値とそれに対応する入力信号の機能が詳細に記載されています。テキスト部分は表の説明や見出しのみで、図やグラフは含まれていません。ページの前半は入力ポートの割付けに関する表、後半は出力ポートの割付けに関する表で構成されています。
</overview>

<contents>
### テキスト
#### 3.5 PIO回路の配線
- 入力ポートと出力ポートのパラメーター設定値に応じた信号機能の説明
- 【出力ポートの割付け】の見出しあり

### 表
#### 入力ポートの割付け（抜粋）
| ポートNo. | パラメーターNo. | 名称               | 設定値 | 入力信号の機能                                                                                     | 出荷時設定 |
|:---------:|:---------------:|:------------------:|:------:|:------------------------------------------------------------------------------------------------:|:----------:|
| 015       | No.45           | 入力機能選択015    | 0      | 汎用入力                                                                                         | ○          |
|           |                 |                    | 1      | XSEL-RA/SAの場合、全有効軸原点復帰（ONエッジ処理）XSEL-RAX/SAXの場合、全直動軸ABSリセット位置移動/原点復帰（ONエッジ） |            |
|           |                 |                    | 2      | 全インクリメント有効軸原点復帰（ONエッジ処理）ただし、スカラロボットは無効                             |            |

#### 出力ポートの割付け
| ポートNo. | パラメーターNo. | 名称               | 設定値 | 入力信号の機能                                                                                     | 出荷時設定 |
|:---------:|:---------------:|:------------------:|:------:|:------------------------------------------------------------------------------------------------:|:----------:|
| 300       | No.46           | 出力機能選択300    | 0      | 汎用出力                                                                                         |            |
|           |                 |                    | 1      | 動作解除レベル以上のエラー出力（ON）                                                            |            |
|           |                 |                    | 2      | 動作解除レベル以上のエラー出力（OFF）                                                           | ○          |
|           |                 |                    | 3      | 動作解除レベル以上のエラー＋非常停止出力（ON）                                                  |            |
|           |                 |                    | 4      | 動作解除レベル以上のエラー＋非常停止出力（OFF）                                                 |            |
|           |                 |                    | 5      | コールドスタートレベル以上のエラー出力（ON）                                                    |            |
|           |                 |                    | 6      | コールドスタートレベル以上のエラー出力（OFF）                                                   |            |
|           |                 |                    | 7      | メンテナンス情報アラート機能関連メッセージレベル（エラーNo.231～232）のエラー出力（ON）          |            |
|           |                 |                    | 8      | メンテナンス情報アラート機能関連メッセージレベル（エラーNo.231～232）のエラー出力（OFF）         |            |
| 301       | No.47           | 出力機能選択301    | 0      | 汎用出力                                                                                         |            |
|           |                 |                    | 1      | READY出力（PIOトリガープログラム運転可）                                                        |            |
|           |                 |                    | 2      | READY出力（PIOトリガープログラム運転可、かつ、動作解除レベル以上エラーが発生していない）          |            |
|           |                 |                    | 3      | READY出力（PIOトリガープログラム運転可、かつ、コールドスタートレベル以上エラーが発生していない）  | ○          |
| 302       | No.48           | 出力機能選択302    | 0      | 汎用出力                                                                                         |            |
|           |                 |                    | 1      | 非常停止出力（ON）                                                                              |            |
|           |                 |                    | 2      | 非常停止出力（OFF）                                                                             | ○          |
| 303       | No.49           | 出力機能選択303    | 0      | 汎用出力                                                                                         | ○          |
|           |                 |                    | 1      | AUTOモード出力                                                                                   |            |
|           |                 |                    | 2      | 自動運転中出力（その他パラメーターNo.12）                                                       |            |
| 304       | No.50           | 出力機能選択304    | 0      | 汎用出力                                                                                         | ○          |
|           |                 |                    | 1      | 全有効軸原点（=0）時出力ただし、スカラロボットは無効                                           |            |
|           |                 |                    | 2      | 全有効軸原点復帰完了状態（座標確定）時出力ただし、スカラロボットは無効                           |            |
|           |                 |                    | 3      | 全有効軸原点プリセット座標時出力ただし、スカラロボットは無効                                   |            |
</contents>
